precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"GRADINITA CONSTANTINESTI",115,"ORAŞ SCORNICEŞTI",128711,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:11:46",439,421,2,13,3,326,309,1,13,3,315,11,468,142,5,295,15
30,OLT,"GRADINITA MOGOSESTI",118,"ORAŞ SCORNICEŞTI",128711,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:47",441,416,1,19,5,291,267,0,19,5,280,11,465,174,8,249,23
30,OLT,"GRADINITA ȘUICA",120,"ORAŞ SCORNICEŞTI",128711,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:48:55",195,175,0,15,5,153,133,0,15,5,152,1,199,46,5,139,8
30,OLT,"GRADINITA TEIUS",121,"ORAŞ SCORNICEŞTI",128711,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:55:40",464,449,3,7,5,324,311,1,7,5,319,5,499,175,18,277,24
30,OLT,"GRUPUL SCOLAR AGRICOL SCORNICEŞTI",111,"ORAŞ SCORNICEŞTI",128711,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:16:40",1673,1638,3,27,5,1007,975,0,27,5,963,44,1855,843,79,801,83
30,OLT,JITARU,116,"ORAŞ SCORNICEŞTI",128711,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:09:40",873,832,4,31,6,645,607,1,31,6,635,10,915,270,11,616,8
30,OLT,"SCOALA GEN.CLASELE I-VIII SCORNICESTI",112,"ORAŞ SCORNICEŞTI",128711,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:36:45",1920,1875,0,35,10,1156,1111,0,35,10,1142,14,2119,963,100,930,112
30,OLT,"SCOALA GENERALA CHIȚEASCA",114,"ORAŞ SCORNICEŞTI",128711,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:51:51",414,383,0,29,2,325,294,0,29,2,308,17,432,107,26,257,25
30,OLT,"SCOALA GENERALA MĂRGINENI",117,"ORAŞ SCORNICEŞTI",128711,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:34",1486,1362,2,95,27,1231,1107,2,95,27,1191,40,1639,408,93,1040,58
30,OLT,"SCOALA GENERALA NEGRENI",119,"ORAŞ SCORNICEŞTI",128711,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:50:24",969,949,1,17,2,659,640,0,17,2,627,32,1043,384,29,538,60
30,OLT,"SCOALA GENERLA BIRCII",113,"ORAŞ SCORNICEŞTI",128711,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:21:19",920,866,3,45,6,698,647,0,45,6,675,23,975,277,83,557,35
