precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","MACHEDON MARIAN-voturi"
38,TULCEA,"BIBLIOTECA JUDEŢEANĂ PANAIT CERNA",37,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:10:34",1291,1274,12,5,0,533,528,0,5,0,508,25,1404,871,158,79,4,157,59,23,18,10
38,TULCEA,"CASA DE CULTURĂ",43,"MUNICIPIUL TULCEA",159614,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:24",497,492,0,5,0,179,174,0,5,0,176,3,553,374,62,33,3,42,16,7,5,8
38,TULCEA,"CASA DE CULTURĂ",42,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 12:38:54",1380,1363,0,17,0,611,594,0,17,0,588,23,1509,898,197,108,9,159,59,21,18,17
38,TULCEA,"COLEGIUL ECONOMIC ” DELTA DUNĂRII”",39,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:44",983,976,0,7,0,373,366,0,7,0,366,7,1079,706,125,77,1,90,23,32,6,12
38,TULCEA,"COLEGIUL ECONOMIC ” DELTA DUNĂRII”",38,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:12:08",1214,1202,6,6,0,476,470,0,6,0,460,16,1332,856,127,96,3,152,28,30,14,10
38,TULCEA,"COLEGIUL NAȚIONAL ”SPIRU HARET”",44,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:22:42",1712,1705,2,5,0,686,681,0,5,0,666,20,1918,1232,205,116,17,195,62,30,25,16
38,TULCEA,"GARAJE, SPAȚII DE DEPOZITARE ȘI BIROURI ALE CONSILIULUI JUDEȚEAN TULCEA",22,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:49",1712,1701,2,9,0,676,667,0,9,0,653,23,1905,1229,209,108,8,192,62,37,21,16
38,TULCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT A LICEULUI TEHNOLOGIC AGRICOL ”NICOLAE CORNĂȚEANU”",40,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:30:50",1588,1583,5,0,0,691,691,0,0,0,674,17,1787,1096,193,98,5,217,59,45,27,30
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",14,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:23:21",1623,1617,0,6,0,682,676,0,6,0,666,16,1800,1118,256,89,7,207,51,14,20,22
38,TULCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13",6,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:16:01",1499,1491,2,6,0,520,514,0,6,0,507,13,1673,1153,181,100,7,117,42,34,17,9
38,TULCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13",5,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:23:07",1595,1587,0,8,0,592,584,0,8,0,580,12,1781,1189,199,112,2,166,27,38,15,21
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.17",34,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:45:55",1534,1531,0,3,0,643,640,0,3,0,615,28,1716,1073,228,120,7,121,43,37,37,22
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.17",35,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:50",1522,1515,2,5,0,473,468,0,5,0,454,19,1678,1205,133,103,1,108,40,38,21,10
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.18",2,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:07",1311,1306,0,5,0,511,506,0,5,0,502,9,1449,938,184,90,6,120,36,20,19,27
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.18",1,"MUNICIPIUL TULCEA",159614,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:10:04",1201,1191,4,6,0,388,382,0,6,0,382,6,1319,931,147,70,3,85,25,26,14,12
38,TULCEA,"INTERNAT LICEUL TEORETIC „ION CREANGĂ”",3,"MUNICIPIUL TULCEA",159614,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:32:09",1712,1701,3,6,2,647,641,0,4,2,624,23,1893,1246,238,87,2,168,35,41,26,27
38,TULCEA,"INTERNAT LICEUL TEORETIC „ION CREANGĂ”",4,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:02:01",1556,1545,1,8,2,635,625,0,8,2,627,8,1709,1074,250,100,5,148,53,30,17,24
38,TULCEA,"LICEUL DE ARTE ”GEORGE GEORGESCU”",12,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:52:01",901,890,2,8,1,398,389,0,8,1,384,14,991,593,132,58,2,116,39,15,8,14
38,TULCEA,"LICEUL DE ARTE ”GEORGE GEORGESCU”",11,"MUNICIPIUL TULCEA",159614,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:45:25",1150,1143,2,4,1,530,525,0,4,1,522,8,1266,736,206,78,4,136,43,13,23,19
38,TULCEA,"LICEUL DE ARTE ”GEORGE GEORGESCU”",13,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 19:30:13",902,892,4,6,0,356,350,0,6,0,353,3,988,632,116,55,2,117,22,12,13,16
38,TULCEA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” TULCEA",41,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:38:55",1496,1489,0,7,0,438,431,0,7,0,429,9,1652,1214,128,101,7,96,25,44,17,11
38,TULCEA,"LICEUL TEHNOLOGIC ”HENRI COANDĂ” TULCEA",36,"MUNICIPIUL TULCEA",159614,4,PART,PRCNCT,CL,CL_SV,"2024-06-11 12:44:08",1453,1442,0,11,0,589,578,0,11,0,583,6,1592,1003,180,98,8,145,60,35,26,31
38,TULCEA,"LICEUL TEORETIC ”ION CREANGĂ”",16,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:13:17",969,949,2,6,12,432,414,0,6,12,420,12,1073,641,140,66,4,120,37,25,13,15
38,TULCEA,"LICEUL TEORETIC ”ION CREANGĂ”",15,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:02:27",1095,1087,2,5,1,503,497,0,5,1,499,4,1215,712,171,89,7,118,45,21,20,28
38,TULCEA,"PUNCT DE ÎNCASARE TAXE ŞI IMPOZITE LOCALE",28,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:46:44",1566,1556,2,8,0,688,680,0,8,0,679,9,1741,1053,232,124,14,171,75,29,15,19
38,TULCEA,"SALA DE SPORT MULTIFUNCŢIONALĂ „DANIEL IULIAN POHARIU”",33,"MUNICIPIUL TULCEA",159614,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:55:56",1338,1329,1,8,0,503,495,0,8,0,486,17,1487,984,172,88,5,122,39,27,14,19
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU CIUCURENCU”",23,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 17:39:40",1197,1184,4,7,2,484,475,0,7,2,477,7,1312,828,161,106,13,118,35,22,14,8
