precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL VOLT ROMANIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","RADU CONSTANTIN-voturi","MARINESCU OVIDIU-DACIAN-voturi","RĂCIU SABIN-DUŞKO-voturi","ABRUDAN FLORIN-GHEORGHE-voturi"
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",428,GIROC,155314,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:01:21",1748,1714,14,15,5,842,821,1,15,5,829,13,1800,958,353,93,70,15,202,11,0,21,30,17,10,7
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",429,GIROC,155314,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:13:08",1785,1745,13,27,0,859,831,1,27,0,846,13,1800,941,307,66,40,5,346,25,3,14,20,9,4,7
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",424,GIROC,155314,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:55:28",1741,1693,24,21,3,817,792,1,21,3,801,16,1800,983,309,103,95,10,165,17,2,44,19,26,7,4
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",423,GIROC,155314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:21:24",1681,1668,0,11,2,878,865,0,11,2,865,13,1700,822,311,117,88,19,143,25,4,50,21,73,10,4
37,TIMIŞ,"LICEUL TEORETIC ”DAVID VONIGA”",432,GIROC,155314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:17:38",1807,1776,12,19,0,816,797,0,19,0,807,9,2000,1184,279,74,85,23,237,21,2,26,26,29,0,5
37,TIMIŞ,"LICEUL TEORETIC ”DAVID VONIGA”",430,GIROC,155314,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:50:24",1816,1747,48,21,0,737,716,0,21,0,727,10,2000,1263,260,44,43,14,258,24,4,24,35,11,6,4
37,TIMIŞ,"LICEUL TEORETIC ”DAVID VONIGA”",431,GIROC,155314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:22:53",1889,1858,18,13,0,856,843,0,13,0,847,9,2000,1144,346,55,44,9,271,22,0,17,29,22,27,5
37,TIMIŞ,"LICEUL TEORETIC ”DAVID VONIGA” GIROC",425,GIROC,155314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:53",1401,1384,5,11,1,780,768,0,11,1,763,17,1500,720,265,82,74,18,198,12,3,40,21,35,7,8
37,TIMIŞ,"LICEUL TEORETIC ”DAVID VONIGA” GIROC",426,GIROC,155314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:10",1483,1461,7,12,3,845,830,0,12,3,815,30,1600,755,275,124,70,19,212,14,0,48,15,28,9,1
37,TIMIŞ,"LICEUL TEORETIC DAVID VONIGA GIROC",427,GIROC,155314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:05",1429,1416,0,11,2,795,782,0,11,2,793,2,1600,805,269,107,90,22,163,20,10,48,10,44,7,3
37,TIMIŞ,"ȘCOALA GENERALĂ ”IOSIF CIOROGARIU”",435,GIROC,155314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:28:24",1282,1274,0,6,2,665,657,0,6,2,642,23,1360,695,188,111,54,18,141,12,11,8,17,21,1,60
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ”IOSIF CIOROGARIU” ,CHIȘODA",433,GIROC,155314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:13:20",1338,1299,15,17,7,770,747,0,17,6,747,23,1700,930,270,116,54,33,179,7,6,13,12,16,7,34
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ”IOSIF CIOROGARIU” ,CHIȘODA",434,GIROC,155314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:11",1459,1411,11,28,9,717,703,0,5,9,690,27,1604,887,242,144,73,14,128,7,9,18,15,14,2,24
