precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NAȚIUNE OAMENI ÎMPREUNĂ-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PRO ROMÂNIA-voturi"
40,VÂLCEA,"COLEGIUL NAȚIONAL GIB MIHĂESCU",100,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 09:33:14",1437,1425,1,11,0,717,706,0,11,0,696,21,1570,853,108,49,182,38,102,2,12,3,191,6,3
40,VÂLCEA,"GRĂDINIȚA CAPUL DEALULUI",105,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:36:44",754,738,2,8,6,387,373,0,8,6,367,20,820,433,111,22,101,8,44,1,8,2,67,2,1
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 8",103,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:07",596,588,0,8,0,223,215,0,8,0,177,46,669,446,14,0,10,2,90,0,0,29,32,0,0
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 2",96,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:38",1226,1215,0,11,0,554,543,0,11,0,531,20,1340,786,111,31,146,22,82,2,8,2,120,4,3
40,VÂLCEA,"GRĂDINIŢA I.C. BRĂTIANU",97,"MUNICIPIUL DRĂGĂŞANI",167981,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 10:21:43",866,858,0,8,0,469,461,0,8,0,412,57,950,481,115,16,88,11,61,15,6,8,68,8,16
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",94,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:49",1328,1315,3,10,0,596,585,1,10,0,556,40,1450,854,127,50,161,13,66,1,1,5,120,8,4
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",95,"MUNICIPIUL DRĂGĂŞANI",167981,4,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:53:42",1226,1216,2,8,0,541,533,0,8,0,511,30,1350,809,137,38,145,17,71,0,3,1,92,3,4
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU - ȘCOALA PROFESIONALĂ",101,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:00",1176,1165,0,11,0,603,592,0,11,0,555,48,1320,717,136,21,74,13,98,8,7,40,120,9,29
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 5",104,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:36:36",695,690,0,5,0,351,346,0,5,0,331,20,760,409,55,15,103,9,44,1,11,2,84,4,3
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 8 (BÂRSANU)",102,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:11:36",841,832,0,7,2,455,446,0,7,2,435,20,920,465,103,13,115,11,66,5,8,10,95,2,7
40,VÂLCEA,"ŞCOALA NICOLAE BĂLCESCU",99,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:20:15",1190,1173,1,15,1,650,634,0,15,1,633,17,1300,650,95,59,176,22,95,2,6,4,157,9,8
40,VÂLCEA,"ȘCOALA NICOLAE BĂLCESCU",98,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:04:49",1172,1161,1,10,0,608,598,0,10,0,573,35,1280,672,105,34,150,33,99,2,18,2,119,9,2
40,VÂLCEA,"ŞCOALA TUDOR VLADIMIRESCU",93,"MUNICIPIUL DRĂGĂŞANI",167981,4,PART,PRCNCT,CL,CL_SV,"2024-06-11 21:01:09",1170,1159,1,9,1,583,573,0,9,1,564,19,1270,687,106,40,134,32,99,1,6,4,130,10,2
40,VÂLCEA,"ŞCOALA TUDOR VLADIMIRESCU",92,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:25:25",1282,1269,0,13,0,669,656,0,13,0,642,27,1400,731,84,89,162,41,96,0,11,3,137,14,5
40,VÂLCEA,"ȘCOALA ZLĂTĂREI",106,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:15:38",1164,1157,3,4,0,638,633,1,4,0,594,44,1270,632,89,37,200,20,72,1,8,4,156,5,2
