precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BÉRES CSABA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ADONYI GYULA-RICHARD-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","BOROS DÁVID-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","DUŢĂ NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","MAIOR LIVIU-voturi"
5,BIHOR,"CLĂDIREA MUZEULUI",195,"ORAŞ SĂCUENI",30915,3,PART,PRCNCT,P,P_SV,"2024-06-15 21:49:21",1465,1439,7,9,10,781,761,1,9,10,740,40,1580,800,255,15,424,39,7
5,BIHOR,"CLUBUL TINERETULUI",197,"ORAŞ SĂCUENI",30915,3,PART,PRCNCT,P,P_SV,"2024-06-15 21:58:14",753,711,1,6,35,551,510,0,6,35,509,27,824,287,391,4,106,7,1
5,BIHOR,"GRĂDINIȚĂ CU PROGRAM PRELUNGIT",193,"ORAŞ SĂCUENI",30915,3,PART,PRCNCT,P,P_SV,"2024-06-15 21:40:03",1179,1161,2,11,5,675,659,0,11,5,655,20,1284,609,233,11,392,18,1
5,BIHOR,"GRĂDINIȚA DE LA LOCUL DE CASĂ",194,"ORAŞ SĂCUENI",30915,5,PART,PRCNCT,P,P_SV,"2024-06-15 21:45:19",876,862,2,7,5,492,480,0,7,5,484,8,955,463,115,29,319,20,1
5,BIHOR,"GRĂDINIȚA ȘI ȘCOALA CU CLASELE I-IV",192,"ORAŞ SĂCUENI",30915,3,PART,PRCNCT,P,P_SV,"2024-06-15 21:36:19",1487,1473,1,7,6,975,962,0,7,6,859,116,1640,665,460,4,349,45,1
5,BIHOR,"ȘCOALA CU CLASELE I-IV",191,"ORAŞ SĂCUENI",30915,4,PART,PRCNCT,P,P_SV,"2024-06-15 21:30:25",1153,1132,5,10,6,674,658,0,10,6,630,44,1252,578,249,17,334,26,4
5,BIHOR,"ŞCOALA GENERALĂ",198,"ORAŞ SĂCUENI",30915,6,PART,PRCNCT,P,P_SV,"2024-06-15 22:00:49",714,691,0,11,12,464,441,0,11,12,434,30,765,301,246,16,149,22,1
5,BIHOR,"ŞCOALA GENERALĂ",199,"ORAŞ SĂCUENI",30915,2,PART,PRCNCT,P,P_SV,"2024-06-15 22:02:57",435,422,0,9,4,276,263,0,9,4,257,19,479,203,91,18,143,5,0
5,BIHOR,"ŞCOALA GENERALĂ",200,"ORAŞ SĂCUENI",30915,2,PART,PRCNCT,P,P_SV,"2024-06-15 22:04:28",720,702,3,6,9,434,419,0,6,9,409,25,801,367,245,13,138,13,0
5,BIHOR,"ŞCOALA GENERALĂ",196,"ORAŞ SĂCUENI",30915,3,PART,PRCNCT,P,P_SV,"2024-06-17 19:05:41",881,853,1,9,18,522,495,0,9,18,481,40,962,441,262,11,192,13,3
