precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CANCIU CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","DRAGOMIR VIOREL-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CÎRLIGEA FLORIN-EUGEN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCĂ DORIN-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","MUSCELEANU GABRIEL-MONU-PARTIDUL S.O.S. ROMÂNIA-voturi","GURGU MARCEL-PARTIDUL SOCIALIST ROMÂN-voturi","CIOCAN NICUŞOR-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
9,BRĂILA,"CASA CORPULUI DIDACTIC",86,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:30:45",1080,1073,1,6,0,397,391,0,6,0,385,6,1200,809,39,220,36,13,31,3,43
9,BRĂILA,"COLEGIUL ECONOMIC „ION GHICA”",84,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:24",1069,1059,4,6,0,428,422,0,6,0,415,13,1200,772,62,246,31,17,16,4,39
9,BRĂILA,"COLEGIUL ECONOMIC „ION GHICA”",85,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:14:21",1293,1282,3,7,1,497,489,0,7,1,476,21,1450,953,52,278,58,12,37,4,35
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",38,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:16:55",1335,1330,0,5,0,457,452,0,5,0,446,11,1500,1043,31,322,26,19,26,5,17
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",36,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:30:28",1007,997,3,7,0,436,429,0,7,0,421,15,1100,664,27,301,26,25,12,5,25
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",37,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:04",1337,1333,0,4,0,576,572,0,4,0,560,16,1500,924,33,409,34,38,16,6,24
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",34,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:23:08",827,824,0,3,0,237,234,0,3,0,235,2,900,663,18,161,20,6,14,2,14
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",35,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:03",1204,1200,0,4,0,441,437,0,4,0,424,17,1300,859,40,306,21,10,17,2,28
9,BRĂILA,"COLEGIUL NAȚIONAL „GHEORGHE MUNTEANU MURGOCI”",56,"MUNICIPIUL BRĂILA",42682,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:42",1109,1095,8,6,0,494,488,0,6,0,473,21,1200,706,47,316,41,15,10,1,43
9,BRĂILA,"COLEGIUL NAȚIONAL „GHEORGHE MUNTEANU MURGOCI”",57,"MUNICIPIUL BRĂILA",42682,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:12:25",1167,1150,3,14,0,469,452,3,14,0,450,14,1250,781,53,262,38,16,22,8,51
