precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SERAFIM AUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GÉCZI GELLÉRT-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","POPA VIRGIL-PARTIDUL SOCIAL DEMOCRAT-voturi","STERPU CIPRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","OLARIU DANIELA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"GRUP ŞCOLAR INDUSTRIAL VICTOR JINGA",244,"MUNICIPIUL SĂCELE",40438,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:10",1071,1058,0,10,3,435,422,0,10,3,425,10,1200,765,22,19,226,108,50
8,BRAŞOV,"GRUP ŞCOLAR INDUSTRIAL VICTOR JINGA",243,"MUNICIPIUL SĂCELE",40438,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:32",1017,1006,0,10,1,397,386,0,10,1,386,11,1095,698,27,10,191,116,42
8,BRAŞOV,"LICEUL GEORGE MOROIANU",238,"MUNICIPIUL SĂCELE",40438,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:49:23",1759,1747,0,10,2,896,884,0,10,2,875,21,1900,1004,26,231,223,316,79
8,BRAŞOV,"LICEUL GEORGE MOROIANU CORPUL C",234,"MUNICIPIUL SĂCELE",40438,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:09:55",1604,1594,3,7,0,911,904,0,7,0,889,22,1800,889,22,315,225,248,79
8,BRAŞOV,"LICEUL GEORGE MOROIANU CORPUL C",235,"MUNICIPIUL SĂCELE",40438,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:17:44",1463,1452,2,9,0,690,681,0,9,0,679,11,1600,910,27,118,245,200,89
8,BRAŞOV,"LICEU ZAJZONI RAB ISTVAN",233,"MUNICIPIUL SĂCELE",40438,3,PART,PRCNCT,P,P_SV,"2024-06-10 12:23:24",1627,1612,0,15,0,756,741,0,15,0,733,23,1800,1044,31,195,180,213,114
8,BRAŞOV,"SALA DE SPORT",236,"MUNICIPIUL SĂCELE",40438,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:06",1452,1443,0,9,0,649,640,0,9,0,641,8,1600,951,21,38,282,212,88
8,BRAŞOV,"SALA DE SPORT",237,"MUNICIPIUL SĂCELE",40438,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:47",1377,1372,1,4,0,655,651,0,4,0,635,20,1500,845,30,35,305,207,58
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1, CORPUL A (LÂNGĂ GRĂDINIŢĂ)",229,"MUNICIPIUL SĂCELE",40438,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:44:31",1290,1280,0,9,1,604,594,0,9,1,598,6,1400,796,32,139,178,157,92
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1 CORPUL B",230,"MUNICIPIUL SĂCELE",40438,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:14:42",1342,1332,2,7,1,565,557,0,7,1,541,24,1500,935,30,56,214,194,47
8,BRAŞOV,"ȘCOALA GIMNAZIALĂ NR. 1 CORPUL B",231,"MUNICIPIUL SĂCELE",40438,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:35",1250,1235,4,10,1,564,553,0,10,1,549,15,1400,836,22,86,217,138,86
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1 CORPUL F",232,"MUNICIPIUL SĂCELE",40438,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:08:59",1855,1838,8,7,2,843,834,0,7,2,807,36,2000,1157,43,117,320,227,100
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR.4 FRAŢII POPEEA",241,"MUNICIPIUL SĂCELE",40438,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:30:21",1053,1046,0,7,0,432,425,0,7,0,411,21,1200,768,15,23,211,108,54
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR.4 FRAŢII POPEEA",240,"MUNICIPIUL SĂCELE",40438,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:09:17",1319,1313,0,6,0,553,547,0,6,0,538,15,1400,847,44,19,223,195,57
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR.4 FRAŢII POPEEA",242,"MUNICIPIUL SĂCELE",40438,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:02:26",1386,1379,1,6,0,538,532,0,6,0,522,16,1500,962,22,29,250,167,54
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR.4 FRAŢII POPEEA",239,"MUNICIPIUL SĂCELE",40438,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:35",1702,1683,1,17,1,847,828,1,17,1,804,43,1900,1053,23,60,327,268,126
