precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂDUCAN-MOREGA CORNELIU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","POPESCU IULIAN-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","ROMANESCU MARCEL-LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","TUDOR-DRĂGHICI ADRIAN-MARCEL-PARTIDUL VERDE-voturi","PRIESCU IONELIA-FLORENŢA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANDREI VASILE-LIVIU-ALIANȚA NAȚIONAL CREȘTINĂ-voturi","CIOPLEAN MARIAN-IONUŢ-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","COICA GABRIEL-CONSTANTIN-PARTIDUL S.O.S. ROMÂNIA-voturi","CIOFÎCĂ ION-MARIAN-voturi"
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",32,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:43:02",1517,1501,11,5,0,766,761,0,5,0,751,15,1600,834,51,296,243,51,43,6,8,23,30
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",33,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:52:09",1278,1261,10,7,0,636,629,0,7,0,627,9,1400,764,44,230,175,107,39,1,1,8,22
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",31,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-14 21:04:34",1662,1652,2,8,0,786,778,0,8,0,764,11,1800,1014,27,284,248,99,37,6,1,33,29
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",27,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 21:58:56",1460,1451,4,5,0,555,550,0,5,0,531,10,1600,1045,23,191,190,54,28,4,3,12,26
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",28,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:27:44",1361,1355,1,4,1,555,550,0,4,1,546,9,1500,945,25,173,214,36,42,3,1,10,42
20,GORJ,"COLEGIUL NAȚIONAL ECATERINA TEODOROIU",26,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:02",1368,1361,0,7,0,569,562,0,7,0,556,13,1500,931,35,174,224,40,35,4,3,18,23
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",13,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:34:05",1037,1031,0,6,0,492,486,0,6,0,479,13,1200,708,15,141,189,56,31,1,4,12,30
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",12,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:58",1275,1266,2,7,0,561,554,0,7,0,546,15,1400,839,21,171,186,81,43,2,3,13,26
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",10,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:53:49",938,933,0,5,0,461,456,0,5,0,452,9,1100,639,28,166,151,42,25,2,2,8,28
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",11,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:30",1407,1403,0,4,0,588,584,0,4,0,574,14,1600,1012,30,187,204,60,33,0,5,13,42
20,GORJ,"COLEGIUL NAȚIONAL SPIRU HARET",9,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:47",1029,1020,0,9,0,468,459,0,9,0,458,10,1200,732,31,149,158,53,35,3,1,2,26
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",3,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:45",1155,1143,1,8,3,563,552,0,8,3,557,6,1300,737,41,243,181,33,22,10,2,6,19
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",2,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:38",1046,1031,1,6,8,547,533,0,6,8,540,7,1200,653,40,180,191,66,24,7,0,9,23
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",46,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:58:43",1744,1725,9,10,0,703,693,0,10,0,684,9,2000,1297,18,217,256,89,43,9,4,11,37
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",45,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:52:35",1667,1660,0,7,0,599,592,0,7,0,588,11,1800,1201,18,135,259,59,44,1,8,14,50
20,GORJ,"COLEGIUL TEHNIC HENRI COANDĂ",53,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,P,P_SV,"2024-06-11 22:20:58",784,767,3,14,0,375,361,0,14,0,357,18,900,525,9,111,133,29,37,3,1,6,28
20,GORJ,"COLEGIUL TEHNIC ION MINCU",43,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:34:57",1249,1242,0,7,0,521,514,0,7,0,512,9,1400,879,11,140,205,59,39,4,3,10,41
20,GORJ,"COLEGIUL TEHNIC ION MINCU",44,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:34:30",1118,1111,2,5,0,475,470,0,5,0,469,6,1300,825,25,138,174,46,38,0,1,13,34
20,GORJ,"COLEGIUL TEHNIC NR.2",6,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:53:03",1307,1297,4,6,0,590,584,0,6,0,575,15,1500,910,39,186,226,44,27,4,5,12,32
20,GORJ,"IMOBIL NR.42",56,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:11",736,726,4,5,1,347,341,0,5,1,342,5,800,453,23,104,127,40,27,2,1,5,13
20,GORJ,"LICEUL CU PROGRAM SPORTIV",30,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:09",889,886,0,3,0,382,379,0,3,0,371,11,1000,618,21,126,138,23,24,2,4,14,19
20,GORJ,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:33:42",1020,1015,1,4,0,455,451,0,4,0,445,10,1100,645,26,132,162,50,31,4,6,6,28
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",37,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:52",1176,1171,2,3,0,529,526,0,3,0,514,15,1300,771,26,152,181,68,30,3,1,10,43
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",34,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:18",1183,1176,1,6,0,566,560,0,6,0,548,18,1300,734,38,205,179,69,32,2,1,9,13
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",35,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,P,P_SV,"2024-06-14 21:48:21",1463,1454,1,8,0,714,706,0,8,0,702,12,1700,986,46,201,215,152,32,5,4,13,34
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",36,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,P,P_SV,"2024-06-14 22:59:30",1378,1370,0,8,0,577,569,0,8,0,550,27,1600,1023,25,169,268,53,20,3,1,8,3
20,GORJ,"LICEUL TEOLOGIC",15,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:23",1417,1411,2,4,0,623,619,0,4,0,606,17,1500,877,42,207,208,59,38,5,5,9,33
20,GORJ,"LICEUL TEOLOGIC",17,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:48:23",1258,1239,0,2,17,561,542,0,2,17,474,87,1400,839,32,150,178,42,28,5,4,9,26
20,GORJ,"LICEUL TEOLOGIC",16,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-14 23:19:46",1374,1371,0,3,0,492,489,0,3,0,478,8,1500,1008,26,122,207,32,44,4,11,11,21
20,GORJ,"PALATUL COPIILOR",14,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:10:46",955,949,0,5,1,441,435,0,5,1,429,12,1100,659,27,166,136,49,29,2,1,5,14
20,GORJ,"ŞCOALA GENERALĂ ECATERINA TEODOROIU",42,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:43",1328,1318,1,9,0,620,611,0,9,0,603,17,1600,980,25,198,211,75,38,2,0,18,36
20,GORJ,"ŞCOALA GIMNAZIALĂ ALEXANDRU ŞTEFULESCU",7,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:48:05",1126,1113,4,7,2,536,527,0,7,2,515,14,1200,664,34,195,161,57,29,7,5,10,17
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",23,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:44",1459,1443,5,11,0,604,593,0,11,0,596,8,1600,996,28,196,197,64,42,2,4,33,30
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",25,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:38:43",1352,1347,2,3,0,556,553,0,3,0,550,6,1600,1044,28,139,249,33,43,6,11,11,30
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",22,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:27",1475,1465,2,8,0,702,694,0,8,0,667,35,1700,998,27,218,248,69,46,5,5,17,32
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",24,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:46",1411,1403,2,5,1,552,546,0,5,1,541,11,1500,948,25,125,258,36,39,3,5,11,39
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",4,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-10 14:55:58",1031,1026,2,3,0,482,479,0,3,0,474,8,1200,718,28,195,159,45,25,2,0,5,15
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",5,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:35:31",1076,1073,1,2,0,491,489,0,2,0,478,13,1200,709,41,153,143,60,38,5,3,6,29
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",18,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:18:09",1438,1421,1,9,7,605,589,0,9,7,587,18,1600,995,25,185,207,59,51,5,3,20,32
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",19,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-11 12:27:39",1369,1346,2,8,13,639,618,0,8,13,623,16,1500,861,35,181,241,60,38,3,5,14,46
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",48,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,P,P_SV,"2024-06-14 20:39:32",1654,1643,4,7,0,746,738,1,7,0,726,20,1900,1154,19,203,252,126,59,5,5,23,34
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",47,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:32:52",1696,1687,2,7,0,781,774,0,7,0,742,39,1900,1119,18,288,244,74,49,1,9,21,38
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.9",54,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:09:17",1516,1505,5,6,0,750,743,1,6,0,737,13,1700,950,25,240,190,177,43,3,3,28,28
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",21,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:50:38",1612,1602,4,6,0,659,653,0,6,0,646,13,1800,1141,41,197,228,82,43,2,3,15,35
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",20,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:51:15",1554,1547,0,7,0,561,554,0,7,0,548,13,1700,1139,26,167,213,47,46,5,4,22,18
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",41,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:02",1166,1147,0,7,12,588,569,0,7,12,575,13,1300,712,38,182,175,70,53,6,4,16,31
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",40,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-14 20:44:35",732,705,1,7,19,338,312,0,7,19,330,8,800,462,15,112,108,44,23,3,0,7,18
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",39,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:56",1507,1481,16,10,0,752,742,0,10,0,744,8,1600,848,56,265,255,103,27,1,3,12,22
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",50,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:44:30",1635,1629,2,4,0,920,916,0,4,0,905,15,1800,880,49,267,412,76,50,3,2,18,28
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",49,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:02:29",1546,1538,2,6,0,733,727,0,6,0,713,20,1700,967,42,212,223,103,52,3,5,34,39
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",52,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:21",1354,1344,3,7,0,679,672,0,7,0,671,8,1500,821,26,260,207,57,47,2,3,12,57
