precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOBOUŢANU DAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GHERMAN PETRE-LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ALIC CRISTIAN-SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUCA ALEXANDRU-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ARION VIOREL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
22,HUNEDOARA,"CĂMIN CULTURAL BOŞ (GRĂDINIŢA)",107,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:57",514,503,2,9,0,224,215,0,9,0,219,5,550,326,165,22,15,2,15
22,HUNEDOARA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ ”RUDOLF STEINER” (FOSTUL CENTRU DE ZI)",99,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:07:38",1107,1098,0,9,0,357,348,0,9,0,349,8,1200,843,292,17,22,6,12
22,HUNEDOARA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ ”RUDOLF STEINER” (FOSTUL CENTRU DE ZI)",98,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:52:43",1118,1112,0,6,0,369,363,0,6,0,358,11,1200,831,322,8,19,2,7
22,HUNEDOARA,"COLEGIUL ECONOMIC EMANUIL GOJDU (FOSTA ŞCOALĂ GENERALĂ NR. 3)",84,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:25",1254,1246,1,7,0,614,607,0,7,0,595,19,1400,786,491,55,27,8,14
22,HUNEDOARA,"COLEGIUL ECONOMIC EMANUIL GOJDU (FOSTA ŞCOALĂ GENERALĂ NR. 3)",83,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:51",1236,1221,3,12,0,544,532,0,12,0,534,10,1300,756,432,52,21,9,20
22,HUNEDOARA,"COLEGIUL ECONOMIC EMANUIL GOJDU (FOSTA ȘCOALĂ GENERALĂ NR. 3)",82,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:25",1420,1411,1,8,0,510,502,0,8,0,497,13,1600,1090,426,22,26,9,14
22,HUNEDOARA,"COLEGIUL ECONOMIC ”EMANUIL GOJDU” (FOSTUL LICEU NR. 2)",71,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:36",1257,1250,1,5,1,509,502,1,5,1,486,23,1300,791,401,38,19,10,18
22,HUNEDOARA,"COLEGIUL ECONOMIC ”EMANUIL GOJDU” (FOSTUL LICEU NR. 2)",70,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:56",1139,1131,2,6,0,462,456,0,6,0,446,16,1200,738,383,33,13,7,10
22,HUNEDOARA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”TRAIAN LALESCU” (CLĂDIREA NOUĂ)",73,"MUNICIPIUL HUNEDOARA",86810,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:00:01",1150,1107,0,7,36,542,499,0,7,36,526,16,1200,658,426,27,22,11,40
22,HUNEDOARA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”TRAIAN LALESCU” (CLĂDIREA NOUĂ)",74,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:06:51",1213,1190,0,5,18,447,426,0,5,16,425,22,1300,853,316,38,33,8,30
