precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PISTOL GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","PETRE IONUŢ-CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","STOICA ION-PARTIDUL PRO ROMÂNIA-voturi","BOBEI VICTOR-HORIA-PARTIDUL S.O.S. ROMÂNIA-voturi"
25,ILFOV,"DIRECȚIA POLIȚIEI LOCALE BUFTEA",30,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:42:50",1431,1392,0,27,12,1100,1061,0,27,12,1056,44,1500,400,826,28,186,16
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",24,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:54",1627,1574,0,17,36,1091,1038,0,17,36,1039,52,1800,709,720,36,262,21
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",23,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:14",988,950,1,18,19,629,592,0,18,19,602,27,1100,471,434,18,138,12
25,ILFOV,"PROPRIETATE PRIVATĂ: TUTUNARU GHEORGHE",33,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:48",509,490,0,14,5,267,248,0,14,5,259,8,558,291,192,9,53,5
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 1 BUFTEA",21,"ORAŞ BUFTEA",100576,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:32:13",1711,1672,2,21,16,970,932,1,21,16,938,32,1900,930,563,57,279,39
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 1 BUFTEA",22,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,P,P_SV,"2024-06-10 19:53:44",1812,1781,2,9,20,1012,983,0,9,20,931,81,2000,988,655,43,212,21
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 1 BUFTEA",20,"ORAŞ BUFTEA",100576,2,PART,PRCNCT,P,P_SV,"2024-06-10 19:07:16",1651,1616,2,18,15,935,902,0,18,15,906,29,1800,865,599,41,233,33
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 2 BUFTEA",26,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:11:42",1449,1435,0,5,9,878,864,0,5,9,855,23,1600,722,524,54,255,22
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 2 BUFTEA",25,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:21:43",1275,1250,5,13,7,750,730,0,13,7,735,15,1300,550,450,46,227,12
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 2 BUFTEA",27,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:32:55",1695,1644,6,16,29,1180,1135,0,16,29,1154,26,1850,670,717,65,354,18
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 2 BUFTEA",28,"ORAŞ BUFTEA",100576,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:02:40",1577,1541,1,21,14,981,945,1,21,14,948,33,1750,769,601,49,284,14
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 3 BUFTEA",32,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:22",643,613,1,21,8,429,400,0,21,8,396,12,700,292,251,23,119,3
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 3 BUFTEA",31,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,P,P_SV,"2024-06-10 21:34:25",1769,1726,4,29,10,1184,1145,0,29,10,1142,42,1900,716,718,64,328,32
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 4 BUFTEA",29,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:54:52",1127,1092,0,19,16,771,736,0,19,16,734,37,1200,429,528,37,158,11
