precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARCARI RODICA-LUMINIŢA-PARTIDUL NAȚIONAL LIBERAL-voturi","IANCU IULICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞONCHERECHE LAURENŢIU-GEORGICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","PRODAN ALEXANDRU-GABRIEL-FORȚA DREPTEI-voturi","FORGACIU LAURENŢIU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CRISTEA CONSTANTIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
23,IALOMIŢA,"CENTRUL SOCIAL AL PAROHIEI FETEȘTI GARĂ II",55,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:25:41",1273,1268,0,5,0,429,424,0,5,0,413,16,1400,971,36,21,333,3,13,7
23,IALOMIŢA,"FOSTĂ ȘCOALA GIMNAZIALĂ”MIHAI VITEAZUL” - LOCAL BULIGA",34,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:35",864,858,1,5,0,369,364,0,5,0,360,9,950,581,29,9,309,3,1,9
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ALBĂ CA ZĂPADA”",47,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,P,P_SV,"2024-06-13 12:40:25",1019,1010,0,8,1,413,404,0,8,1,407,6,1100,687,38,21,321,4,11,12
23,IALOMIŢA,"GRĂDINIŢA ȘCOLII GIMNAZIALE ”DIMITRIE CANTEMIR”",51,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:22:26",1109,1105,0,3,1,547,543,0,3,1,538,9,1200,653,42,22,446,10,9,9
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY”",43,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,P,P_SV,"2024-06-13 12:52:35",939,912,0,8,19,453,426,0,8,19,444,9,1050,597,45,10,363,14,1,11
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (FOSTA ȘCOALĂ NR. 5)",57,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:05",1411,1403,0,7,1,498,490,0,7,1,480,18,1550,1052,34,31,384,10,5,16
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (FOSTA ȘCOALĂ NR. 5)",58,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:07:09",1069,1063,0,6,0,342,336,0,6,0,331,11,1176,834,34,13,260,3,7,14
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY”( FOSTA ȘCOALĂ NR.5)",56,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:22",1259,1253,0,6,0,362,356,0,6,0,348,14,1376,1014,35,16,281,4,2,10
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ",46,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:02:50",1381,1373,0,8,0,635,627,0,8,0,621,14,1500,863,60,22,502,10,9,18
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ - CORP C 1",49,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:21",821,817,1,2,1,308,305,0,2,1,296,12,900,592,35,13,228,9,7,4
