precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DĂNCUŞ IOAN-DORU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIRŢ MIRCEA-PARTIDUL VERTICALA NOUĂ-voturi","BARBUR FLORIN-GHEORGHE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ANGHEL CRISTIAN-FORȚA DREPTEI-voturi","HERŢEG CĂLIN-GHEORGHE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PAP ZSOLT-ISTVAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CIUCĂ SEVER-IULIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","GROZA CĂLIN-FLORIN-PARTIDUL OAMENILOR TINERI-voturi","FILIP CLAUDIU-GHEORGHE-PARTIDUL VERDE-voturi","ZAINEA SERGIU-FLORIAN-voturi","DOLHA MIRCEA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","BOGDAN IONEL-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","HODOROGEA BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","CRISTIAN BRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","POP LIVIU-MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PÎRVĂNOIU COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-14 10:41:56",1390,1373,5,12,0,625,613,0,12,0,609,16,1500,875,129,99,6,53,6,32,5,5,3,4,3,137,3,108,2,14
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:07:58",1741,1711,16,14,0,917,903,0,14,0,906,11,1800,883,249,177,8,39,6,23,5,1,2,6,5,167,13,161,7,37
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:11:15",1309,1286,12,11,0,567,556,0,11,0,556,8,1400,836,86,91,4,33,4,51,6,6,3,5,4,129,8,104,4,18
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:01:55",1206,1195,1,9,1,623,613,0,9,1,610,13,1299,676,85,56,5,46,7,129,5,0,0,6,4,124,7,109,3,24
26,MARAMUREŞ,"CENTRUL COMUNITAR ROMANII",84,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:48",1116,1105,1,10,0,375,364,1,10,0,324,51,1300,925,124,13,1,26,3,21,5,1,3,3,3,48,21,22,2,28
26,MARAMUREŞ,"CENTRUL „PHOENIX”",71,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:12:35",1332,1321,1,10,0,430,420,0,10,0,391,39,1500,1070,108,59,2,22,2,13,3,8,1,2,5,61,10,63,3,29
26,MARAMUREŞ,"CENTRUL „SALVAȚI FAMILIA”",83,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:53:28",1948,1935,2,11,0,780,769,0,11,0,775,5,2200,1420,142,156,7,36,3,38,5,6,6,5,7,184,14,134,7,25
26,MARAMUREŞ,"CENTRUL „SFÂNTUL FRANCISC DE ASSISI”",79,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:14:58",1380,1370,2,8,0,475,467,0,8,0,463,12,1600,1125,104,82,2,18,3,20,5,3,5,4,10,86,8,92,5,16
26,MARAMUREŞ,"CENTRUL SOCIAL „ASSOC”",46,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:08",1397,1380,11,6,0,597,591,0,6,0,590,7,1600,1003,134,122,4,30,6,18,2,0,5,2,2,116,7,116,4,22
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",14,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:24:55",1330,1310,10,9,1,610,599,1,9,1,594,16,1500,890,109,90,3,50,4,88,4,2,1,10,1,93,4,124,2,9
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",15,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:38",863,838,16,8,1,437,428,0,8,1,432,5,1000,563,85,56,6,36,11,64,2,2,2,2,0,80,3,80,1,2
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA TEHNICĂ”",7,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:49",1250,1234,1,15,0,478,463,0,15,0,464,14,486,8,113,75,8,28,3,42,6,5,2,6,2,68,12,75,3,16
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",62,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:22:14",1548,1534,7,4,3,715,708,0,4,3,700,15,1700,985,139,88,8,68,3,104,0,2,0,5,1,133,5,124,0,20
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „VASILE LUCACIU”",63,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:12",1257,1241,7,9,0,511,502,0,9,0,498,13,1400,889,83,56,3,43,9,79,5,1,0,4,1,95,5,95,4,15
26,MARAMUREŞ,"COLEGIUL TEHNIC „ANGHEL SALIGNY”",69,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:55:16",1562,1536,12,14,0,741,727,0,14,0,714,27,1700,959,149,84,4,47,11,94,11,2,0,7,0,148,6,139,0,12
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",6,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:00:18",1725,1712,6,7,0,673,666,0,7,0,658,15,1900,1227,185,98,5,42,4,48,5,3,0,6,2,114,5,118,2,21
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",5,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:12",1859,1847,2,10,0,560,550,0,10,0,522,38,2000,1440,181,63,2,32,2,26,8,3,3,3,4,75,14,76,2,28
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",86,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-11 16:46:39",1313,1303,4,5,1,611,605,0,5,1,583,25,1402,794,104,89,1,39,3,101,5,3,2,5,2,126,10,75,3,15
