precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MARINESCU DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","COSTIN ŞTEFAN-ANDREI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GIESSWEIN CRISTIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","MIHOLCA ANAMARIA-CECILIA-PARTIDUL SOCIAL DEMOCRAT-voturi","ROGOZ VIOLIN-FORȚA DREPTEI-voturi","MUJA RAUL-DAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",182,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:34",603,593,3,7,0,289,282,0,7,0,277,12,699,410,213,10,28,15,11,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",186,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:02:44",167,158,0,9,0,114,105,0,9,0,105,9,200,86,99,2,2,1,1,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",183,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:33:54",319,311,1,7,0,194,187,0,7,0,189,5,400,206,146,10,12,6,14,1
26,MARAMUREŞ,"CANTONUL SILVIC",179,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:50",233,220,0,13,0,142,129,0,13,0,135,7,300,158,113,8,2,6,2,4
26,MARAMUREŞ,"CENTRUL CULTURAL ION ȘIUGARIU",178,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:37:26",860,847,0,13,0,513,500,0,13,0,495,18,900,387,415,8,13,22,14,23
26,MARAMUREŞ,GRĂDINIȚA,181,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:39",588,583,0,5,0,301,296,0,5,0,298,3,600,299,231,4,14,22,8,19
26,MARAMUREŞ,"GRĂDINIȚA 9 MAI",185,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:56:06",359,352,0,7,0,202,195,0,7,0,191,11,400,198,135,23,15,12,5,1
26,MARAMUREŞ,"GRĂDINIȚA HOȘTEZE",177,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:23",940,930,0,10,0,525,515,0,10,0,479,32,1000,485,330,20,54,26,45,4
26,MARAMUREŞ,"GRĂDINIȚA ROȘTI",180,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:17:01",512,504,2,6,0,303,297,0,6,0,296,7,600,297,252,4,12,11,11,6
26,MARAMUREŞ,"LICEUL TEHNOLOGIC „TRAIAN VUIA”",176,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:15:32",1305,1286,5,13,1,706,692,0,13,1,689,17,1400,694,506,27,61,29,36,30
26,MARAMUREŞ,"SALA MULTIFUNCȚIONALĂ MĂGHERĂUȘ",175,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,4,PART,PRCNCT,P,P_SV,"2024-06-10 13:01:38",1636,1626,1,8,1,810,801,1,8,0,784,25,1700,890,575,42,67,33,41,26
26,MARAMUREŞ,"ȘCOALA GENERALĂ",184,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:59",601,591,1,9,0,326,317,0,9,0,311,15,600,274,204,20,15,61,7,4
