precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KERESKÉNYI GÁBOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TIŞEA LUCIAN-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROCA RADU-TIBERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","GHIARFAŞ ADELIN-CRISTIAN-FORȚA DREPTEI-voturi","PANAIT RADU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","BĂBUŢ DAN-PARTIDUL PATRIOȚILOR-voturi","PALINCAŞ VASILE-PARTIDUL S.O.S. ROMÂNIA-voturi"
32,"SATU MARE","ASOCIAŢIA CARITAS SATU MARE CANTRUL SOCIAL DESCHIS LA CASA PRIETENIEI",3,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:31",1005,992,2,10,1,439,427,1,10,1,429,10,1100,661,219,28,95,26,50,7,4
32,"SATU MARE","ASOCIAŢIA JUDEŢEANĂ DE FOTBAL ( ŞC. NR.15 )",46,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-12 12:50:29",1951,1917,12,10,12,1097,1072,3,10,12,1070,27,2100,1003,853,24,96,20,69,4,4
32,"SATU MARE","CENTRUL JUDEȚEAN DE EXCELENȚĂ SATU MARE",48,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:44:50",1646,1616,7,8,15,860,837,0,8,15,841,19,1800,940,662,27,92,10,46,1,3
32,"SATU MARE","CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ",73,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:16:31",1056,1049,2,5,0,421,416,0,5,0,414,7,1200,779,248,17,79,11,50,3,6
32,"SATU MARE","COLEGIUL ECONOMIC ” GHEORGHE DRAGOŞ ” (GRUP ŞC. ECONOMIC” GHEORGHE DRAGOŞ ”)",70,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:49:29",1602,1584,5,10,3,796,783,0,10,3,784,12,1800,1004,470,37,130,30,103,4,10
32,"SATU MARE","COLEGIUL NAŢIONAL ” DOAMNA STANCA ”",65,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-12 12:37:50",843,823,4,8,8,377,361,0,8,8,365,12,989,612,254,10,47,13,39,0,2
32,"SATU MARE","COLEGIUL NAŢIONAL” MIHAI EMINESCU ”",69,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:38",986,975,5,6,0,436,430,0,6,0,420,16,1100,664,251,13,85,20,42,2,7
32,"SATU MARE","COLEGIUL TEHNIC DE TRANSP. ŞI TELECOMUNICAŢII ” I.C. BRĂTIANU ”",61,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:07:18",1234,1220,2,7,5,595,583,0,7,5,586,9,1400,805,321,27,110,30,83,6,9
32,"SATU MARE","COLEGIUL TEHNIC ” ELISA ZAMFIRESCU ” (COL.TEHNIC ELISA ZAMFIRESCU(GRUP ŞC. DE INDUSTRIE UŞOARĂ ))",22,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,P,P_SV,"2024-06-12 16:26:42",1369,1353,1,2,13,658,643,0,2,13,652,6,1500,842,393,34,115,29,69,1,11
32,"SATU MARE","GRĂDINIŢA CU PROG. PRELUNGIT ” DUMBRAVA MINUNATĂ ” (GRĂDINIŢA ”DUMBRAVA MINUNATĂ” )",64,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:09:06",1274,1230,27,11,6,654,636,1,11,6,625,29,1294,640,451,23,78,22,47,1,3
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.21",16,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:42",1273,1258,6,9,0,512,503,0,9,0,502,10,1400,888,297,17,89,14,73,4,8
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.21",17,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,P,P_SV,"2024-06-12 14:55:29",1797,1789,0,5,3,783,775,0,5,3,766,17,2000,1217,399,58,134,34,119,4,18
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT",72,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:46:01",1240,1228,7,5,0,497,492,0,5,0,483,14,1400,903,294,29,68,25,57,2,8
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT",71,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:31:56",981,969,3,6,3,390,381,0,6,3,388,2,1100,710,220,22,81,10,44,4,7
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT – ” 14 MAI ”",56,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:00",1023,1010,0,10,3,434,421,0,10,3,423,11,1100,666,309,9,58,8,34,0,5
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT – ” 14 MAI ”",55,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:15",1454,1434,7,7,6,561,548,0,7,6,552,9,1600,1039,362,13,91,18,54,6,8
32,"SATU MARE","GRADINITA CU PROGRAM PRELUNGIT ”DRAGA MEA” (GRADINITA ”DRAGA MEA”(",1,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:18",1905,1886,2,15,2,673,656,0,15,2,632,41,2100,1427,408,34,115,7,50,3,15
32,"SATU MARE","GRADINITA CU PROGRAM PRELUNGIT ”DRAGA MEA” (GRADINITA ”DRAGA MEA”(",2,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:11:19",1565,1551,3,8,3,660,649,0,8,3,648,12,1700,1040,386,30,98,40,86,1,7
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",54,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:39:58",1365,1260,2,47,56,507,444,0,10,53,493,14,1400,893,365,22,49,6,44,1,6
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR.13",32,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:25:58",1167,1160,0,7,0,523,516,0,7,0,510,13,1300,777,341,22,77,18,51,0,1
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 5",33,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:08:42",1098,1086,4,8,0,488,480,0,8,0,478,10,1200,712,328,21,66,6,52,2,3
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 5",34,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:45:34",1243,1235,0,7,1,556,548,0,7,1,540,16,1300,744,382,21,69,8,46,1,13
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",28,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,P,P_SV,"2024-06-12 14:34:42",1277,1263,2,10,2,426,414,0,10,2,418,8,1400,974,282,20,54,12,39,1,10
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",27,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:53:31",1240,1231,2,6,1,468,461,0,6,1,454,14,1400,932,306,22,72,9,32,1,12
32,"SATU MARE","GRĂDINIŢA NR.15",51,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:55:00",1604,1586,11,3,4,851,844,0,3,4,837,14,1800,949,655,15,81,16,63,2,5
32,"SATU MARE","LICEUL CU PROGRAM SPORTIV",58,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-12 12:56:02",1201,1178,3,13,7,611,591,0,13,7,594,17,1298,687,426,20,75,16,52,0,5
32,"SATU MARE","LICEUL REFORMAT ( LICEUL TEOLOGIC REFORMAT)",63,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:27:31",975,926,18,18,13,510,490,0,7,13,501,9,1100,590,362,22,58,19,37,1,2
32,"SATU MARE","LICEUL TEHNOLOGIC ” CONSTANTIN BRÂNCUȘ ” (GRUP SCOLAR ”CONSTANTIN BRANCUS ” SATU MARE)",57,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:51",1340,1303,6,14,17,648,623,1,9,15,640,8,1400,752,394,24,106,23,82,1,10
