precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VÎRTOSU DAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOGEANU CLAUDIU-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AMZA ALEXANDRU-CRISTIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SERACIN CAIUS-IONUŢ-PARTIDUL VOLT ROMANIA-voturi","AGA PETRU-DORIN-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","RADU CONSTANTIN-voturi","MARINESCU OVIDIU-DACIAN-voturi"
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",428,GIROC,155314,5,PART,PRCNCT,P,P_SV,"2024-06-10 13:01:23",1748,1714,14,15,5,842,821,1,15,5,826,16,1800,958,454,55,196,12,45,42,22
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",429,GIROC,155314,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:13:21",1785,1745,13,27,0,859,831,1,27,0,849,10,1800,941,405,29,319,25,25,25,21
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",424,GIROC,155314,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:55:28",1741,1693,24,21,3,817,792,1,21,3,809,8,1800,983,443,58,167,17,77,21,26
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",423,GIROC,155314,2,PART,PRCNCT,P,P_SV,"2024-06-17 18:42:51",1681,1668,0,11,2,878,865,0,11,2,853,25,1700,822,449,45,171,19,81,15,73
37,TIMIŞ,"LICEUL TEORETIC ”DAVID VONIGA”",432,GIROC,155314,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:17:28",1807,1776,12,19,0,816,797,0,19,0,808,8,2000,1184,384,55,217,19,59,43,31
37,TIMIŞ,"LICEUL TEORETIC ”DAVID VONIGA”",430,GIROC,155314,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:50:27",1816,1747,48,21,0,737,716,0,21,0,728,9,2000,1263,322,32,241,27,45,47,14
37,TIMIŞ,"LICEUL TEORETIC ”DAVID VONIGA”",431,GIROC,155314,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:22:52",1889,1858,18,13,0,856,843,0,13,0,849,7,2000,1144,412,30,273,25,56,34,19
37,TIMIŞ,"LICEUL TEORETIC ”DAVID VONIGA” GIROC",425,GIROC,155314,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:53",1401,1384,5,11,1,780,768,0,11,1,763,17,1500,720,377,48,211,13,61,25,28
37,TIMIŞ,"LICEUL TEORETIC ”DAVID VONIGA” GIROC",426,GIROC,155314,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:09",1483,1461,7,12,3,845,830,0,12,3,824,21,1600,755,421,44,221,16,77,10,35
37,TIMIŞ,"LICEUL TEORETIC DAVID VONIGA GIROC",427,GIROC,155314,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:57",1429,1416,0,11,2,795,782,0,11,2,790,5,1600,805,394,61,166,7,91,10,61
37,TIMIŞ,"ȘCOALA GENERALĂ ”IOSIF CIOROGARIU”",435,GIROC,155314,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:28:23",1282,1274,0,6,2,665,657,0,6,2,653,12,1360,695,350,35,157,9,34,25,43
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ”IOSIF CIOROGARIU” ,CHIȘODA",433,GIROC,155314,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:17",1338,1299,15,17,7,770,747,0,17,6,745,25,1700,930,425,43,178,10,34,21,34
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ”IOSIF CIOROGARIU” ,CHIȘODA",434,GIROC,155314,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:23:43",1459,1411,11,28,9,717,703,0,5,9,694,23,1600,883,401,53,133,15,40,17,35
