precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOBRA CĂLIN-IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BUCIU ALEXANDRU-CLAUDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","SZABO LADISLAU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VOINEA VIRGIL-OCTAVIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MUSTAŢĂ AURELIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","TECA ION-PARTIDUL S.O.S. ROMÂNIA-voturi","DANDU GHEORGHE-BLOCUL SUVERANIST ROMÂN-voturi","FLORONI ERWIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DANCIU ELENA-VIORICA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","MICŞA-OPREA ANCA-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","SFERCOCI CRISTIAN-PETRU-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL MĂGURI",238,"MUNICIPIUL LUGOJ",155350,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:18:07",784,776,1,6,1,208,201,0,6,1,196,12,1000,792,71,34,28,1,1,7,0,24,24,0,6
37,TIMIŞ,"CINEMATOGRAFUL ”BELA LUGOSI”",232,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:01",1010,996,6,8,0,381,372,1,8,0,372,9,1100,719,123,90,34,7,3,9,0,86,10,4,6
37,TIMIŞ,"COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",208,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:37",1145,1136,0,8,1,467,458,0,8,1,455,12,1160,693,113,130,35,3,2,11,2,130,15,6,8
37,TIMIŞ,"COLEGIUL TEHNIC ”VALERIU BRANIŞTE”",227,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:33:15",1141,1118,0,5,18,525,504,0,5,16,510,15,1200,675,163,111,30,2,1,2,8,169,12,4,8
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.13",226,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:36:20",1558,1546,0,10,2,670,658,0,10,2,656,14,1600,930,185,173,48,6,9,10,2,162,36,15,10
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",219,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:33:21",1035,1027,0,8,0,475,467,0,8,0,462,13,1100,625,137,107,46,6,2,6,5,114,24,7,8
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.5 TĂPIA",239,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:32",276,269,0,7,0,126,119,0,7,0,125,1,300,174,49,28,16,0,1,10,0,15,4,1,1
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.2",228,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:37",1396,1386,3,7,0,524,517,0,7,0,518,6,1500,976,128,133,41,6,7,15,1,152,15,13,7
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.3",211,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:41:54",1354,1339,5,10,0,625,615,0,10,0,619,6,1400,775,205,183,54,0,1,12,0,91,59,6,8
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.3",210,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:41:28",1631,1622,0,8,1,657,648,0,8,1,627,30,1700,1043,190,177,65,7,3,19,3,112,38,3,10
