precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NECHITA LUCIAN-CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PETCU TRAIAN-CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOROŞ DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","VINTILĂ ANA-MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MÎŢĂ JUSTIANA-MIHAELA-PARTIDUL NOUA DREAPTĂ-voturi","POGHIRC NICOLAE-PARTIDUL PRO ROMÂNIA-voturi","NECHITA TIBERIUS-DANIEL-PARTIDUL S.O.S. ROMÂNIA-voturi","IAMANDI-RĂIANU MARIUS-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SÂRBU BOGDAN-IOAN-voturi","VLAŞIN ORANIA-voturi"
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",93,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:03",940,932,0,8,0,355,347,0,8,0,341,14,1000,645,11,44,183,41,3,3,5,19,20,12
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",94,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:32",1469,1463,0,6,0,475,469,0,6,0,450,25,1600,1125,17,32,253,58,4,3,26,31,18,8
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",95,"MUNICIPIUL BÂRLAD",161794,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:32",976,964,0,3,9,402,393,0,0,9,390,12,1000,598,34,41,214,48,3,4,12,16,13,5
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”LICURICI”",133,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:46",813,807,0,6,0,319,313,0,6,0,308,11,1015,696,17,50,158,53,0,2,8,14,3,3
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”LICURICI”",132,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:55",1243,1241,0,2,0,505,503,0,2,0,492,13,1400,895,22,53,276,62,3,4,9,30,23,10
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”LICURICI”",131,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:06",1132,1128,0,4,0,441,437,0,4,0,437,4,1200,759,15,32,250,66,4,1,13,23,24,9
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 5",96,"MUNICIPIUL BÂRLAD",161794,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:39:05",1058,1052,0,5,1,453,447,0,5,1,418,35,1200,747,22,50,206,63,2,4,8,28,22,13
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 5",97,"MUNICIPIUL BÂRLAD",161794,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:08",841,833,0,8,0,322,314,0,8,0,308,14,1000,678,10,36,171,36,4,0,7,7,32,5
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",103,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:27:30",1464,1461,0,3,0,386,383,0,3,0,376,10,2000,1614,21,19,219,41,4,4,11,23,23,11
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",109,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:28",1307,1301,0,6,0,424,418,0,6,0,415,9,1400,976,21,45,260,29,3,2,9,19,18,9
