precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VÎNĂTORU VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","ŢANDURĂ MARIUS-IRINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STAMATIN CRISTINEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
39,VASLUI,"CAMINUL CULTURAL",190,BANCA,162194,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:40",311,307,0,2,2,170,166,0,2,2,164,6,400,230,109,1,54
39,VASLUI,"CĂMINUL CULTURAL DIN SAT ȚIFU",193,BANCA,162194,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:34:20",293,283,0,7,3,201,191,0,7,3,195,6,300,99,127,3,65
39,VASLUI,"GRĂDINIȚA MITOC",189,BANCA,162194,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:58:08",333,327,0,3,3,182,176,0,3,3,176,6,350,168,86,0,90
39,VASLUI,"GRĂDINIŢA STRÂMTURA-MITOC",192,BANCA,162194,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:03:54",185,180,0,5,0,111,106,0,5,0,109,2,200,89,44,3,62
39,VASLUI,"ŞCOALA GIMNAZIALĂ BANCA",186,BANCA,162194,2,PART,PRCNCT,P,P_SV,"2024-06-13 20:16:27",820,797,0,14,9,506,483,0,14,9,473,19,860,368,283,3,187
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 1 GARA BANCA",184,BANCA,162194,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:45",1143,1122,1,14,6,701,681,0,14,6,677,24,1200,499,303,7,367
39,VASLUI,"ŞCOALA PRIMARĂ 1 DECEMBRIE",185,BANCA,162194,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:17",333,322,0,10,1,219,208,0,10,1,212,7,350,131,107,3,102
39,VASLUI,"ŞCOALA PRIMARĂ GHERMĂNEŞTI",187,BANCA,162194,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:06",371,365,0,3,3,206,200,0,3,3,192,14,392,186,96,2,94
39,VASLUI,"ŞCOALA PRIMARA MICLEȘTI",188,BANCA,162194,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:57:14",183,177,0,6,0,109,103,0,6,0,106,3,200,91,69,1,36
39,VASLUI,"ŞCOALA PRIMARĂ STOIŞEŞTI",191,BANCA,162194,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:51",470,450,0,10,10,296,276,0,10,10,285,11,500,204,137,0,148
