precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","OLĂRAŞU COSMIN-ALIN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
22,HUNEDOARA,"ADĂPOSTUL DE URGENŢĂ PE TIMP DE NOAPTE",43,"MUNICIPIUL DEVA",86687,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:50:36",882,873,3,4,2,450,444,0,4,2,403,41,900,456,165,19,4,35,77,7,75,5,16
22,HUNEDOARA,"AFTER SCHOOL",318,BUCEŞ,88788,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:08:02",331,324,0,3,4,228,221,0,3,4,203,25,340,112,67,1,0,5,73,2,53,1,1
22,HUNEDOARA,"AMFITEATRUL UNIVERSITĂȚII",143,"MUNICIPIUL PETROŞANI",86990,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:44:06",1300,1289,2,9,0,454,445,0,9,0,435,19,1400,946,169,16,10,46,68,3,94,2,27
22,HUNEDOARA,"ASOCIAȚIA COMPOSESORALĂ ”NOBIL” ZEICANI - MAGAZIN ZEICANI",455,SARMIZEGETUSA,91054,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:03:15",90,82,0,1,7,70,62,0,1,7,68,2,101,31,33,0,0,2,19,0,9,1,4
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",156,"MUNICIPIUL PETROŞANI",86990,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:53:32",1392,1383,1,8,0,493,485,0,8,0,458,35,1500,1007,196,27,11,14,53,4,122,12,19
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",157,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:26:54",1642,1615,0,3,24,544,517,0,3,24,517,27,1800,1256,222,29,3,31,37,20,150,5,20
22,HUNEDOARA,"CĂMIN CULTURAL BOŞ (GRĂDINIŢA)",107,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:40:58",514,503,2,9,0,224,215,0,9,0,219,5,550,326,101,6,0,20,30,2,28,13,19
22,HUNEDOARA,"CĂMIN CULTURAL MERIA",394,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:59:06",191,191,0,0,0,159,159,0,0,0,140,19,210,51,12,0,0,27,86,0,12,0,3
22,HUNEDOARA,"CĂMIN CULTURAL MUNCELU MARE",514,VEŢEL,91982,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:55:16",59,51,0,8,0,38,30,0,8,0,37,1,73,35,9,0,0,0,15,0,7,1,5
22,HUNEDOARA,"CĂMIN CULTURAL NEGOIU",395,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:02:30",155,143,7,5,0,103,98,0,5,0,101,2,160,57,18,0,1,3,69,0,9,0,1
22,HUNEDOARA,"CAMIN CULTURAL RUNCU MARE",392,LELESE,90066,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:28:55",77,73,0,4,0,61,57,0,4,0,57,4,76,15,35,1,0,1,15,0,3,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL",197,"ORAŞ CĂLAN",87424,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:20:35",244,232,2,9,1,157,146,1,9,1,141,16,250,93,42,0,1,7,67,5,16,0,3
22,HUNEDOARA,"CĂMINUL CULTURAL",200,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:29:00",300,293,0,4,3,163,156,0,4,3,153,10,350,187,38,4,0,2,68,1,35,1,4
22,HUNEDOARA,"CĂMINUL CULTURAL",196,"ORAŞ CĂLAN",87424,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:02:27",280,262,0,9,9,186,168,0,9,9,177,9,300,114,52,1,3,16,65,3,35,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL",201,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:42",167,158,0,5,4,113,104,0,5,4,107,6,200,87,24,2,0,3,41,2,32,1,2
22,HUNEDOARA,"CĂMINUL CULTURAL",203,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:50",254,250,0,4,0,163,159,0,4,0,157,6,300,137,59,1,0,6,52,1,38,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞ SĂLIŞTE",521,ZAM,92177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:11:38",109,101,1,7,0,65,57,1,7,0,59,6,117,52,16,1,0,1,30,0,9,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞU MIC",410,"PESTIŞU MIC",90431,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:22:23",83,64,1,16,2,71,53,0,16,2,70,1,80,9,13,0,1,3,41,1,10,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞU SEC",336,CÂRJIŢI,86749,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:24",206,170,2,32,2,165,130,1,32,2,159,6,180,15,30,1,0,11,78,5,26,3,5
22,HUNEDOARA,"CĂMINUL CULTURAL ALUN",292,BOŞOROD,88449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:21:23",57,51,2,4,0,41,37,0,4,0,40,1,57,16,18,0,0,2,12,0,6,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL ARDEU",261,BALŞA,87843,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:08:29",56,49,0,7,0,48,41,0,7,0,46,2,55,7,17,2,1,0,16,0,9,0,1
22,HUNEDOARA,"CĂMINUL CULTURAL AUREL VLAICU",206,"ORAŞ GEOAGIU",89561,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:29:00",790,768,13,7,2,473,460,4,7,2,453,11,850,380,154,5,3,11,220,0,47,4,9
22,HUNEDOARA,"CĂMINUL CULTURAL BACEA",381,ILIA,89856,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:20",278,266,0,6,6,151,139,0,6,6,137,14,302,151,75,4,1,2,15,0,36,0,4
22,HUNEDOARA,"CĂMINUL CULTURAL BĂCIA",270,BĂCIA,88047,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:01:32",856,843,1,11,1,525,513,0,11,1,504,20,925,401,228,8,0,33,77,6,83,8,61
22,HUNEDOARA,"CĂMINUL CULTURAL BĂIȚA",273,BĂIŢA,88092,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:18",1018,990,11,8,9,603,584,2,8,9,590,13,1108,505,288,4,1,17,166,3,90,3,18
22,HUNEDOARA,"CĂMINUL CULTURAL BĂLATA",475,ŞOIMUŞ,91330,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:56:42",365,362,0,3,0,243,240,0,3,0,230,13,400,157,42,5,0,10,125,0,42,4,2
22,HUNEDOARA,"CĂMINUL CULTURAL BALOMIR",467,SÂNTĂMĂRIA-ORLEA,91232,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:22:20",271,258,2,5,6,193,182,0,5,6,184,9,280,87,95,1,0,5,26,1,54,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL BERIU",281,BERIU,88261,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:57:59",612,600,0,8,4,369,357,0,8,4,351,18,700,331,102,7,0,17,115,4,90,3,13
22,HUNEDOARA,"CĂMINUL CULTURAL BLĂJENI",287,BLĂJENI,88350,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:16:02",490,416,0,54,20,435,361,0,54,20,417,18,474,39,186,0,2,8,156,4,47,0,14
22,HUNEDOARA,"CĂMINUL CULTURAL BOBÂLNA",429,"RAPOLTU MARE",90663,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:33:55",384,371,0,10,3,258,245,0,10,3,241,17,410,152,73,7,1,21,18,2,111,0,8
