precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 22:54:25",1351,1336,1,13,1,601,587,0,13,1,577,24,1496,895,12,47,169,230,21,32,62,4
23,IALOMIŢA,"CĂMIN CULTURAL",218,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:23",361,339,0,5,17,248,226,0,5,17,224,24,400,152,4,13,9,154,5,0,39,0
23,IALOMIŢA,"CĂMIN CULTURAL",102,BALACIU,92907,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 10:33:17",389,329,0,12,48,255,195,0,12,48,242,13,400,145,4,23,75,98,16,2,23,1
23,IALOMIŢA,"CĂMIN CULTURAL",217,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:43:38",901,845,0,17,39,663,607,0,17,39,593,70,965,302,9,40,63,369,23,3,83,3
23,IALOMIŢA,"CĂMIN CULTURAL FRĂȚILEȘTI",203,SĂVENI,94376,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:49:01",344,344,0,0,0,172,172,0,0,0,153,19,413,241,2,25,8,68,4,0,42,4
23,IALOMIŢA,"CĂMIN CULTURAL GHIMPAŢI",128,CIULNIŢA,93156,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:34:10",201,196,0,5,0,137,132,0,5,0,128,9,200,63,2,10,52,61,0,0,3,0
23,IALOMIŢA,"CĂMIN CULTURAL ION GHICA",126,CIULNIŢA,93156,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:07:34",474,460,0,14,0,294,280,0,14,0,283,11,500,206,2,23,134,107,8,1,8,0
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:44:15",1354,1320,3,11,20,887,855,1,11,20,833,54,1484,597,54,142,160,366,29,7,73,2
23,IALOMIŢA,"CAMIN CULTURAL PLATONEŞTI",189,PLATONEŞTI,180000,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:17",748,717,1,21,9,480,450,0,21,9,444,36,800,320,5,66,25,242,15,1,85,5
23,IALOMIŢA,"CĂMIN CULTURAL POIANA - SALA DE FESTIVITĂȚI",127,CIULNIŢA,93156,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:44",355,350,0,5,0,222,217,0,5,0,213,9,400,178,5,12,66,101,11,0,15,3
23,IALOMIŢA,"CĂMIN CULTURAL, SAT SINTEŞTI",114,BORĂNEŞTI,179784,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:08",318,311,0,7,0,227,220,0,7,0,219,8,347,120,8,18,87,65,5,1,35,0
23,IALOMIŢA,"CĂMINUL CULTURAL",220,VLĂDENI,94795,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:04:39",737,725,0,4,8,473,461,0,4,8,446,27,800,327,9,37,87,277,30,2,3,1
23,IALOMIŢA,"CĂMINUL CULTURAL",118,BUCU,93021,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:40:47",1015,1006,2,1,6,565,558,0,1,6,528,37,1100,535,4,65,80,281,20,7,59,12
23,IALOMIŢA,"CĂMINUL CULTURAL",154,GRINDU,93717,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:00:20",752,725,5,19,3,497,474,1,19,3,460,37,800,303,4,40,105,292,10,1,8,0
23,IALOMIŢA,"CĂMINUL CULTURAL",155,GRINDU,93717,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:38:57",725,708,0,16,1,501,484,0,16,1,478,23,788,287,4,33,126,289,14,2,10,0
23,IALOMIŢA,"CĂMINUL CULTURAL",119,BUCU,93021,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:52:51",994,978,0,3,13,545,529,0,3,13,515,30,1103,558,3,41,123,269,26,9,41,3
23,IALOMIŢA,"CĂMINUL CULTURAL",219,VLĂDENI,94795,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:46:33",848,842,0,0,6,536,530,0,0,6,508,28,934,398,11,45,86,337,23,0,4,2
23,IALOMIŢA,"CĂMINUL CULTURAL COSÂMBEŞTI",132,COSÂMBEŞTI,93236,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:30:18",817,782,1,16,18,524,489,1,16,18,504,20,872,348,2,64,198,196,17,5,17,5
23,IALOMIŢA,"CAMINUL CULTURAL COSERENI",134,COŞERENI,102240,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:49:46",1252,1223,1,18,10,848,820,0,18,10,802,46,1360,512,106,65,252,296,42,5,33,3
23,IALOMIŢA,"CĂMINUL CULTURAL DRĂGOEŞTI",137,DRĂGOEŞTI,102641,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:27",768,693,0,50,25,582,507,0,50,25,543,39,789,207,4,78,26,383,15,0,36,1
