precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL PATRIOȚILOR-voturi","FORȚA DREPTEI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL VERTICALA NOUĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 16:14:04",1390,1373,5,12,0,625,613,0,12,0,608,17,1504,879,103,1,25,31,129,5,6,2,10,81,38,15,7,155
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 22:50:13",1741,1711,16,14,0,917,903,0,14,0,894,23,1800,883,145,5,26,72,181,10,8,3,10,122,30,11,20,251
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 23:42:29",1309,1286,12,11,0,567,556,0,11,0,556,8,1400,833,99,5,20,25,118,3,2,2,5,60,59,22,11,125
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:01:55",1206,1195,1,9,1,623,613,0,9,1,610,13,1303,680,91,2,32,27,126,6,3,2,8,40,139,15,16,103
26,MARAMUREŞ,"CĂMIN CULTURAL",318,FĂRCAŞA,108106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:21:05",463,427,5,23,8,325,291,3,23,8,316,8,500,176,6,0,4,19,189,0,1,0,0,21,2,2,2,70
26,MARAMUREŞ,"CĂMIN CULTURAL",280,CICÂRLĂU,107662,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 10:52:32",1164,1137,1,26,0,616,590,0,26,0,586,30,1300,684,17,0,11,45,109,1,0,0,6,6,3,11,16,361
26,MARAMUREŞ,"CĂMIN CULTURAL",256,"BOGDAN VODĂ",107403,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:43:15",537,494,0,16,27,260,217,0,16,27,225,35,500,240,2,0,0,10,154,1,1,4,1,1,0,0,1,50
26,MARAMUREŞ,"CĂMIN CULTURAL",277,CICÂRLĂU,107662,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:10:05",1928,1907,2,13,6,922,903,0,13,6,906,16,2080,1158,44,3,24,30,259,5,2,0,5,34,6,16,25,453
26,MARAMUREŞ,"CĂMIN CULTURAL",317,FĂRCAŞA,108106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:49:30",628,592,0,20,16,322,286,0,20,16,307,15,600,278,17,0,4,19,160,1,0,1,5,9,0,4,5,82
26,MARAMUREŞ,"CĂMIN CULTURAL",378,REMEŢI,108552,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:09",319,315,0,3,1,152,148,0,3,1,133,19,400,248,3,0,2,3,31,0,0,8,0,0,35,1,9,41
26,MARAMUREŞ,"CĂMIN CULTURAL",319,FĂRCAŞA,108106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:07",932,876,0,41,15,522,466,0,41,15,491,31,1000,478,16,0,19,15,234,0,0,0,5,8,3,39,8,144
26,MARAMUREŞ,"CĂMIN CULTURAL",279,CICÂRLĂU,107662,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:33:32",396,386,1,9,0,214,205,0,9,0,195,19,400,186,3,0,0,11,25,0,0,0,0,2,0,1,9,144
26,MARAMUREŞ,"CAMINUL CULTURAL",269,"CÂMPULUNG LA TISA",107715,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 13:17:05",1213,1203,1,0,9,699,689,1,0,9,677,22,1300,601,5,0,1,21,182,1,0,3,2,0,347,1,13,101
26,MARAMUREŞ,"CĂMINUL CULTURAL",268,CĂLINEŞTI,107546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:15:18",1099,1076,0,7,16,696,673,0,7,16,657,39,1200,504,23,1,5,36,176,37,1,13,2,1,5,6,7,344
26,MARAMUREŞ,"CĂMINUL CULTURAL",440,"VIMA MICĂ",109425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:18:11",217,201,0,9,7,161,145,0,9,7,156,5,250,89,4,0,0,3,73,0,0,0,1,0,1,2,1,71
26,MARAMUREŞ,"CĂMINUL CULTURAL",429,"VALEA CHIOARULUI",109354,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:44:42",539,484,1,38,16,403,348,1,38,16,384,19,580,177,8,1,3,11,155,0,0,1,1,3,8,2,7,184
26,MARAMUREŞ,"CĂMINUL CULTURAL",173,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:59:43",212,193,0,11,8,163,144,0,11,8,160,3,300,137,4,0,0,2,33,0,0,1,0,0,1,0,1,118
26,MARAMUREŞ,"CĂMINUL CULTURAL",233,"BĂIŢA DE SUB CODRU",107118,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:26:23",285,252,0,29,4,235,202,0,29,4,214,17,300,65,41,0,0,10,51,0,0,0,13,1,2,7,10,79
26,MARAMUREŞ,"CĂMINUL CULTURAL",235,BĂIUŢ,107154,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:41:27",159,150,0,6,3,103,94,0,6,3,97,6,200,97,5,1,0,4,38,0,1,0,0,1,1,3,0,43
26,MARAMUREŞ,"CĂMINUL CULTURAL",168,"ORAŞ ŞOMCUTA MARE",109176,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 23:32:54",621,607,2,8,4,375,363,0,8,4,360,15,700,325,33,0,3,15,58,1,0,1,2,3,7,5,4,228
