county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","ALIANȚA PENTRU AGIGEA-voturi","ALIANȚA PENTRU AGIGEA-mandate-faza-1","ALIANȚA PENTRU AGIGEA-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","CĂLIN IONEL-voturi","CĂLIN IONEL-mandate-faza-1","CĂLIN IONEL-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","COCOŞ GRIGORE-voturi","COCOŞ GRIGORE-mandate-faza-1","COCOŞ GRIGORE-mandate-faza-2","ROBESCU JENICA-voturi","ROBESCU JENICA-mandate-faza-1","ROBESCU JENICA-mandate-faza-2","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-mandate-faza-1","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","ROMAN IOAN-voturi","ROMAN IOAN-mandate-faza-1","ROMAN IOAN-mandate-faza-2","ROTARIU IRINA-IULIANA-voturi","ROTARIU IRINA-IULIANA-mandate-faza-1","ROTARIU IRINA-IULIANA-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-1","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-2","PARTIDUL MAKEDONARMÂNILOR DIN ROMÂNIA-voturi","PARTIDUL MAKEDONARMÂNILOR DIN ROMÂNIA-mandate-faza-1","PARTIDUL MAKEDONARMÂNILOR DIN ROMÂNIA-mandate-faza-2","OVANESIAN FELICIA-NADINA-voturi","OVANESIAN FELICIA-NADINA-mandate-faza-1","OVANESIAN FELICIA-NADINA-mandate-faza-2","POPESCU GEORGE-ANDREI-voturi","POPESCU GEORGE-ANDREI-mandate-faza-1","POPESCU GEORGE-ANDREI-mandate-faza-2","VOINEAGU EUGEN-voturi","VOINEAGU EUGEN-mandate-faza-1","VOINEAGU EUGEN-mandate-faza-2","ALIANȚA NOI SUNTEM MANGALIA-voturi","ALIANȚA NOI SUNTEM MANGALIA-mandate-faza-1","ALIANȚA NOI SUNTEM MANGALIA-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","ALIANȚA PENTRU MEDGIDIA-voturi","ALIANȚA PENTRU MEDGIDIA-mandate-faza-1","ALIANȚA PENTRU MEDGIDIA-mandate-faza-2","CHIRIAC LILIANA-voturi","CHIRIAC LILIANA-mandate-faza-1","CHIRIAC LILIANA-mandate-faza-2","STOIAN PETRICĂ-voturi","STOIAN PETRICĂ-mandate-faza-1","STOIAN PETRICĂ-mandate-faza-2","LUNGU CĂTĂLIN-voturi","LUNGU CĂTĂLIN-mandate-faza-1","LUNGU CĂTĂLIN-mandate-faza-2","CONSTANTIN LUCIAN-voturi","CONSTANTIN LUCIAN-mandate-faza-1","CONSTANTIN LUCIAN-mandate-faza-2","PARTIDUL NEAMUL ROMÂNESC-voturi","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-1","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-2","PARASCHIV IONEL-CLAUDIU-voturi","PARASCHIV IONEL-CLAUDIU-mandate-faza-1","PARASCHIV IONEL-CLAUDIU-mandate-faza-2","STREINU FLORENTIN-voturi","STREINU FLORENTIN-mandate-faza-1","STREINU FLORENTIN-mandate-faza-2","PARTIDUL ADEVĂR, DEMOCRAȚIE, EDUCAȚIE, RECONSTRUCȚIE-voturi","PARTIDUL ADEVĂR, DEMOCRAȚIE, EDUCAȚIE, RECONSTRUCȚIE-mandate-faza-1","PARTIDUL ADEVĂR, DEMOCRAȚIE, EDUCAȚIE, RECONSTRUCȚIE-mandate-faza-2","SCRABA ION-voturi","SCRABA ION-mandate-faza-1","SCRABA ION-mandate-faza-2","CONSTANTIN GEORGEL-voturi","CONSTANTIN GEORGEL-mandate-faza-1","CONSTANTIN GEORGEL-mandate-faza-2","ŞTEFAN MARIA-voturi","ŞTEFAN MARIA-mandate-faza-1","ŞTEFAN MARIA-mandate-faza-2"
14,CONSTANŢA,"23 AUGUST",60598,2,FINAL,UAT,CL,CL_CE,"2024-06-19 15:20:26",4823,4796,9,13,5,2492,2472,2,13,5,2409,82,5278,2787,120,168,192,151,1767,11,1,310,2,0,60,0,0,197,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CONSTANŢA,ADAMCLISI,60883,1,FINAL,UAT,CL,CL_CE,"2024-06-10 13:47:50",1849,1735,1,83,30,1321,1208,0,83,30,1262,59,1915,594,63,88,100,113,336,2,1,396,3,1,132,1,0,146,1,0,15,0,0,139,1,0,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CONSTANŢA,AGIGEA,60570,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:58:02",8061,7869,11,171,10,4982,4800,2,170,10,4864,118,8617,3635,243,340,389,307,0,0,0,2427,7,1,0,0,0,353,1,0,100,0,0,0,0,0,0,0,0,1839,5,1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CONSTANŢA,ALBEŞTI,60945,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:44:12",3113,3038,1,45,29,1894,1820,0,45,29,1829,64,3208,1315,91,128,146,133,1055,7,1,237,1,1,0,0,0,444,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CONSTANŢA,ALIMAN,61005,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:54:31",2150,2107,1,20,22,1352,1310,0,20,22,1306,46,2309,957,65,91,104,113,877,7,1,371,3,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CONSTANŢA,AMZACEA,63198,1,FINAL,UAT,CL,CL_CE,"2024-06-10 19:29:44",2344,2292,2,14,36,1323,1272,1,14,36,1263,60,2504,1181,63,88,101,108,798,7,0,298,2,1,0,0,0,55,0,0,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CONSTANŢA,BĂNEASA,61069,1,FINAL,UAT,CL,CL_CE,"2024-06-10 19:02:02",4307,4217,0,24,66,2646,2556,0,24,66,2502,144,4668,2022,125,175,200,166,1519,9,0,807,4,1,0,0,0,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CONSTANŢA,BĂRĂGANU,63294,1,FINAL,UAT,CL,CL_CE,"2024-06-10 15:58:10",1662,1655,1,2,4,956,949,1,2,4,926,22,1819,871,46,64,74,84,262,3,0,367,4,1,0,0,0,186,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CONSTANŢA,CASTELU,61121,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:33:12",4337,4239,4,49,45,2649,2554,1,49,45,2512,137,4624,1975,125,175,200,167,997,5,1,1337,8,0,0,0,0,178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CONSTANŢA,CERCHEZU,61167,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:22:12",1077,1010,0,46,21,705,638,0,46,21,675,30,1119,414,33,47,54,72,119,1,1,332,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
