county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL VOLT ROMANIA-voturi","PARTIDUL VOLT ROMANIA-mandate-faza-1","PARTIDUL VOLT ROMANIA-mandate-faza-2","ENACHE IONUŢ-VIOREL-voturi","ENACHE IONUŢ-VIOREL-mandate-faza-1","ENACHE IONUŢ-VIOREL-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","BLOCUL SUVERANIST ROMÂN-voturi","BLOCUL SUVERANIST ROMÂN-mandate-faza-1","BLOCUL SUVERANIST ROMÂN-mandate-faza-2","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-mandate-faza-1","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","PINTILIE ADRIAN-GABRIEL-voturi","PINTILIE ADRIAN-GABRIEL-mandate-faza-1","PINTILIE ADRIAN-GABRIEL-mandate-faza-2","BRATU MARIAN-voturi","BRATU MARIAN-mandate-faza-1","BRATU MARIAN-mandate-faza-2","TRICĂ FLORIN-voturi","TRICĂ FLORIN-mandate-faza-1","TRICĂ FLORIN-mandate-faza-2"
19,GIURGIU,ADUNAŢII-COPĂCENI,100781,2,FINAL,UAT,CL,CL_CE,"2024-06-12 16:06:07",5145,5054,1,82,8,2674,2584,0,82,8,2597,77,5542,2868,129,181,207,173,2147,12,1,232,1,0,218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,BĂNEASA,101001,2,FINAL,UAT,CL,CL_CE,"2024-06-11 17:34:08",3794,3553,3,118,120,2663,2425,0,118,120,2574,89,4037,1374,128,180,205,198,1886,9,1,265,1,0,423,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,BOLINTIN-DEAL,101163,2,FINAL,UAT,CL,CL_CE,"2024-06-12 13:11:41",5167,5056,11,71,29,2820,2717,3,71,29,2708,112,5603,2783,135,189,216,180,1468,8,0,225,1,0,821,4,1,194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,BUCŞANI,101378,2,FINAL,UAT,CL,CL_CE,"2024-06-12 10:42:13",2903,2681,0,205,17,2263,2041,0,205,17,2219,44,2953,690,110,155,177,164,1694,10,0,82,0,0,443,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,BULBUCATA,101519,1,FINAL,UAT,CL,CL_CE,"2024-06-10 05:08:13",1235,1082,2,149,2,914,763,0,149,2,885,29,1183,269,44,61,70,98,885,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,BUTURUGENI,101617,2,FINAL,UAT,CL,CL_CE,"2024-06-12 15:26:37",3167,3043,1,79,44,2318,2195,0,79,44,2248,70,3401,1083,112,157,179,172,1456,8,0,136,0,1,656,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,CĂLUGĂRENI,101662,3,FINAL,UAT,CL,CL_CE,"2024-06-13 15:05:24",4389,4285,2,100,2,2914,2812,0,100,2,2806,108,4715,1801,140,196,224,187,1828,9,1,0,0,0,728,3,1,0,0,0,250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,CLEJANI,101984,2,FINAL,UAT,CL,CL_CE,"2024-06-11 16:19:32",2591,2402,6,78,105,1981,1798,0,78,105,1887,94,2743,762,94,132,150,137,1784,13,0,47,0,0,43,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,COLIBAŞI,102071,3,FINAL,UAT,CL,CL_CE,"2024-06-13 16:02:21",2562,2434,1,27,100,1836,1710,0,27,99,1786,50,2797,961,89,125,142,159,1315,8,0,0,0,0,442,2,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,COMANA,102106,2,FINAL,UAT,CL,CL_CE,"2024-06-20 11:51:48",5334,4803,9,171,351,3653,3129,2,171,351,3545,108,5677,2024,177,248,283,220,993,4,0,137,0,0,2316,10,1,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
