county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","PARTIDUL IALOMIȚENILOR-voturi","PARTIDUL IALOMIȚENILOR-mandate-faza-1","PARTIDUL IALOMIȚENILOR-mandate-faza-2","IORDACHE DIANA-IZABELA-voturi","IORDACHE DIANA-IZABELA-mandate-faza-1","IORDACHE DIANA-IZABELA-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-mandate-faza-1","PARTIDUL LEGE EDUCAȚIE UNITATE-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","ALEXE EMIL-voturi","ALEXE EMIL-mandate-faza-1","ALEXE EMIL-mandate-faza-2","DOLETE ANGELICA-ANA-voturi","DOLETE ANGELICA-ANA-mandate-faza-1","DOLETE ANGELICA-ANA-mandate-faza-2","NACHE ARISTIDE-voturi","NACHE ARISTIDE-mandate-faza-1","NACHE ARISTIDE-mandate-faza-2","PARTIDUL VOLT ROMANIA-voturi","PARTIDUL VOLT ROMANIA-mandate-faza-1","PARTIDUL VOLT ROMANIA-mandate-faza-2","PARTIDUL PATRIOȚILOR QANON-voturi","PARTIDUL PATRIOȚILOR QANON-mandate-faza-1","PARTIDUL PATRIOȚILOR QANON-mandate-faza-2","BOCIOAGĂ IULIU-CIPRIAN-voturi","BOCIOAGĂ IULIU-CIPRIAN-mandate-faza-1","BOCIOAGĂ IULIU-CIPRIAN-mandate-faza-2","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-mandate-faza-1","PARTIDUL PATRIOȚII POPORULUI ROMÂN-mandate-faza-2","SANDU DORINA-voturi","SANDU DORINA-mandate-faza-1","SANDU DORINA-mandate-faza-2","GHIORGHIŞOR IONEL-voturi","GHIORGHIŞOR IONEL-mandate-faza-1","GHIORGHIŞOR IONEL-mandate-faza-2","GRESIANU DANIEL-IONUŢ-voturi","GRESIANU DANIEL-IONUŢ-mandate-faza-1","GRESIANU DANIEL-IONUŢ-mandate-faza-2","CĂLIN DOBRIN-voturi","CĂLIN DOBRIN-mandate-faza-1","CĂLIN DOBRIN-mandate-faza-2"
23,IALOMIŢA,ADÂNCATA,100754,2,FINAL,UAT,CL,CL_CE,"2024-06-20 11:40:35",1959,1823,0,99,37,1375,1239,0,99,37,1343,32,2052,677,67,94,107,122,128,1,0,794,6,1,421,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,ALBEŞTI,92783,2,FINAL,UAT,CL,CL_CE,"2024-06-14 17:33:08",912,866,0,4,42,581,535,0,4,42,548,33,1000,419,27,38,43,60,0,0,0,483,8,0,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,ALEXENI,100852,2,FINAL,UAT,CL,CL_CE,"2024-06-13 17:32:09",1903,1750,1,53,99,1348,1196,0,53,99,1315,33,2029,681,65,92,105,118,0,0,0,644,5,0,657,5,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,ANDRĂŞEŞTI,92872,2,FINAL,UAT,CL,CL_CE,"2024-06-14 09:41:03",1678,1614,3,30,31,1007,946,0,30,31,952,52,1809,805,47,66,76,76,104,1,0,301,3,1,433,5,1,70,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,ARMĂŞEŞTI,100870,2,FINAL,UAT,CL,CL_CE,"2024-06-14 09:29:34",1684,1649,0,35,0,908,873,0,35,0,875,33,1813,905,43,61,70,77,72,0,1,649,8,0,18,0,0,136,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,AXINTELE,100923,2,FINAL,UAT,CL,CL_CE,"2024-06-13 18:16:19",1715,1695,0,16,4,1087,1070,0,16,1,1015,72,1834,747,50,71,81,88,202,2,0,523,5,1,154,1,1,92,1,0,0,0,0,25,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,BALACIU,92907,2,FINAL,UAT,CL,CL_CE,"2024-06-12 18:43:46",1155,1089,0,18,48,713,647,0,18,48,664,49,1254,541,33,46,53,73,73,1,0,290,3,1,170,2,0,131,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,BĂRBULEŞTI,180064,1,FINAL,UAT,CL,CL_CE,"2024-06-10 03:53:31",4627,4627,0,0,0,1225,1225,0,0,0,1197,28,5095,3870,59,83,95,79,0,0,0,1197,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,BĂRCĂNEŞTI,101056,2,FINAL,UAT,CL,CL_CE,"2024-06-14 14:51:56",2656,2593,2,50,11,1728,1666,1,50,11,1648,80,2869,1141,82,115,131,126,85,0,1,982,7,1,421,3,0,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,BORĂNEŞTI,179784,2,FINAL,UAT,CL,CL_CE,"2024-06-14 11:23:33",1854,1817,0,22,15,1283,1246,0,22,15,1239,44,2027,744,61,86,99,112,99,0,1,239,2,0,712,6,0,189,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
