precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POGAR LAURENŢIU-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FECHET MIRCEA-PARTIDUL NAȚIONAL LIBERAL-voturi","MARGINĂ GELU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BREAHNĂ-PRAVĂŢ IONELA-CRISTINA-PARTIDUL SOCIAL DEMOCRAT-voturi","DÂRLEA ALEXANDRU-PARTIDUL S.O.S. ROMÂNIA-voturi","GRIGOROAIA CORNEL-VIOREL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","MELINTE ION-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MOGHIOR MARIUS-CĂTĂLIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"ADMINISTRAȚIA FINANȚELOR PUBLICE BACĂU",21,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:33:03",953,942,1,10,0,381,371,0,10,0,361,20,1000,619,4,77,39,119,18,19,78,7
4,BACĂU,"ASOCIAȚIA ”SFÂNTUL VOIEVOD ŞTEFAN CEL MARE- HÂRJA”",475,OITUZ,23797,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:25:05",240,233,0,7,0,65,58,0,7,0,61,4,328,263,2,13,17,23,3,1,2,0
4,BACĂU,"BAZA SPORTIVA ”LIA MANOLIU” RĂCĂCIUNI",537,RĂCĂCIUNI,24766,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:18:42",1575,1563,0,9,3,693,681,0,9,3,660,33,1700,1007,7,136,52,317,25,43,40,40
4,BACĂU,"BAZINUL OLIMPIC BACĂU",103,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:00:19",1533,1525,0,8,0,233,225,0,8,0,220,13,1700,1467,1,46,36,70,14,10,39,4
4,BACĂU,"BAZINUL OLIMPIC BACĂU",102,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:19:40",1785,1778,0,7,0,348,341,0,7,0,329,19,1900,1552,3,84,38,102,24,11,56,11
4,BACĂU,"BIBLIOTECA MUNICIPALĂ ” PROFESOR CONSTANTIN LOVIN”",131,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:26:26",1141,1136,1,4,0,494,489,1,4,0,469,25,1300,806,2,195,46,130,38,24,30,4
4,BACĂU,"BIBLIOTECA ORĂŞENEASCĂ ”GEORGE BACOVIA”",184,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:12:23",1669,1667,0,0,2,530,528,0,0,2,504,26,1800,1270,2,152,53,214,20,6,54,3
4,BACĂU,"BIBLIOTECA ORAŞULUI COMĂNEȘTI",195,"ORAŞ COMĂNEŞTI",20821,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:18:09",1339,1331,1,7,0,589,582,0,7,0,575,14,1500,911,1,246,55,205,30,8,25,5
4,BACĂU,"BIBLIOTECA PUBLICA ”CALISTRAT HOGAS” BALCANI",248,BALCANI,21196,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:43:45",1067,1047,0,4,16,498,478,0,4,16,459,39,1200,702,2,163,71,193,16,7,7,0
4,BACĂU,"CABINET MEDICAL",582,SOLONŢ,25488,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:05:20",656,650,0,4,2,283,277,0,4,2,268,15,700,417,0,37,27,150,12,1,40,1
4,BACĂU,"CAMIN CULTURAL",594,"ŞTEFAN CEL MARE",20670,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:13:04",749,742,1,2,4,372,366,0,2,4,364,8,800,428,0,42,43,244,20,3,9,3
4,BACĂU,"CĂMIN CULTURAL",375,"GURA VĂII",20607,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:31:04",931,922,0,3,6,474,465,0,3,6,457,17,1000,526,5,28,26,377,5,0,14,2
4,BACĂU,"CĂMIN CULTURAL COȚOFĂNEȘTI",318,COŢOFĂNEŞTI,22059,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:29:48",974,947,0,6,21,601,574,0,6,21,583,18,1000,399,8,115,58,369,19,3,8,3
4,BACĂU,"CAMIN CULTURAL DEALU MORII",325,"DEALU MORII",22237,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:52",830,785,1,9,35,527,483,0,9,35,502,25,905,378,4,45,26,395,12,3,17,0
4,BACĂU,"CAMIN CULTURAL DRĂGUGEŞTI",383,HELEGIU,22898,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:24",1196,1180,0,8,8,557,541,0,8,8,521,36,1300,743,6,85,87,282,5,1,53,2
4,BACĂU,"CĂMIN CULTURAL FĂGET",360,GHIMEŞ-FĂGET,22718,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 11:44:54",1106,1102,0,4,0,605,601,0,4,0,575,30,1200,595,391,38,20,103,13,0,8,2
4,BACĂU,"CAMIN CULTURAL FLORESTI",574,SCORŢENI,25291,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:42:12",567,557,0,7,3,302,292,0,7,3,287,15,600,298,3,95,30,77,59,5,15,3
4,BACĂU,"CAMIN CULTURAL GRIGORENI",575,SCORŢENI,25291,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:32:21",662,643,1,7,11,388,369,1,7,11,368,20,708,320,2,254,23,41,15,4,15,14
4,BACĂU,"CAMIN CULTURAL SAUCESTI",567,SĂUCEŞTI,25228,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:55",1170,1164,2,1,3,588,584,0,1,3,557,31,1300,712,3,82,92,299,33,17,20,11
4,BACĂU,"CĂMINUL CULTURAL BOANŢA",347,FILIPEŞTI,22576,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:47:20",268,252,0,15,1,146,130,0,15,1,136,10,300,154,2,78,21,23,5,4,1,2
4,BACĂU,"CAMINUL CULTURAL BOGATA",331,DOFTEANA,22380,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:28:49",692,677,1,8,6,360,345,1,8,6,340,20,800,440,2,51,38,209,17,2,17,4
4,BACĂU,"CĂMINUL CULTURAL CIUMAŞI",401,ITEŞTI,26379,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:49:14",146,137,0,5,4,92,83,0,5,4,89,3,200,108,1,47,33,6,2,0,0,0
4,BACĂU,"CĂMINUL CULTURAL COȘNEA",233,AGĂŞ,21007,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:57:59",332,326,0,6,0,165,159,0,6,0,160,5,400,235,31,30,1,94,0,4,0,0
4,BACĂU,"CĂMINUL CULTURAL DIN SATUL BORŞANI",320,COŢOFĂNEŞTI,22059,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:12:52",580,565,0,5,10,334,319,0,5,10,321,13,600,266,2,13,44,236,12,0,14,0
4,BACĂU,"CĂMINUL CULTURAL FRUMUŞELU",370,GLĂVĂNEŞTI,22834,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:56:16",960,945,1,12,2,593,579,0,12,2,575,18,1000,407,2,300,25,202,16,1,25,4
4,BACĂU,"CĂMINUL CULTURAL GLĂVĂNEŞTI",369,GLĂVĂNEŞTI,22834,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:20",1324,1324,0,0,0,738,738,0,0,0,704,34,1500,762,3,224,67,357,19,3,29,2
4,BACĂU,"CĂMINUL CULTURAL HEMEIUŞ",385,HEMEIUŞ,20313,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:04:06",1567,1554,5,6,2,792,783,1,6,2,764,28,1700,908,3,390,73,169,40,19,62,8
4,BACĂU,"CĂMINUL CULTURAL ITEŞTI",400,ITEŞTI,26379,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:29:38",746,713,0,19,14,458,425,0,19,14,426,18,798,340,1,258,107,44,7,0,9,0
4,BACĂU,"CAMINUL CULTURAL MAGIRESTI",427,MĂGIREŞTI,23387,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 11:54:48",1018,1008,0,2,8,543,533,0,2,8,515,28,1090,547,1,311,48,115,10,6,14,10
4,BACĂU,"CĂMINUL CULTURAL ”OLGA MARIA TUDORACHE” OITUZ",472,OITUZ,23797,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:55:23",1011,1009,0,1,1,397,395,0,1,1,379,18,1100,703,4,197,51,102,19,0,6,0
4,BACĂU,"CĂMINUL CULTURAL PODU TURCULUI",527,"PODU TURCULUI",24524,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 19:54:01",1748,1736,0,7,5,962,950,0,7,5,912,50,1893,931,5,169,123,397,30,6,179,3
4,BACĂU,"CAMINUL CULTURAL SAT LEHANCEA",530,"PODU TURCULUI",24524,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:16:12",492,486,0,6,0,261,255,0,6,0,239,22,524,263,2,66,17,122,7,1,23,1
4,BACĂU,"CĂMINUL CULTURAL SATUL BOTEŞTI",621,UNGURENI,25932,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:30:58",724,719,0,1,4,337,332,0,1,4,326,11,800,463,3,131,9,172,6,0,4,1
4,BACĂU,"CĂMINUL CULTURAL SATUL CĂBEŞTI",529,"PODU TURCULUI",24524,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:35:41",663,656,0,7,0,373,366,0,7,0,356,17,700,327,2,131,21,150,17,2,31,2
4,BACĂU,"CĂMINUL CULTURAL SATUL CIUGHEŞ",486,PALANCA,23975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:49:20",1397,1385,1,11,0,694,683,0,11,0,655,39,1500,806,10,68,102,448,13,6,6,2
4,BACĂU,"CĂMINUL CULTURAL SATUL CORNĂŢEL",624,URECHEŞTI,26029,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:26:55",705,703,0,2,0,374,372,0,2,0,353,21,800,426,1,60,26,109,7,1,145,4
4,BACĂU,"CĂMINUL CULTURAL SATUL MĂNĂSTIREA CAŞIN",438,"MĂNĂSTIREA CAŞIN",23449,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:57:27",549,546,0,0,3,296,293,0,0,3,289,7,600,304,2,144,13,111,8,0,10,1
4,BACĂU,"CĂMINUL CULTURAL SATUL MĂNĂSTIREA CAŞIN",436,"MĂNĂSTIREA CAŞIN",23449,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:35:07",1486,1478,0,5,3,789,781,0,5,3,738,51,1600,811,1,283,29,399,14,2,9,1
4,BACĂU,"CĂMINUL CULTURAL SATUL ONCEŞTI",478,ONCEŞTI,23868,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:48:44",733,724,0,7,2,393,384,0,7,2,357,33,800,407,5,54,60,204,5,1,27,1
4,BACĂU,"CĂMINUL CULTURAL SATUL RĂCHITOASA",543,RĂCHITOASA,24837,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 14:20:08",1039,981,0,20,38,562,504,0,20,38,529,33,1200,638,7,43,39,382,28,2,8,20
4,BACĂU,"CĂMINUL CULTURAL UNGURENI",618,UNGURENI,25932,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:14:20",781,752,0,9,20,412,383,0,9,20,378,34,800,388,1,85,12,262,14,0,3,1
