precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IFTIME VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","TRUFIN LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CILIBIU EUSEBIU-LAURENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AMARANDEI DOINA-PARTIDUL S.O.S. ROMÂNIA-voturi","LĂCĂTUŞU-ANDREI CRISTINA-ANETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ANDRUŞ DĂNUŢ-voturi"
7,BOTOŞANI,"BAZA SPORTIVĂ",404,VĂCULEŞTI,39612,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:29:07",814,766,0,14,34,505,457,0,14,34,485,20,900,395,137,190,124,23,5,6
7,BOTOŞANI,"BAZA SPORTIVĂ MULTIFUNCȚIONALĂ TIP I",332,POMÂRLA,38544,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:49:54",973,893,1,22,57,611,532,0,22,57,592,19,1000,389,297,178,49,7,52,9
7,BOTOŞANI,"CAMIN CULTURAL",231,DIMĂCHENI,39959,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:04:59",178,164,2,2,10,121,108,1,2,10,117,4,189,68,7,88,19,1,1,1
7,BOTOŞANI,"CAMIN CULTURAL",291,LOZNA,39942,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:42:03",717,710,0,4,3,355,348,0,4,3,338,17,800,445,99,140,32,28,32,7
7,BOTOŞANI,"CAMIN CULTURAL",290,LOZNA,39942,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:48:34",812,804,0,3,5,441,433,0,3,5,425,16,882,441,153,177,47,19,19,10
7,BOTOŞANI,"CAMIN CULTURAL",364,STĂUCENI,35884,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:35:58",1120,1111,0,2,7,578,569,0,2,7,561,17,1200,622,212,250,55,8,31,5
7,BOTOŞANI,"CĂMIN CULTURAL",277,HUDEŞTI,37770,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:45:57",919,872,0,6,41,523,476,0,6,41,508,15,996,473,299,166,30,2,1,10
7,BOTOŞANI,"CĂMIN CULTURAL",390,TUDORA,39391,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:58:16",1280,1239,1,9,31,709,669,0,9,31,661,48,1400,691,162,454,24,10,8,3
7,BOTOŞANI,"CAMIN CULTURAL ALBESTI",145,ALBEŞTI,36131,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:42:04",979,932,0,35,12,597,550,0,35,12,578,19,1000,403,274,266,12,16,6,4
7,BOTOŞANI,"CĂMIN CULTURAL BRĂEŞTI",166,BRĂEŞTI,36373,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:08:58",1133,1095,0,6,32,719,681,0,6,32,692,27,1200,481,232,268,153,16,12,11
7,BOTOŞANI,"CAMIN CULTURAL CALARASI",171,CĂLĂRAŞI,36499,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:56:04",970,923,1,6,40,559,515,0,6,38,535,24,1006,447,83,288,94,11,51,8
7,BOTOŞANI,"CĂMIN CULTURAL COTÂRGACI",356,ROMA,38811,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:42:23",682,673,1,6,2,208,200,0,6,2,205,3,702,494,85,97,9,5,5,4
7,BOTOŞANI,"CĂMIN CULTURAL DERSCA",228,DERSCA,37011,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:14:37",1303,1250,0,2,51,704,651,0,2,51,681,23,1450,746,146,459,35,28,10,3
7,BOTOŞANI,"CAMIN CULTURAL HANESTI",267,HĂNEŞTI,37618,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 10:25:39",1867,1850,0,1,16,483,466,0,1,16,483,0,2000,1517,51,385,26,16,4,1
7,BOTOŞANI,"CĂMIN CULTURAL IVANCĂUȚI",329,PĂLTINIŞ,38492,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:13:18",744,717,0,9,18,262,235,0,9,18,251,11,800,538,48,31,106,3,5,58
7,BOTOŞANI,"CĂMIN CULTURAL MILEANCA",318,MILEANCA,38321,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:19:23",1286,1233,0,17,36,729,677,0,17,35,708,21,1300,571,303,316,9,10,59,11
7,BOTOŞANI,CAMINCULTURALNICŞENI,324,NICŞENI,38456,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:13:13",750,724,0,9,17,420,394,0,9,17,401,19,800,380,191,164,25,13,3,5
