precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIKE GABRIELLA-PARTIDUL SOCIAL DEMOCRAT-voturi","FLOROIAN STELIAN-OLIMPIU-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA MARIUS-CĂTĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","POGORAN DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TAMÁS SÁNDOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FAZAKAS PÉTER-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","NAGY GÁBOR-LEVENTE-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"ARENA SEPSI",47,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:43:51",127,115,2,8,2,90,80,0,8,2,87,3,200,110,1,3,4,2,70,3,4
15,COVASNA,"BIROUL INFOTURISM",183,SÂNZIENI,64826,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:17:59",1196,1120,1,6,69,693,618,0,6,69,674,19,1228,535,5,1,1,2,632,29,4
15,COVASNA,"CĂMIN CULTURAL",50,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:40:49",393,387,0,6,0,193,187,0,6,0,191,2,505,312,2,2,4,1,152,4,26
15,COVASNA,"CĂMIN CULTURAL",49,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:31:23",712,703,0,5,4,312,303,0,5,4,299,13,800,488,6,7,13,2,253,9,9
15,COVASNA,"CĂMIN CULTURAL FLOROAIA",89,"ORAŞ ÎNTORSURA BUZĂULUI",63580,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:15:44",1180,1171,2,7,0,631,624,0,7,0,584,47,1300,669,71,169,179,158,5,2,0
15,COVASNA,"CĂMIN CULTURAL RACOŞUL DE SUS",74,"ORAŞ BARAOLT",63447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:39:37",748,734,3,3,8,355,344,0,3,8,338,17,800,445,9,5,2,3,281,23,15
15,COVASNA,"CĂMIN CULTURAL ZĂLAN",106,BODOC,63893,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:14:17",533,523,1,0,9,297,288,0,0,9,287,10,600,303,2,0,0,3,278,3,1
15,COVASNA,"CĂMINUL CULTURAL BAŢANII MICI",99,BĂŢANI,63802,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:29",436,436,0,0,0,234,234,0,0,0,220,14,491,257,3,0,2,1,207,1,6
15,COVASNA,"CĂMINUL CULTURAL BIBORŢENI",70,"ORAŞ BARAOLT",63447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:09:06",563,556,1,0,6,341,334,1,0,6,334,7,600,259,3,1,1,1,303,16,9
15,COVASNA,"CĂMINUL CULTURAL BIXAD",103,BIXAD,65121,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:53:30",1390,1362,4,3,21,645,621,0,3,21,624,21,1528,883,15,0,3,9,548,15,34
