precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GÂDEA ADRIAN-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","STĂVĂRACHE COSTEL-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ŢOLE MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","MARDALE GEORGE-CĂTĂLIN-PARTIDUL S.O.S. ROMÂNIA-voturi","FLOREA GABRIEL-FLORINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",115,BRÂNCENI,152252,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:13:01",1223,1155,1,16,51,901,834,0,16,51,769,65,1338,504,544,20,61,23,121
36,TELEORMAN,"CĂMIN CULTURAL",121,BUZESCU,152332,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:32:48",1208,1074,1,81,52,774,641,0,81,52,741,33,1240,466,481,10,182,16,52
36,TELEORMAN,"CĂMIN CULTURAL",256,RĂDOIEŞTI,153865,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 09:01:13",474,442,0,6,26,282,250,0,6,26,282,0,510,228,227,2,50,0,3
36,TELEORMAN,"CĂMIN CULTURAL",147,CRÂNGENI,152617,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 14:07:42",1113,1067,0,1,45,591,552,0,1,38,541,48,1180,589,185,41,254,32,29
36,TELEORMAN,"CĂMIN CULTURAL",141,CIUPERCENI,151709,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:01:57",755,681,0,39,35,509,435,0,39,35,504,5,790,281,385,11,83,7,18
36,TELEORMAN,"CĂMIN CULTURAL",300,TALPA,154521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:26:14",689,532,0,82,75,617,460,0,82,75,605,12,670,53,240,0,365,0,0
36,TELEORMAN,"CĂMIN CULTURAL CONŢEŞTI",144,CONŢEŞTI,152564,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:24:44",1225,1156,0,11,58,802,733,0,11,58,770,32,1270,468,652,4,55,17,42
36,TELEORMAN,"CĂMIN CULTURAL CUCUEŢI",272,SCRIOAŞTEA,154013,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:02:40",701,645,0,32,24,514,458,0,32,24,507,7,700,186,459,14,6,9,19
36,TELEORMAN,"CĂMIN CULTURAL SAT PURANI",331,VITĂNEŞTI,153776,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:38:03",567,519,1,13,34,337,290,0,13,34,320,17,605,268,216,9,25,18,52
36,TELEORMAN,"CĂMIN CULTURAL SAT SILIŞTEA",332,VITĂNEŞTI,153776,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 23:38:06",663,560,1,29,73,416,314,0,29,73,416,0,695,279,389,0,21,0,6
36,TELEORMAN,"CĂMIN CULTURAL SCRIOAȘTEA",270,SCRIOAŞTEA,154013,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:55:52",1750,1209,437,58,46,1313,1209,0,58,46,1295,18,1920,607,1207,19,18,19,32
36,TELEORMAN,"CĂMIN CULTURAL STEJARU",291,STEJARU,154415,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:55:04",638,566,0,36,36,427,359,0,34,34,415,12,610,183,298,2,17,3,95
36,TELEORMAN,"CĂMINUL CULTURAL",333,ZÂMBREASCA,154978,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:18:00",744,669,0,3,72,480,405,0,3,72,447,33,735,255,237,10,162,11,27
36,TELEORMAN,"CĂMINUL CULTURAL",242,PLOSCA,153605,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 21:31:13",1207,1185,1,12,9,864,843,0,12,9,828,33,1310,446,452,40,241,44,51
36,TELEORMAN,"CĂMINUL CULTURAL",184,ISLAZ,151736,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:54:35",1066,1040,1,15,10,630,605,0,15,10,605,25,1120,490,280,60,203,16,46
36,TELEORMAN,"CĂMINUL CULTURAL",313,TROIANUL,154790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:17:10",39,23,0,11,5,39,23,0,11,5,35,4,55,16,21,6,3,1,4
36,TELEORMAN,"CĂMINUL CULTURAL",120,BUJORU,152314,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:55:32",780,686,0,46,48,692,598,0,46,48,545,50,750,155,217,4,271,13,40
36,TELEORMAN,"CĂMINUL CULTURAL",113,BRAGADIRU,152234,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:28:38",930,882,0,7,41,567,519,0,7,41,563,4,970,403,473,13,26,9,42
36,TELEORMAN,"CĂMINUL CULTURAL BALCI",92,BALACI,151996,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:59:21",753,644,0,62,47,508,399,0,62,47,484,24,700,192,304,10,39,12,119
36,TELEORMAN,"CĂMINUL CULTURAL BEUCA",98,BEUCA,155092,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 14:58:08",876,704,1,76,95,666,494,1,76,95,639,23,875,212,332,33,237,11,26
