precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL UNIUNEA PENTRU REFORMA STATULUI ȘI PROTECȚIA DREPTURILOR FUNDAMENTALE-voturi","ALIANȚA UNIȚI PENTRU BRAȘOV-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","GRIGORESCU OVIDIU-DAN-voturi"
8,BRAŞOV,"CANTINA STUDENŢEASCĂ",134,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:14",1556,1512,18,26,0,731,705,0,26,0,704,27,1700,969,61,241,61,2,20,276,2,1,14,9,17
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",152,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:57:14",1835,1779,22,33,1,832,798,0,33,1,807,25,1900,1021,52,214,13,2,13,462,3,3,26,6,13
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",153,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:27",1747,1735,0,12,0,783,771,0,12,0,768,15,1900,1117,46,250,13,5,16,384,0,2,24,1,27
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",154,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:49:27",1657,1617,22,18,0,725,706,1,18,0,709,16,1800,1075,34,218,13,1,5,388,2,2,28,1,17
8,BRAŞOV,"CENTRUL REGIONAL DE FORMARE PROFESIONALĂ BRAŞOV",133,"MUNICIPIUL BRAŞOV",40198,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:09:00",1775,1733,24,17,1,859,841,0,17,1,832,27,1900,1041,55,307,26,5,11,378,4,2,15,7,22
8,BRAŞOV,"CENTRUL REGIONAL DE FORMARE PROFESIONALĂ BRAŞOV",132,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:26:13",931,928,0,3,0,357,354,0,3,0,345,12,1000,643,38,158,8,3,5,107,3,3,11,1,8
8,BRAŞOV,"COLEGIUL DE ŞTIINŢE ”GRIGORE ANTIPA”",109,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:19:05",1346,1328,6,12,0,623,611,0,12,0,603,20,1500,877,50,191,66,3,10,233,3,3,15,4,25
8,BRAŞOV,"COLEGIUL DE ŞTIINŢE ”GRIGORE ANTIPA”",107,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:45",1360,1345,9,6,0,670,664,0,6,0,632,32,1500,836,44,231,51,8,8,232,1,2,18,6,31
8,BRAŞOV,"COLEGIUL DE ŞTIINŢE ”GRIGORE ANTIPA”",110,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:10:36",1169,1118,0,9,42,590,539,0,9,42,571,19,1300,710,38,236,47,2,9,197,1,2,16,3,20
8,BRAŞOV,"COLEGIUL DE ŞTIINŢE ”GRIGORE ANTIPA”",108,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:59",1388,1372,8,8,0,628,619,1,8,0,608,20,1500,872,45,209,68,5,15,221,2,1,14,3,25
