precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","BLOCUL SUVERANIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CANTINA DE AJUTOR SOCIAL",96,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:12",1200,1195,0,5,0,539,534,0,5,0,508,31,1300,761,323,73,67,21,3,21
10,BUZĂU,"CENTRUL DE RECUPERARE PENTRU COPII CU DIZABILITĂŢI",81,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:27:51",1884,1874,5,5,0,842,837,0,5,0,812,30,2100,1258,512,163,58,32,10,37
10,BUZĂU,"COLEGIUL NAŢIONAL ”ALEXANDRU VLAHUŢĂ”",89,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:59:21",1043,1033,0,9,1,432,422,0,9,1,412,20,1100,668,238,76,33,18,9,38
10,BUZĂU,"COLEGIUL NAŢIONAL ”ALEXANDRU VLAHUŢĂ”",90,"MUNICIPIUL RÂMNICU SĂRAT",44845,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:36:52",1220,1204,6,8,2,527,517,0,8,2,495,32,1300,773,282,128,27,26,7,25
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL ”ORIZONT”",86,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:36:32",1416,1406,0,10,0,652,642,0,10,0,626,26,1600,948,342,146,84,21,5,28
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMEA COPILĂRIEI”",92,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:48:36",1544,1539,1,4,0,715,711,0,4,0,692,23,1700,985,398,153,60,33,16,32
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMEA COPILĂRIEI”",93,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:10",1587,1585,0,2,0,675,673,0,2,0,653,22,1800,1125,389,137,50,33,8,36
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”MUGURAŞII”",91,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:09:16",1360,1356,0,4,0,568,564,0,4,0,547,21,1500,932,296,134,48,40,12,17
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.2",100,"MUNICIPIUL RÂMNICU SĂRAT",44845,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:12:06",1398,1389,2,7,0,609,602,0,7,0,595,14,1500,891,368,112,37,28,4,46
10,BUZĂU,"LICEUL ECONOMIC ”ELINA MATEI BASARAB”",101,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:36",1371,1363,0,8,0,592,584,0,8,0,569,23,1500,908,304,143,53,22,4,43
