precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MARE CRISTIAN-FLORIN-voturi"
13,CLUJ,"CAMINUL CULTURAL DEJ",213,"MUNICIPIUL DEJ",55008,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:38",742,735,0,7,0,397,390,0,7,0,388,9,811,414,51,5,73,5,51,128,51,3,6,15
13,CLUJ,"CAMINUL CULTURAL SOMCUTU MIC",229,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:38:15",463,455,0,6,2,221,213,0,6,2,212,9,502,281,79,6,48,2,11,43,8,1,8,6
13,CLUJ,"CASA CĂSPRIAC",204,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:05:19",1288,1271,10,6,1,610,603,0,6,1,581,29,1430,820,57,90,126,15,102,124,18,3,20,26
13,CLUJ,"CLUBUL COPIILOR DEJ",212,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:26",1298,1286,2,10,0,602,592,0,10,0,588,14,1467,865,62,6,111,62,108,141,31,2,20,45
13,CLUJ,"GRADINITA DE COPII LUMEA PITICILOR",227,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:29:34",1474,1441,6,4,23,681,653,1,4,23,661,20,1596,915,108,7,116,177,73,124,16,0,12,28
13,CLUJ,"GRADINITA PARADISUL PITICILOR DEJ",222,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:45:20",1205,1196,0,9,0,525,516,0,9,0,520,5,1348,823,51,8,108,40,91,138,16,4,26,38
13,CLUJ,"GRADINITA PITICOT DEJ",219,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:13:09",871,864,2,5,0,379,374,0,5,0,370,9,970,591,29,6,98,36,64,88,10,2,15,22
13,CLUJ,"GRADINITA PITICOT DEJ",220,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:42",1250,1243,1,6,0,555,549,0,6,0,544,11,1374,819,80,4,110,41,92,149,13,1,20,34
13,CLUJ,"GRADINITA PITICOT DEJ",221,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:03:17",1295,1286,0,8,1,581,572,0,8,1,567,14,1417,836,61,4,112,39,116,151,18,4,25,37
13,CLUJ,"LICEUL AL.P.ILARIAN DIN DEJ",209,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:47",1447,1438,5,2,2,647,643,0,2,2,629,14,1607,964,71,12,132,94,69,152,35,1,27,36
13,CLUJ,"LICEUL AL.P.ILARIAN DIN DEJ",210,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:30",1425,1410,4,7,4,668,657,0,7,4,656,12,1551,883,78,12,148,71,81,187,31,6,9,33
13,CLUJ,"OCOLUL SILVIC DEJ",211,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:45:57",1284,1273,2,7,2,640,631,0,7,2,626,14,1442,802,65,18,131,60,93,154,50,9,17,29
13,CLUJ,"PAROHIA GRECO-CATOLICĂ PINTIC",228,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:16:21",185,166,0,19,0,68,49,0,19,0,63,5,185,117,10,2,15,1,9,10,12,0,3,1
13,CLUJ,"SCOALA GENERALA AVRAM IANCU DEJ",215,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:56:33",1461,1454,1,6,0,623,617,0,6,0,609,14,1649,1026,64,5,154,35,121,150,15,5,23,37
13,CLUJ,"SCOALA GENERALA AVRAM IANCU DEJ",214,"MUNICIPIUL DEJ",55008,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:06:49",1310,1303,1,6,0,566,560,0,6,0,544,22,1431,865,75,3,136,38,73,166,11,2,12,28
13,CLUJ,"SCOALA GENERALA AVRAM IANCU DEJ - CORP B",224,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:50:59",1321,1318,1,2,0,541,539,0,2,0,535,6,1459,918,59,7,93,46,89,152,11,2,31,45
13,CLUJ,"SCOALA GENERALA AVRAM IANCU DEJ - CORP B",223,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:26:41",1296,1285,1,9,1,505,495,0,9,1,493,12,1413,908,69,5,100,47,87,123,18,1,20,23
13,CLUJ,"SCOALA GENERALA NR.1 DEJ",205,"MUNICIPIUL DEJ",55008,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:50:13",1201,1192,0,7,2,589,580,0,7,2,576,13,1326,737,61,11,117,53,113,120,20,3,25,53
13,CLUJ,"SCOALA GENERALA NR. 5 DEJ",216,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:46:03",1749,1725,9,14,1,817,802,0,14,1,806,11,2054,1237,84,7,236,54,131,202,18,1,26,47
13,CLUJ,"SCOALA GENERALA NR.5 DEJ",217,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:44:54",1411,1403,2,6,0,589,583,0,6,0,579,10,1593,1004,64,3,143,39,103,143,12,6,29,37
13,CLUJ,"SCOALA GENERALA NR.5 DEJ",218,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:43:31",1331,1327,1,3,0,645,642,0,3,0,629,16,1464,819,65,3,130,44,113,179,19,1,27,48
13,CLUJ,"SCOALA GENERALA OCNA DEJ",226,"MUNICIPIUL DEJ",55008,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:35:47",1110,1107,0,3,0,555,552,0,3,0,533,22,1218,663,72,5,124,43,76,137,37,3,27,9
13,CLUJ,"SCOALA GENERALA OCNA DEJ",225,"MUNICIPIUL DEJ",55008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:56",1010,1002,0,7,1,502,494,0,7,1,489,13,1107,605,63,3,98,36,79,142,18,2,27,21
