precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MAVRODIN MARIAN-GHEORGHE-voturi"
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",53,"MUNICIPIUL OLTENIŢA",100610,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 12:02:33",1101,1087,4,7,3,591,581,0,7,3,558,33,1215,624,41,300,128,20,6,25,21,17
12,CĂLĂRAŞI,"COLEGIUL NAȚIONAL ”NEAGOE BASARAB”",59,"MUNICIPIUL OLTENIŢA",100610,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 11:12:14",1741,1715,3,12,11,870,847,0,12,11,821,23,1914,1044,50,524,145,13,8,51,8,22
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",57,"MUNICIPIUL OLTENIŢA",100610,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 14:30:58",1635,1615,1,17,2,817,798,0,17,2,804,13,1814,997,43,414,182,14,21,36,53,41
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",56,"MUNICIPIUL OLTENIŢA",100610,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 09:47:40",1684,1651,2,14,17,870,839,0,14,17,837,22,1824,954,53,479,164,25,9,30,53,24
12,CĂLĂRAŞI,"DIRECŢIA DE CULTURĂ",62,"MUNICIPIUL OLTENIŢA",100610,9,PART,PRCNCT,CL,CL_SV,"2024-06-12 09:54:57",1537,1522,1,13,1,722,708,0,13,1,699,23,1709,987,32,341,199,21,6,44,29,27
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1,",55,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:04",1368,1350,3,14,1,702,687,0,14,1,674,28,1516,814,45,387,147,13,4,37,26,15
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",54,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:15",1091,1079,0,12,0,555,543,0,12,0,538,14,1208,655,30,286,147,13,7,21,27,7
12,CĂLĂRAŞI,"GRADINIȚA CU PROGRAM NORMAL NR.2",65,"MUNICIPIUL OLTENIŢA",100610,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:13:29",1492,1481,2,8,1,783,774,0,8,1,745,29,1635,861,48,427,156,29,21,28,25,11
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",60,"MUNICIPIUL OLTENIŢA",100610,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:10:41",1581,1571,1,7,2,749,740,0,7,2,702,47,1744,995,48,416,137,14,16,17,36,18
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",61,"MUNICIPIUL OLTENIŢA",100610,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:31:21",1590,1583,0,6,1,686,679,0,6,1,657,22,1768,1082,34,424,107,21,10,21,22,18
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5",58,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:59",1718,1700,1,14,3,775,758,0,14,3,763,12,1876,1101,52,476,126,29,6,36,27,11
12,CĂLĂRAŞI,"GRADINIȚA CU PROGRAM NORMAL NR. 6 ( INCINTA ȘCOALA GIMNAZIALĂ” ALEXANDRU D. GHICA”)",52,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:44",1896,1882,0,12,2,991,977,0,12,2,935,42,2088,1111,62,544,196,44,15,26,23,25
12,CĂLĂRAŞI,"ŞCOALA CU CLS I-IV ”CONSTANTIN DECULESCU”",63,"MUNICIPIUL OLTENIŢA",100610,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:31:00",1701,1689,0,10,2,712,700,0,10,2,667,33,1876,1164,36,357,175,24,10,24,22,19
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”MIRCEA ELIADE” - SALA DE SPORT",64,"MUNICIPIUL OLTENIŢA",100610,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 15:22:59",1198,1185,3,10,0,568,558,0,10,0,555,13,1320,752,31,305,140,14,7,13,33,12
