precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL MAKEDONARMÂNILOR DIN ROMÂNIA-voturi","OVANESIAN FELICIA-NADINA-voturi","POPESCU GEORGE-ANDREI-voturi","VOINEAGU EUGEN-voturi"
14,CONSTANŢA,"AGENȚIA FISCALĂ NR.1-4",135,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:36",1364,1360,0,3,1,617,613,0,3,1,600,17,1500,883,78,160,138,7,26,14,12,5,121,0,4,18,9,8
14,CONSTANŢA,"AGENȚIA FISCALĂ NR.1-4",134,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:14:33",1574,1562,0,12,0,688,676,0,12,0,660,28,1700,1012,77,128,160,7,14,22,11,7,177,3,8,32,11,3
14,CONSTANŢA,"ANEXĂ LA COLEGIUL NAŢIONAL ”MIRCEA CEL BĂTRÂN”",200,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:38:05",573,562,3,8,0,265,257,0,8,0,258,7,900,635,30,36,58,4,8,7,7,4,90,1,0,6,2,5
14,CONSTANŢA,"ANEXĂ LA COLEGIUL NAŢIONAL ”MIRCEA CEL BĂTRÂN”",199,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:01:51",582,572,0,10,0,258,248,0,10,0,246,12,900,642,32,63,49,1,7,6,6,1,61,1,0,12,3,4
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",34,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:55:49",1224,1220,1,3,0,448,445,0,3,0,432,16,1400,952,119,161,55,9,9,12,6,5,34,4,1,12,2,3
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",35,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:17:15",1044,1040,0,4,0,418,414,0,4,0,407,11,1100,682,84,111,66,2,12,7,8,5,70,4,1,19,11,7
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",37,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:26",1726,1720,0,6,0,690,684,0,6,0,669,21,1900,1210,131,201,130,9,22,10,7,8,106,5,2,25,8,5
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",36,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:42:47",1107,1104,0,3,0,450,447,0,3,0,435,15,1200,750,67,124,77,4,25,17,8,8,75,1,2,20,4,3
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",33,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:19:23",1521,1515,1,5,0,620,615,0,5,0,591,29,1700,1080,90,158,130,5,12,19,6,2,133,0,0,21,8,7
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",32,"MUNICIPIUL CONSTANŢA",60419,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:19:27",835,832,0,3,0,371,368,0,3,0,357,14,900,529,39,84,92,5,19,11,2,3,62,6,7,14,11,2
