precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL OAMENILOR TINERI-voturi","RÎŞTEIU ATENA-BETY-voturi"
22,HUNEDOARA,"CASA DE CULTURĂ „LADISLAU SCHMIDT”",222,"ORAŞ PETRILA",87077,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:41:21",1367,1359,0,7,1,547,539,0,7,1,526,21,1600,1053,80,40,54,23,259,6,10,18,36
22,HUNEDOARA,"CASA PENSIONARILOR LONEA",233,"ORAŞ PETRILA",87077,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:47",1190,1172,6,11,1,598,582,4,11,1,579,19,1200,602,93,26,33,18,333,5,20,19,32
22,HUNEDOARA,"CLUBUL COPIILOR PETRILA",226,"ORAŞ PETRILA",87077,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:39:54",1275,1268,0,7,0,481,474,0,7,0,463,18,1400,919,80,45,48,12,223,6,7,19,23
22,HUNEDOARA,"COLEGIUL TEHNIC „CONSTANTIN BRÂNCUȘI” PETRILA",232,"ORAŞ PETRILA",87077,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:42:10",961,955,0,6,0,499,493,0,6,0,479,20,1213,714,118,23,27,17,254,3,1,13,23
22,HUNEDOARA,"COLEGIUL TEHNIC „CONSTANTIN BRÂNCUȘI” PETRILA (FOSTA GRĂDINIȚĂ CU PROGRAM NORMAL „ANA COLDA”)",235,"ORAŞ PETRILA",87077,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:11:52",1164,1153,0,5,6,565,554,0,5,6,548,17,1200,635,91,26,32,20,323,15,9,8,24
22,HUNEDOARA,"COLEGIUL TEHNIC „CONSTANTIN BRÂNCUȘI” PETRILA (FOSTA ȘCOALĂ GIMNAZIALĂ „ANA COLDA”)",234,"ORAŞ PETRILA",87077,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:15:25",1332,1324,0,7,1,576,568,0,7,1,553,23,1400,824,97,22,32,18,300,13,16,21,34
22,HUNEDOARA,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ PETRILA",231,"ORAŞ PETRILA",87077,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:48",1234,1225,0,9,0,445,436,0,9,0,425,20,1400,955,110,27,35,12,208,3,8,8,14
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ „ION DESIDERIU SÎRBU” PETRILA",225,"ORAŞ PETRILA",87077,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:30:24",1173,1164,1,8,0,468,460,0,8,0,454,9,1200,733,75,35,29,19,231,6,2,28,29
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ „ION DESIDERIU SÎRBU” PETRILA (GRĂDINIȚA CU PROGRAM NORMAL „I.D.SÎRBU”)",224,"ORAŞ PETRILA",87077,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:48",1302,1289,1,10,2,512,500,0,10,2,494,18,1400,888,71,26,46,21,254,6,22,16,32
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ „ION DESIDERIU SÎRBU” PETRILA (GRĂDINIȚA CU PROGRAM NORMAL „I.D.SÎRBU”)",223,"ORAŞ PETRILA",87077,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:11:44",1337,1328,0,8,1,524,515,0,8,1,501,14,1600,1076,97,40,42,13,213,6,25,35,30
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 5 PETRILA",229,"ORAŞ PETRILA",87077,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:59:40",1316,1304,1,10,1,444,433,0,10,1,430,14,1400,956,103,28,29,17,214,4,6,8,21
