precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
21,HARGHITA,"CĂMINUL CULTURAL CHINUȘU",184,MĂRTINIŞ,84923,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:46:45",120,113,2,5,0,70,64,1,5,0,69,1,200,130,69
21,HARGHITA,"CĂMINUL CULTURAL MĂRTINIȘ",181,MĂRTINIŞ,84923,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:17:33",554,514,5,0,35,284,265,1,0,18,275,9,500,216,275
21,HARGHITA,"GRĂDINIȚA CU PROGRAM NORMAL ORĂȘENI",187,MĂRTINIŞ,84923,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:12:42",214,209,0,5,0,131,126,0,5,0,126,5,200,69,126
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”LÁSZLÓ GYULA” SÎNPAUL",190,MĂRTINIŞ,84923,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:39:47",400,398,0,1,1,206,204,0,1,1,193,13,274,68,193
21,HARGHITA,"ȘCOALA PRIMARĂ ALDEA",182,MĂRTINIŞ,84923,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:34:56",330,320,7,3,0,93,90,0,3,0,91,2,400,307,91
21,HARGHITA,"ȘCOALA PRIMARĂ BĂDENI",183,MĂRTINIŞ,84923,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:10:11",165,156,2,7,0,109,102,0,7,0,105,4,200,91,105
21,HARGHITA,"ȘCOALA PRIMARĂ COMĂNEȘTI",185,MĂRTINIŞ,84923,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:44:48",193,185,0,8,0,69,61,0,8,0,69,0,200,131,69
21,HARGHITA,"ȘCOALA PRIMARĂ GHIPEȘ",186,MĂRTINIŞ,84923,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:01:23",170,166,0,4,0,95,91,0,4,0,91,4,200,105,91
21,HARGHITA,"ȘCOALA PRIMARĂ PETRENI",188,MĂRTINIŞ,84923,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:57:14",152,147,0,5,0,93,88,0,5,0,83,10,200,107,83
21,HARGHITA,"ȘCOALA PRIMARĂ RAREȘ",189,MĂRTINIŞ,84923,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:24:22",113,107,1,5,0,68,63,0,5,0,65,3,200,132,65
