precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOCIOAGĂ IULIU-CIPRIAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR QANON-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 15:29:32",1351,1336,1,13,1,601,587,0,13,1,580,21,1497,896,23,59,8,29,52,9,175,225
23,IALOMIŢA,"CASA MUNICIPALĂ DE CULTURĂ „NICOLAE ROTARU”",13,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:59",1295,1288,2,4,1,494,489,0,4,1,474,20,1424,930,20,44,3,22,65,10,112,198
23,IALOMIŢA,"CENTRUL DE EDUCAȚIE NON-FORMALĂ",10,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:32:19",1370,1365,1,4,0,614,610,0,4,0,593,21,1550,936,27,41,2,29,60,12,139,283
23,IALOMIŢA,"COLEGIUL NAȚIONAL „MIHAI VITEAZUL” (FOST LICEU DE MATEMATICĂ-FIZICĂ)",5,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:09:59",1131,1125,0,6,0,499,493,0,6,0,488,11,1250,750,13,41,7,23,42,11,137,214
23,IALOMIŢA,"DIRECȚIA PENTRU AGRICULTURĂ JUDEȚEANĂ IALOMIȚA",11,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:26:48",933,927,0,6,0,364,358,0,6,0,344,20,1050,686,16,11,2,13,29,8,89,176
23,IALOMIŢA,"GRÃDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",28,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 15:22:03",1281,1270,1,10,0,633,623,0,10,0,629,4,1455,822,25,71,7,39,52,11,160,264
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „ PITICOT”",17,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:57:15",1448,1439,1,8,0,694,686,0,8,0,682,12,1600,906,24,73,0,13,56,6,207,303
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",27,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:07:09",1372,1362,2,6,2,652,644,0,6,2,644,8,1402,750,17,60,2,27,55,10,225,248
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",26,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 15:27:53",1129,1120,0,8,1,466,457,0,8,1,456,10,1250,784,22,46,4,15,37,4,129,199
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” - ATELIERELE DE CREAȚIE",29,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 15:15:31",1795,1781,4,9,1,904,894,0,9,1,874,30,1950,1046,17,65,4,57,80,10,255,386
