precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","NETCĂ VILI-voturi"
24,IAŞI,"CĂMINUL CULTURAL BOROSEŞTI",644,SCÂNTEIA,98916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:50:44",679,665,0,6,8,332,318,0,6,8,313,14,700,373,32,51,188,21,2,13,6
24,IAŞI,"CASA DE PRĂZNUIRE LUNCA RATEŞ",646,SCÂNTEIA,98916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:19:53",306,300,0,6,0,123,117,0,6,0,108,15,400,277,15,26,37,14,13,1,2
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL SCÂNTEIA",642,SCÂNTEIA,98916,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:16",1565,1557,0,7,1,188,180,0,7,1,183,5,1700,1512,41,33,55,25,0,0,29
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL SCÂNTEIA",641,SCÂNTEIA,98916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:08:55",1758,1757,0,0,1,56,55,0,0,1,55,1,1900,1844,3,9,21,20,1,0,1
24,IAŞI,"ȘCOALA GIMNAZIALĂ ”AXINTE URICARIUL” SCÂNTEIA, CORP A",638,SCÂNTEIA,98916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:34:03",1613,1612,0,1,0,143,142,0,1,0,137,6,1800,1657,19,37,49,24,2,5,1
24,IAŞI,"ȘCOALA GIMNAZIALĂ ”AXINTE URICARIUL” SCÂNTEIA, CORP A",640,SCÂNTEIA,98916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:32",1633,1630,0,3,0,131,128,0,3,0,127,4,1800,1669,6,22,54,32,13,0,0
24,IAŞI,"ȘCOALA GIMNAZIALĂ ”AXINTE URICARIUL” SCÂNTEIA, CORP A",639,SCÂNTEIA,98916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:23:29",1637,1635,0,2,0,131,129,0,2,0,127,4,200,69,9,30,49,18,1,12,8
24,IAŞI,"ȘCOALA GIMNAZIALĂ ”AXINTE URICARIUL” SCÂNTEIA, CORP A",637,SCÂNTEIA,98916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:48:52",1611,1606,1,2,2,229,225,0,2,2,217,12,1800,1571,32,59,81,19,5,18,3
24,IAŞI,"ŞCOALA GIMNAZIALĂ BODEŞTI",643,SCÂNTEIA,98916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:20",362,361,0,1,0,172,171,0,1,0,157,15,400,228,9,72,52,8,10,6,0
24,IAŞI,"ŞCOALA PRIMARĂ CIOCÂRLEŞTI",645,SCÂNTEIA,98916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:16:34",249,245,0,4,0,136,132,0,4,0,110,26,300,164,7,24,18,5,1,6,49
24,IAŞI,"ŞCOALA PRIMARĂ REDIU",647,SCÂNTEIA,98916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:16:17",174,167,0,7,0,79,72,0,7,0,73,6,200,121,8,35,13,10,6,1,0
24,IAŞI,"ŞCOALA PRIMARĂ TUFEŞTII DE SUS",648,SCÂNTEIA,98916,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:24:00",192,185,0,6,1,102,95,0,6,1,97,5,236,134,13,32,32,4,15,1,0
