precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL VERDE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ZAINEA SERGIU-FLORIAN-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL VERTICALA NOUĂ-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 10:37:55",1390,1373,5,12,0,625,613,0,12,0,609,16,1500,875,1,98,32,7,8,13,7,7,5,2,8,145,43,20,129,84
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:07:55",1741,1711,16,14,0,917,903,0,14,0,898,19,1800,883,7,129,77,10,4,22,3,18,3,2,7,229,34,21,196,136
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:11:15",1309,1286,12,11,0,567,556,0,11,0,552,14,1400,834,4,100,25,12,4,11,3,11,0,0,12,103,63,11,118,75
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:01:55",1206,1195,1,9,1,623,613,0,9,1,614,9,1300,677,5,100,33,5,6,11,4,11,8,2,5,90,146,27,114,47
26,MARAMUREŞ,"CENTRUL COMUNITAR ROMANII",84,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:48",1116,1105,1,10,0,375,364,1,10,0,313,62,1300,925,3,19,30,1,5,1,1,27,1,0,9,108,27,21,49,11
26,MARAMUREŞ,"CENTRUL „PHOENIX”",71,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:12:34",1332,1321,1,10,0,430,420,0,10,0,397,33,1500,1070,3,47,59,5,0,6,3,15,1,3,5,98,23,19,59,51
26,MARAMUREŞ,"CENTRUL „SALVAȚI FAMILIA”",83,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:53:28",1948,1935,2,11,0,780,769,0,11,0,769,11,2200,1420,11,123,56,8,9,13,7,19,7,0,11,145,54,17,170,119
26,MARAMUREŞ,"CENTRUL „SFÂNTUL FRANCISC DE ASSISI”",79,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:14:58",1380,1370,2,8,0,475,467,0,8,0,455,20,1600,1125,11,69,40,7,4,6,6,13,10,3,8,109,27,9,74,59
26,MARAMUREŞ,"CENTRUL SOCIAL „ASSOC”",46,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:08",1397,1380,11,6,0,597,591,0,6,0,589,8,1600,1003,7,100,49,8,4,8,8,10,2,4,10,139,29,12,114,85
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",14,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:24:59",1330,1310,10,9,1,610,599,1,9,1,590,20,1498,888,4,112,22,4,4,17,7,4,7,1,14,109,103,22,90,70
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",15,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:37",863,838,16,8,1,437,428,0,8,1,429,8,1000,563,2,77,9,5,4,15,4,7,3,2,6,80,63,26,83,43
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA TEHNICĂ”",7,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:31:49",1250,1234,1,15,0,478,463,0,15,0,464,14,489,11,4,65,29,8,5,17,4,13,8,0,11,108,55,14,65,58
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",62,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:22:20",1548,1534,7,4,3,715,708,0,4,3,695,20,1700,985,6,120,37,7,2,23,4,6,5,2,4,140,119,33,124,63
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „VASILE LUCACIU”",63,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:11",1257,1241,7,9,0,511,502,0,9,0,500,11,1400,889,2,80,26,19,4,16,6,8,6,1,6,84,93,23,84,42
26,MARAMUREŞ,"COLEGIUL TEHNIC „ANGHEL SALIGNY”",69,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:55:16",1562,1536,12,14,0,741,727,0,14,0,728,13,1700,959,5,122,29,10,5,15,9,10,5,0,16,144,109,28,159,62
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",6,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:00:22",1725,1712,6,7,0,673,666,0,7,0,659,14,1900,1227,4,105,54,11,2,16,4,8,8,3,10,159,59,28,119,69
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",5,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:12:12",1859,1847,2,10,0,560,550,0,10,0,510,50,2000,1440,5,63,52,3,2,10,4,16,2,2,13,165,32,19,77,45
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",86,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 16:46:36",1313,1303,4,5,1,611,605,0,5,1,579,30,1404,795,5,58,30,11,6,10,3,11,4,2,6,90,125,15,132,71
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",85,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 14:57:07",1248,1239,1,8,0,408,399,1,8,0,369,39,1400,992,2,40,43,7,1,4,3,15,1,0,4,107,21,23,70,28
26,MARAMUREŞ,"COLEGIUL TEHNIC „GEORGE BARIȚIU”",64,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:25:31",1306,1284,9,13,0,630,617,0,13,0,614,16,1500,870,5,104,32,8,5,12,7,5,2,4,5,112,90,33,117,73
26,MARAMUREŞ,"ECHIPAMENT CONTAINER MODULAR",2,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:42:05",919,908,1,10,0,435,425,0,10,0,415,20,1000,565,3,46,43,5,3,6,5,8,7,1,4,102,25,14,69,74
26,MARAMUREŞ,"GAL BAIA MARE",70,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:43",1300,1290,0,10,0,484,474,0,10,0,465,19,1500,1016,3,59,35,6,1,1,5,26,3,2,7,128,26,19,92,52
