precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","VRÎNCEANU MARIA-voturi"
29,NEAMŢ,"CĂMINUL CULTURAL LOC.BLEBEA",145,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:05:31",670,662,0,8,0,356,348,0,8,0,345,11,700,344,30,132,117,30,21,3,4,8
29,NEAMŢ,"CLUBUL COPIILOR",142,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:25",1754,1743,1,7,3,790,780,0,7,3,775,15,1900,1110,79,204,328,53,34,29,4,44
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP A, SALA 1",141,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:13:41",1901,1891,2,8,0,925,917,0,8,0,902,23,2100,1175,75,229,317,79,28,74,10,90
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP B, SALA 1",139,"ORAŞ TÂRGU-NEAMŢ",121055,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:48:05",1591,1585,4,2,0,628,626,0,2,0,607,21,1714,1084,51,167,243,51,41,29,3,22
29,NEAMŢ,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”, CORP B, SALA 2 (FOSTA SECŢIE DE LA CASA CULTURII)",140,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:53:52",1567,1562,1,4,0,703,699,0,4,0,674,29,1700,997,57,207,273,38,20,33,8,38
29,NEAMŢ,"COLEGIUL TEHNIC ”ION CREANGĂ”, CORP B",144,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:13:06",1804,1798,0,6,0,56,50,0,6,0,56,0,2000,1944,2,14,21,7,8,3,0,1
29,NEAMŢ,"COLEGIUL TEHNIC ”ION CREANGĂ”, CORP B",143,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:54:38",1698,1684,2,10,2,916,903,1,10,2,896,20,1816,900,53,208,406,85,51,42,8,43
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.2",136,"ORAŞ TÂRGU-NEAMŢ",121055,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:07",508,487,1,8,12,263,243,0,8,12,257,6,600,337,17,74,115,11,15,10,2,13
29,NEAMŢ,"LICEUL ”VASILE CONTA”",138,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:48:25",1593,1582,6,5,0,707,701,1,5,0,698,9,1700,993,63,206,243,68,45,33,3,37
29,NEAMŢ,"SALA DE SPORT PARC CETATE",135,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:58:32",807,800,1,6,0,426,420,0,6,0,415,11,900,474,27,98,199,37,20,13,3,18
29,NEAMŢ,"SCOALA GIMNAZIALĂ DOMNEASCĂ ”GRIGORE GHICA VODĂ”",137,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:39:42",1613,1604,2,7,0,777,770,0,7,0,762,15,1800,1023,81,199,304,47,45,38,2,46
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”, CORP A1, LOC. HUMULEŞTI",148,"ORAŞ TÂRGU-NEAMŢ",121055,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:30",474,470,0,4,0,202,198,0,4,0,200,2,500,298,11,60,96,11,10,5,2,5
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”, CORP A, LOC. HUMULEŞTI",147,"ORAŞ TÂRGU-NEAMŢ",121055,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:45:32",1656,1651,0,3,2,783,778,0,3,2,741,22,1834,1051,67,226,296,76,33,27,1,15
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”, CORP B, LOC. HUMULEŞTI",146,"ORAŞ TÂRGU-NEAMŢ",121055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:55:04",1624,1618,1,4,1,827,822,0,4,1,783,44,1800,973,56,174,354,103,37,29,4,26
