precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
30,OLT,"COLEGIUL NAŢIONALAL I.CUZA",85,"ORAŞ CORABIA",125542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:53",1119,1112,0,7,0,565,558,0,7,0,542,23,1224,659,250,37,168,46,22,19
30,OLT,"COLEGIUL NAŢIONALAL I.CUZA",84,"ORAŞ CORABIA",125542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:44",846,837,2,7,0,396,389,0,7,0,377,19,954,558,193,32,102,26,14,10
30,OLT,"GRĂDINIŢA SAT VÎRTOPU,CORP 2",92,"ORAŞ CORABIA",125542,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:03:35",316,298,0,18,0,178,160,0,18,0,166,8,330,156,108,19,23,3,9,4
30,OLT,"ŞCOALA CARTIER SILIŞTIOARA",90,"ORAŞ CORABIA",125542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:04:33",392,368,0,11,13,234,210,0,11,13,226,8,422,188,140,26,37,10,10,3
30,OLT,"SCOALA CORABIA VECHE",88,"ORAŞ CORABIA",125542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:18:23",1432,1407,2,7,16,687,663,1,7,16,668,19,1555,868,285,62,208,53,19,41
30,OLT,"ŞCOALA GIMNAZIALĂ CELEIU",89,"ORAŞ CORABIA",125542,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:42:27",1380,1354,0,0,26,790,764,0,0,26,756,34,1478,688,504,42,135,36,22,17
30,OLT,"ŞCOALA GIMNAZIALĂ DUMITRU BUZDUN",80,"ORAŞ CORABIA",125542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:55:06",1151,1136,1,5,9,644,630,0,5,9,619,25,1256,608,350,34,154,38,33,10
30,OLT,"ŞCOALA GIMNAZIALĂ MIHAIL EMINESCU",86,"ORAŞ CORABIA",125542,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:26:06",1186,1176,0,7,3,489,479,0,7,3,453,33,1299,813,237,40,135,21,13,7
30,OLT,"ŞCOALA GIMNAZIALĂMIHAIL EMINESCU",87,"ORAŞ CORABIA",125542,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:58:21",1066,1052,1,8,5,413,399,1,8,5,395,18,1165,752,192,46,110,22,13,12
30,OLT,"ŞCOALA GIMNAZIALĂ SAT TUDOR VLADIMIRESCU",91,"ORAŞ CORABIA",125542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:21:19",195,190,0,5,0,195,190,0,5,0,177,18,497,302,95,23,37,14,5,3
30,OLT,"SCOALA GIMNAZIALAVIRGIL MAZILESCU",81,"ORAŞ CORABIA",125542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:14",984,974,3,4,3,420,413,0,4,3,400,20,1079,659,216,25,106,27,14,12
30,OLT,"ŞCOALA GIMNAZIALĂ VIRGIL MAZILESCU",82,"ORAŞ CORABIA",125542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:24:59",1090,1068,4,12,6,515,496,1,12,6,495,20,1187,672,279,45,117,29,11,14
30,OLT,"ŞCOALA GIMNAZIALĂ VIRGIL MAZILESCU",83,"ORAŞ CORABIA",125542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:29",884,869,1,10,4,410,396,0,10,4,388,22,957,547,180,25,130,28,14,11
30,OLT,"SPĂLĂTORIE SOCIALĂ",79,"ORAŞ CORABIA",125542,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:00",1402,1384,0,14,4,613,595,0,14,4,555,52,1544,937,266,49,169,34,18,19
