precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ILIEŞ BOGDAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
33,SĂLAJ,"CASA MUNICIPALĂ DE CULTURĂ",2,"MUNICIPIUL ZALĂU",139704,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:03:54",1875,1846,15,8,6,948,934,0,8,6,934,10,2050,1092,3,40,61,115,286,387,9,28,5
33,SĂLAJ,"CLĂDIREA TRANSILVANIA",10,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:41:48",1335,1311,13,10,1,638,627,0,10,1,624,14,1400,762,2,30,63,104,282,101,9,27,6
33,SĂLAJ,"CLUB S.C. COMPANIA DE APĂ SOMEŞ S.A. SUCURSALA MUNICIPIULUI ZALĂU",37,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:19",1206,1199,2,5,0,484,479,0,5,0,477,7,1350,866,5,28,44,86,206,62,13,29,4
33,SĂLAJ,"COLEGIUL NAŢIONAL ”SILVANIA”",1,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:58:22",1887,1857,19,9,2,982,970,1,9,2,967,15,2056,1074,2,42,75,205,330,244,13,39,17
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",33,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:32",1062,1056,0,6,0,401,395,0,6,0,394,7,1200,799,2,38,16,61,168,61,13,30,5
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",34,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:32",881,874,0,7,0,365,358,0,7,0,353,12,1000,635,1,21,23,56,172,59,4,12,5
33,SĂLAJ,"DIRECŢIA DE SĂNĂTATE PUBLICĂ SĂLAJ",9,"MUNICIPIUL ZALĂU",139704,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:36:07",1067,1049,7,11,0,533,522,0,11,0,520,13,1150,617,1,39,32,95,221,100,10,14,8
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LICURICI”",29,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:38:01",1636,1619,4,10,3,623,610,0,10,3,609,14,1849,1226,1,66,56,109,254,63,15,32,13
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1",3,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:10:19",1848,1831,10,6,1,894,887,0,6,1,881,13,2000,1106,3,41,68,156,318,231,10,40,14
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PITICII ISTEȚI”",32,"MUNICIPIUL ZALĂU",139704,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 14:05:45",1507,1473,2,10,22,632,599,1,10,22,628,4,1650,1018,1,63,50,115,283,55,12,26,23
