precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CENTRALA TERMICĂ CU COGENERARE",68,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:42",1381,1373,2,5,1,649,643,0,5,1,623,26,1500,851,269,68,121,50,115
35,SUCEAVA,"CLUBUL COPIILOR ŞI ELEVILOR",71,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:52:37",1385,1379,2,4,0,530,526,0,4,0,515,15,1500,970,253,51,63,69,79
35,SUCEAVA,"CLUBUL COPIILOR ŞI ELEVILOR – SATUL DE VACANŢĂ",73,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:47:53",1638,1631,0,7,0,289,282,0,7,0,278,11,1800,1511,114,37,69,20,38
35,SUCEAVA,"COLEGIUL NAŢIONAL ”DRAGOŞ VODĂ”",70,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:50",1096,1085,0,9,2,437,426,0,9,2,420,17,1200,763,201,40,73,44,62
35,SUCEAVA,"COLEGIUL SILVIC ”BUCOVINA” (CORP A)",74,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:25:15",1453,1450,2,1,0,576,575,0,1,0,556,20,1600,1024,296,52,76,43,89
35,SUCEAVA,"COLEGIUL SILVIC ”BUCOVINA” (CORP B)",75,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:13:13",1384,1379,1,4,0,572,568,0,4,0,548,24,1500,928,273,43,109,26,97
35,SUCEAVA,"COLEGIUL SILVIC ”BUCOVINA” (CORP C)",76,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:40",1439,1433,2,3,1,646,642,0,3,1,617,29,1600,954,299,67,103,37,111
35,SUCEAVA,"GRĂDINIŢA NR. 4 „VALEA SEACĂ”",77,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:06",1267,1265,1,0,1,687,686,0,0,1,662,25,1400,713,343,79,96,25,119
35,SUCEAVA,"LICEUL TEHNOLOGIC NR. 1",67,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:44",850,841,1,7,1,350,342,0,7,1,342,8,1100,750,166,38,57,32,49
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”BOGDAN VODĂ”",72,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:47",1523,1514,2,5,2,620,613,0,5,2,599,21,1600,980,275,66,110,47,101
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ „GEORGE VOEVIDCA” - CORP A",78,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:21:28",1019,1015,1,3,0,495,491,1,3,0,473,22,1100,605,221,50,75,16,111
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ „GEORGE VOEVIDCA” - CORP B",79,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:58:12",1107,1103,1,3,0,510,507,0,3,0,495,15,1200,690,273,37,63,27,95
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ „TEODOR ŞTEFANELLI”",69,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:33",1753,1753,0,0,0,353,353,0,0,0,344,9,1900,1547,160,47,70,19,48
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ „THEODOR DARIE”",66,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:28:29",1580,1576,4,0,0,758,757,1,0,0,739,19,1675,917,409,82,97,39,112
