precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
41,VRANCEA,"COLEGIUL NAȚIONAL „EMIL BOTTA” - CORP B - SALA DE FESTIVITĂȚI",60,"MUNICIPIUL ADJUD",174860,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:41:29",866,856,1,9,0,357,348,0,9,0,350,7,958,601,36,118,156,13,7,14,6
41,VRANCEA,"COLEGIUL TEHNIC ”GHEORGHE BALŞ” A",69,"MUNICIPIUL ADJUD",174860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:01:13",1398,1392,0,6,0,660,654,0,6,0,628,32,1535,875,61,214,199,17,16,111,10
41,VRANCEA,"COLEGIUL TEHNIC ”GHEORGHE BALŞ” B",70,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:56:57",1205,1197,0,7,1,506,498,0,7,1,469,37,1324,785,52,157,139,18,7,90,6
41,VRANCEA,"SALA DE SPORT",67,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:38:42",1171,1163,0,6,2,534,526,0,6,2,510,24,1286,752,54,170,201,33,18,23,11
41,VRANCEA,"SCOALĂ GENERALA ADJUDU VECHI",72,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:56:28",1396,1390,0,5,1,621,615,0,5,1,593,28,1535,914,60,150,298,26,17,36,6
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”ANGELA GHEORGHIU”",68,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:39:55",1561,1551,1,6,3,693,684,0,6,3,667,26,1726,1033,62,250,226,39,27,54,9
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”MAREȘAL ALEXANDRU AVERESCU”",62,"MUNICIPIUL ADJUD",174860,6,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:30",1326,1319,0,7,0,538,531,0,7,0,484,54,1445,907,38,114,176,27,8,119,2
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”MIHAIL ARMENCEA”",61,"MUNICIPIUL ADJUD",174860,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:20",991,981,0,10,0,453,443,0,10,0,435,18,1094,641,59,158,180,9,10,14,5
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „PRINCIPELE RADU”",66,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:13:19",1391,1380,1,7,3,581,571,0,7,3,544,27,1527,956,59,170,176,31,19,63,26
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”PRINCIPELE RADU” A",63,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:54:15",1178,1169,1,5,3,468,460,0,5,3,449,19,1293,825,36,157,178,17,13,35,13
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”PRINCIPELE RADU” B",64,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:21:19",1155,1149,0,6,0,475,469,0,6,0,454,21,1287,812,52,149,170,22,8,34,19
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”PRINCIPELE RADU” C",65,"MUNICIPIUL ADJUD",174860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:18:40",1174,1169,0,5,0,446,441,0,5,0,425,21,1289,843,54,145,147,7,13,31,28
41,VRANCEA,"SCOALĂ PRIMARA BURCIOAIA",71,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:50:48",437,433,0,3,1,169,165,0,3,1,158,11,480,311,21,45,67,10,4,7,4
41,VRANCEA,"SCOALĂ PRIMARA SISCANI",73,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:25:36",711,704,0,7,0,336,329,0,7,0,321,15,765,429,25,100,160,10,5,20,1
