precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
41,VRANCEA,"LICEUL TEHNOLOGIC ”EREMIA GRIGORESCU”",77,"ORAŞ MĂRĂŞEŞTI",174922,4,PART,PRCNCT,CL,CL_SV,"2024-06-11 16:39:23",1573,1562,5,5,1,593,586,1,5,1,570,23,931,338,34,44,271,114,12,95
41,VRANCEA,"LICEUL TEHNOLOGIC ”EREMIA GRIGORESCU”",78,"ORAŞ MĂRĂŞEŞTI",174922,4,PART,PRCNCT,CL,CL_SV,"2024-06-11 17:39:43",1390,1357,2,4,27,578,547,0,4,27,553,25,1524,946,35,40,211,141,28,98
41,VRANCEA,"ŞCOALA DOAGA",81,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:59",222,214,0,8,0,77,69,0,8,0,70,7,235,158,1,9,16,24,6,14
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ECATERINA TEODOROIU”",75,"ORAŞ MĂRĂŞEŞTI",174922,4,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:19:33",771,764,0,5,2,314,307,0,5,2,301,9,843,529,8,14,97,115,7,60
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ECATERINA TEODOROIU”",74,"ORAŞ MĂRĂŞEŞTI",174922,4,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:32:49",1327,1318,0,3,6,647,638,0,3,6,617,29,1455,808,30,31,219,188,15,134
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.2",79,"ORAŞ MĂRĂŞEŞTI",174922,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 17:55:25",1155,1143,3,8,1,444,435,0,8,1,428,16,1258,814,34,37,170,112,15,60
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.2",80,"ORAŞ MĂRĂŞEŞTI",174922,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:35:14",306,296,0,9,1,119,109,0,9,1,115,4,328,209,7,7,41,35,5,20
41,VRANCEA,"ŞCOALA PĂDURENI",84,"ORAŞ MĂRĂŞEŞTI",174922,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 16:50:04",411,399,0,10,2,203,191,0,10,2,197,6,440,237,5,14,68,22,1,87
41,VRANCEA,"ŞCOALA PRIMARĂ CĂLIMĂNEŞTI",82,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:16:25",466,460,0,6,0,244,238,0,6,0,228,16,504,260,7,18,100,70,8,25
41,VRANCEA,"ŞCOALA PRIMARĂ HARET",83,"ORAŞ MĂRĂŞEŞTI",174922,4,PART,PRCNCT,CL,CL_SV,"2024-06-11 17:30:15",537,530,0,5,2,304,297,0,5,2,277,27,585,281,25,33,90,69,12,48
41,VRANCEA,"ŞCOALA PRIMARĂ ”SIRETU”",76,"ORAŞ MĂRĂŞEŞTI",174922,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 16:34:46",1911,1902,0,7,2,722,713,0,7,2,602,120,2099,1377,7,51,196,285,14,49
