precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VUŞCAN VOICU-PARTIDUL SOCIAL DEMOCRAT-voturi","MATIEŞ CĂLIN-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PLEŞA GABRIEL-CODRU-PARTIDUL NAȚIONAL LIBERAL-voturi","NANU DANA-ELISABETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LUDOŞAN DIANA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PĂDUREAN CĂLIN-LIVIU-PARTIDUL PHRALIPE AL ROMILOR-voturi"
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:09:22",1253,1242,2,9,0,458,449,0,9,0,450,8,1396,938,89,71,212,51,22,5
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:31",1087,1078,0,8,1,437,428,0,8,1,423,14,1100,663,89,64,212,42,13,3
1,ALBA,"CĂMINUL CULTURAL OARDA DE JOS",49,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:05:52",1286,1278,6,1,1,609,607,0,1,1,590,19,1400,791,129,114,272,48,24,3
1,ALBA,"CĂMINUL PENTRU PERSOANE VÂRSTNICE",44,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:33:24",1277,1232,0,45,0,662,617,0,45,0,648,14,1400,738,132,75,343,70,22,6
1,ALBA,"CASA DE CULTURĂ A STUDENŢILOR",6,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:21",717,707,0,10,0,283,273,0,10,0,278,5,800,517,66,34,133,29,12,4
1,ALBA,"CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE",1,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:40:12",1760,1747,5,7,1,878,870,0,7,1,849,29,2000,1121,159,125,422,87,44,12
1,ALBA,"COLEGIUL ECONOMIC „DIONISIE POP MARŢIAN”",7,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:38:08",1540,1512,18,6,4,830,820,0,6,4,817,13,1700,870,177,93,428,95,17,7
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",11,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:10",910,896,6,8,0,320,312,0,8,0,314,6,1000,680,47,92,132,35,7,1
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",9,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:00:10",1848,1818,18,12,0,942,930,0,12,0,916,26,1900,958,158,107,519,92,33,7
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",8,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:46",967,923,8,33,3,470,434,0,33,3,454,16,1000,530,102,37,237,47,24,7
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",10,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:44:36",1339,1312,4,23,0,541,518,0,23,0,529,12,1400,859,119,83,256,44,13,14
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",38,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:19:20",1848,1835,7,6,0,903,897,0,6,0,887,16,1900,997,162,131,462,101,22,9
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",40,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:14:21",1335,1321,3,11,0,522,511,0,11,0,507,15,1500,978,85,143,203,58,10,8
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",39,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:04",1510,1502,0,8,0,577,569,0,8,0,556,21,1600,1023,112,118,242,60,21,3
1,ALBA,"COLEGIUL TEHNIC „APULUM”",13,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:32",965,950,0,15,0,372,357,0,15,0,369,3,1000,628,63,58,201,31,8,8
1,ALBA,"COLEGIUL TEHNIC „APULUM”",12,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:53",1115,1101,1,13,0,401,388,0,13,0,391,10,1300,899,92,76,142,56,19,6
1,ALBA,"COLEGIUL TEHNIC „APULUM”",14,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:59:52",1080,1066,4,10,0,397,387,0,10,0,382,15,1200,803,91,74,149,54,11,3
1,ALBA,"COLEGIUL TEHNIC „DORIN PAVEL”",36,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:42",857,831,4,22,0,364,342,0,22,0,359,5,900,536,80,71,163,32,10,3
1,ALBA,"COLEGIUL TEHNIC „DORIN PAVEL” ȘCOALA GENERALĂ NR. 9",35,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:37:44",1474,1445,18,11,0,709,698,0,11,0,675,22,1600,902,171,76,331,72,19,6
1,ALBA,"FLORIDA GOLD SRL",42,"MUNICIPIUL ALBA IULIA",1017,3,PART,PRCNCT,P,P_SV,"2024-06-10 13:02:53",1266,1256,0,10,0,774,764,0,10,0,750,17,1400,633,168,95,368,87,26,6
