precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VINŢELER SILVIU-PARTIDUL NAȚIONAL LIBERAL-voturi","DAMIAN LIVIU-RAREŞ-UNIUNEA SALVAȚI ROMÂNIA-voturi","SANISLAV MARIA-PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"CĂMINUL CULTURAL RĂZBOIENI-CETATE",165,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:23:27",1027,1014,1,6,6,454,442,0,6,6,442,12,1200,746,173,157,112
1,ALBA,"CASA DE CULTURĂ ”ION SÂNGEREANU”",157,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:12:14",1199,1179,2,5,13,555,536,1,5,13,541,14,1300,745,359,14,168
1,ALBA,"DIRECŢIA SANITAR-VETERINARĂ ŞI PENTRU SIGURANŢA ALIMENTELOR OCNA MUREŞ",158,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:24",1086,1072,1,8,5,474,461,0,8,5,460,14,1150,676,279,9,172
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL MICOŞLACA",164,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:34",250,237,0,11,2,120,107,0,11,2,118,2,300,180,78,2,38
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",160,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:16:28",1404,1391,2,7,4,704,693,0,7,4,681,23,1500,796,473,9,199
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5",155,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:09:16",1304,1297,0,6,1,603,596,0,6,1,587,16,1450,847,370,32,185
1,ALBA,"LICEUL TEORETIC ”PETRU MAIOR”",159,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:44",1280,1264,0,8,8,581,565,0,8,8,562,19,1400,819,384,8,170
1,ALBA,"ŞCOALA GENERALĂ CISTEIU DE MUREŞ",163,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:55",553,547,0,6,0,224,218,0,6,0,217,7,600,376,135,4,78
1,ALBA,"ȘCOALA GIMNAZIALĂ ”LUCIAN BLAGA”",156,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:33:53",1103,1092,1,7,3,538,528,0,7,3,528,10,1220,682,327,16,185
1,ALBA,"ŞCOALA PRIMARĂ UIOARA DE JOS",161,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:25",844,833,1,5,5,360,350,0,5,5,342,18,900,540,213,6,123
1,ALBA,"ŞCOALA PRIMARĂ UIOARA DE SUS, SALA NR. 1",162,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:32",1331,1320,3,4,4,567,559,0,4,4,545,22,1450,883,358,15,172
