precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂDULĂREA GEORGEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DOBRESCU ANDREI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MĂGEANU NORRIS-MARCU-PARTIDUL NAȚIONAL LIBERAL-voturi","LASCONI ELENA-VALERICA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DUMITRESCU MARIUS-PARTIDUL S.O.S. ROMÂNIA-voturi","STUPARU IOAN-VIRGIL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ZICHIL ALEXANDRU-IONUŢ-PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
3,ARGEŞ,"AȘEZĂMÂNTUL SOCIAL DE LA PAROHIA MĂRCUȘ",113,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:44",483,475,0,8,0,275,267,0,8,0,269,6,600,325,24,3,16,221,0,5,0
3,ARGEŞ,"BIBLIOTECA MUNICIPALA ION BARBU - FILIALA GRUI",96,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:41:43",1408,1400,1,7,0,701,694,0,7,0,684,17,1600,899,95,19,71,485,5,7,2
3,ARGEŞ,"COLEGIUL NAŢIONAL ”DINICU GOLESCU”",114,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:27:02",1192,1176,0,15,1,584,568,0,15,1,569,15,1200,616,90,21,61,381,5,11,0
3,ARGEŞ,"COLEGIUL NAŢIONAL PEDAGOGIC ”CAROL I”",109,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:16",740,733,0,7,0,378,371,0,7,0,370,8,800,422,56,16,58,230,4,4,2
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9",93,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:42:44",1561,1547,2,12,0,803,791,0,12,0,787,16,1750,947,83,14,70,602,7,6,5
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9 - II",94,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:19",1464,1451,0,12,1,738,725,0,12,1,727,11,1613,875,67,22,54,560,8,15,1
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9 - III",95,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:44",1346,1338,1,7,0,663,656,0,7,0,652,11,1400,737,67,27,69,475,4,10,0
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - I",102,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:19:16",1256,1248,0,7,1,548,540,0,7,1,540,8,1400,852,64,12,64,390,5,4,1
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - II",103,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:33:55",1199,1191,0,8,0,516,508,0,8,0,508,8,1400,884,84,8,51,357,2,4,2
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - III",104,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:49:08",1491,1481,0,9,1,652,642,0,9,1,644,8,1600,948,108,21,53,437,20,5,0
