precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂLUŢĂ DANIEL-ALIANȚA ELECTORALĂ PSD PNL-voturi","ŞTEFĂNESCU MATEI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CĂLINA SIMION-DAN-PARTIDUL ROMÂNIA MARE-voturi","TENIŢĂ DRAGOŞ-CĂTĂLIN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","MANOLE MARIANA-DANIELA-DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI-voturi","ENE PAUL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TÎRZIU LUANA-PARTIDUL S.O.S. ROMÂNIA-voturi"
47,"Sector 4","COLEGIUL NAȚIONAL DE ARTE ”DINU LIPATTI”",666,"BUCUREŞTI SECTORUL 4",179178,2,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-12 09:34:42",1105,1077,19,9,0,451,441,1,9,0,438,13,1200,749,209,41,9,36,15,113,15
47,"Sector 4","COLEGIUL NAȚIONAL DE ARTE ”DINU LIPATTI”",667,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-12 04:06:48",1329,1282,33,14,0,560,545,1,14,0,543,17,1400,840,231,49,20,65,5,152,21
47,"Sector 4","COLEGIUL NAŢIONAL ION CREANGĂ",675,"BUCUREŞTI SECTORUL 4",179178,2,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-12 02:03:44",1377,1346,20,11,0,624,613,0,11,0,613,11,1600,976,285,55,5,63,10,162,33
47,"Sector 4","COLEGIUL NAŢIONAL ION CREANGĂ",676,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:44:36",958,948,9,1,0,381,380,0,1,0,373,8,1080,699,201,28,6,35,6,91,6
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",757,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:18:26",1427,1416,3,8,0,603,595,0,8,0,591,12,1500,897,397,43,11,33,5,84,18
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",755,"BUCUREŞTI SECTORUL 4",179178,2,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-12 13:09:48",1664,1654,3,7,0,731,723,1,7,0,715,15,1800,1069,468,41,20,39,9,119,19
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",756,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:32:10",1090,1084,3,3,0,507,504,0,3,0,494,10,1200,696,332,34,4,27,3,76,18
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",758,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:53:22",1302,1293,2,5,2,660,653,0,5,2,653,7,1398,738,431,38,9,38,11,110,16
47,"Sector 4","COLEGIUL TEHNIC GRIGORE CERCHEZ",678,"BUCUREŞTI SECTORUL 4",179178,3,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-12 02:13:49",1344,1326,9,9,0,619,610,0,9,0,604,15,1500,881,282,55,16,56,12,159,24
47,"Sector 4","COLEGIUL TEHNIC GRIGORE CERCHEZ",677,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 12:37:05",965,941,23,1,0,418,418,0,0,0,398,20,800,382,215,25,9,33,7,100,9
47,"Sector 4","GRĂDINIŢA ”CIUPERCUTA”",798,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:16:43",1289,1265,16,8,0,461,437,16,8,0,454,7,1300,839,277,42,15,19,10,76,15
47,"Sector 4","GRĂDINIŢA ”CIUPERCUTA”",797,"BUCUREŞTI SECTORUL 4",179178,2,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 10:51:30",1058,1042,7,9,0,532,523,0,9,0,519,13,1100,568,290,34,9,30,3,142,11
47,"Sector 4","GRĂDINIŢA ”CIUPERCUTA”",799,"BUCUREŞTI SECTORUL 4",179178,2,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-11 14:46:49",1265,1257,3,4,1,496,491,0,4,1,484,12,1400,904,292,27,19,20,8,100,18
47,"Sector 4","GRĂDINIŢA ”CIUPERCUTA”",800,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:26:12",1124,1113,3,8,0,435,427,0,8,0,421,14,1200,765,232,39,7,26,11,93,13
47,"Sector 4","GRĂDINIȚA PANSELUȚA",722,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:14:34",1599,1589,0,10,0,630,620,0,10,0,622,8,1800,1170,404,49,11,29,10,90,29
47,"Sector 4","GRĂDINIȚA PANSELUȚA",721,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:48:20",1577,1569,4,4,0,703,699,0,4,0,692,11,1700,997,472,53,18,40,9,87,13
47,"Sector 4","GRĂDINIȚA PANSELUȚA",723,"BUCUREŞTI SECTORUL 4",179178,2,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-11 23:19:56",1082,1062,7,6,7,473,460,0,6,7,460,12,1399,926,311,30,8,21,8,71,11
47,"Sector 4","GRĂDINIȚA PANSELUȚA",720,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:47:22",1277,1272,0,4,1,580,575,0,4,1,559,21,1400,820,360,42,14,35,8,76,24
47,"Sector 4","GRĂDINIȚA ”PISICILE ARISTOCRATE”",664,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:12:40",1303,1274,20,8,1,497,488,0,8,1,484,13,1400,903,218,49,14,54,7,123,19
47,"Sector 4","GRĂDINIȚA ”PISICILE ARISTOCRATE”",665,"BUCUREŞTI SECTORUL 4",179178,3,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-12 22:02:09",1295,1263,27,5,0,524,517,2,5,0,514,10,1400,876,215,58,16,47,11,141,26
47,"Sector 4","GRĂDINIȚA ”PISICILE ARISTOCRATE”",663,"BUCUREŞTI SECTORUL 4",179178,2,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-11 20:58:49",1886,1806,59,18,3,650,626,3,18,3,631,19,2200,1550,320,38,17,49,11,184,12
47,"Sector 4","GRĂDINIȚA VISTA",769,"BUCUREŞTI SECTORUL 4",179178,3,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:09:21",1218,1197,10,11,0,548,537,0,11,0,542,6,1274,726,379,34,7,30,9,71,12
47,"Sector 4","GRĂDINIȚA VISTA",770,"BUCUREŞTI SECTORUL 4",179178,3,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 19:32:56",2098,2077,9,12,0,844,832,0,12,0,834,10,2200,1356,532,67,18,38,10,138,31
47,"Sector 4","GRAND ARENA-GRĂDINIȚA ”ALBĂ CA ZĂPADA ȘI PITICII”",850,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 10:59:52",1929,1907,8,14,0,956,942,0,14,0,946,10,2200,1244,628,27,8,72,8,185,18
47,"Sector 4","GRAND ARENA-GRĂDINIȚA ”ALBĂ CA ZĂPADA ȘI PITICII”",851,"BUCUREŞTI SECTORUL 4",179178,2,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-13 01:19:09",1737,1711,11,15,0,900,885,0,15,0,887,13,1900,1000,583,33,7,60,9,181,14
47,"Sector 4","GRAND ARENA-GRĂDINIȚA ”PITICOT”",849,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:59:06",1845,1821,6,18,0,887,869,0,18,0,877,10,1937,1050,610,24,4,50,7,148,34
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",710,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:58:52",1748,1733,12,3,0,735,732,0,3,0,717,18,2100,1365,433,64,16,44,12,116,32
