precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BIRÓ ROZÁLIA-IBOLYA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MADAR MARIUS-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PALAGHIANU DANIEL-CRISTIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","MOZA COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BIRTA FLORIN-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOROŞ ANDREI-CRISTIAN-BOGDAN-PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","CSOMORTÁNYI ISTVÁN-CSABA-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
5,BIHOR,"BLOCURILE ANL",145,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:41:10",1785,1779,0,5,1,899,893,0,5,1,893,6,1942,1043,40,48,13,26,752,11,3
5,BIHOR,"CENTRUL DE ÎNGRIJIRE DE ZI",98,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:28:47",1086,1071,5,10,0,442,432,0,10,0,436,6,1217,775,77,36,8,12,288,5,10
5,BIHOR,"CENTRUL DE ÎNGRIJIRE DE ZI",97,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:16",1241,1223,7,9,2,521,510,0,9,2,510,11,1332,811,75,39,15,21,332,8,20
5,BIHOR,"CENTRU ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ ”ORIZONT”",99,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:48:31",1277,1268,3,6,0,461,455,0,6,0,459,2,1393,932,86,50,3,26,279,5,10
5,BIHOR,"COLEGIUL ECONOMIC ” PARTENIE COSMA ”",1,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:28",1675,1542,93,39,1,742,702,0,39,1,732,10,1665,923,65,47,16,16,578,4,6
5,BIHOR,"COLEGIUL NAŢIONAL ”EMANUIL GOJDU”",125,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:22:15",782,739,37,6,0,303,297,0,6,0,294,9,805,502,55,28,16,5,171,7,12
5,BIHOR,"COLEGIUL NAŢIONAL ”EMANUIL GOJDU”",126,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:17:35",718,699,8,11,0,317,306,0,11,0,311,6,766,449,51,32,11,10,200,2,5
5,BIHOR,"COLEGIUL NAŢIONAL ”IOSIF VULCAN”",131,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:17",943,890,31,21,1,323,301,0,21,1,313,10,982,659,70,35,11,12,159,3,23
5,BIHOR,"COLEGIUL NAŢIONAL ”IOSIF VULCAN”",130,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:53",750,740,6,4,0,313,309,0,4,0,309,4,810,497,65,16,14,6,184,3,21
5,BIHOR,"COLEGIUL NAȚIONAL ”IOSIF VULCAN”",135,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:35:30",1096,1061,26,9,0,469,460,0,9,0,448,21,1164,695,33,53,7,19,322,4,10
5,BIHOR,"COLEGIUL NAȚIONAL ”IOSIF VULCAN”",133,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:02:27",1243,1227,8,8,0,589,581,0,8,0,581,8,1384,795,55,57,14,30,415,2,8
5,BIHOR,"COLEGIUL NAȚIONAL ”IOSIF VULCAN”",134,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:04",1010,1002,5,3,0,436,433,0,3,0,426,10,1138,702,30,42,2,7,339,1,5
5,BIHOR,"COLEGIUL NAȚIONAL ”IOSIF VULCAN”",132,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:39",1754,1725,18,10,1,735,724,0,10,1,727,8,1893,1158,71,74,14,16,529,3,20
5,BIHOR,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",121,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:34",1057,1036,8,12,1,435,425,0,9,1,432,3,1215,780,103,23,18,17,240,4,27
5,BIHOR,"COLEGIUL NAȚIONAL ”ONISIFOR GHIBU”",25,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:41:09",1615,1601,6,8,0,614,606,0,8,0,602,12,1819,1205,54,52,6,23,452,2,13
5,BIHOR,"COLEGIUL NAȚIONAL ”ONISIFOR GHIBU”",24,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:46:05",1330,1321,1,7,1,539,531,0,7,1,534,5,1453,914,53,40,1,25,400,5,10
5,BIHOR,"COLEGIUL NAȚIONAL ”ONISIFOR GHIBU”",27,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:59",1345,1325,7,12,1,554,541,0,12,1,542,12,1504,950,53,41,16,12,407,3,10
5,BIHOR,"COLEGIUL NAȚIONAL ”ONISIFOR GHIBU”",26,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:39:48",1419,1394,4,21,0,558,537,0,21,0,543,15,1629,1071,35,39,9,19,434,2,5
5,BIHOR,"COLEGIUL NAȚIONAL ”ONISIFOR GHIBU”",23,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:02:20",1621,1555,37,11,18,700,672,0,11,17,694,6,1763,1063,56,49,27,14,536,3,9
5,BIHOR,"CREŞA NR.2 ”PICIORUŞE VESELE”",9,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:16",1096,1084,4,8,0,401,393,0,8,0,394,7,1240,839,57,22,8,19,279,4,5
5,BIHOR,"CREȘA NR. 2 ” PICIORUȘE VESELE ”",7,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:30:26",723,713,3,7,0,247,240,0,7,0,242,5,811,564,30,25,8,7,166,2,4
5,BIHOR,"CREȘA ORADEA",37,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:33:02",1748,1738,3,7,0,755,748,0,7,0,748,7,1896,1141,41,50,11,30,608,4,4
5,BIHOR,"FUNDAŢIA DE SCLEROZĂ MULTIPLĂ",94,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:28",1182,1175,0,7,0,457,450,0,7,0,454,3,1334,877,63,35,7,12,323,3,11
5,BIHOR,"FUNDAŢIA DE SCLEROZĂ MULTIPLĂ",93,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:48:40",1042,1031,6,5,0,432,427,0,5,0,419,13,1131,699,38,50,13,7,299,4,8
5,BIHOR,"GRĂDINIŢA CU PROGRAM NORMAL NR. 15",81,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:44",1999,1987,9,3,0,832,820,9,3,0,816,16,2181,1349,366,41,14,24,330,2,39
5,BIHOR,"GRĂDINIŢA CU PROGRAM NORMAL NR.17",56,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:53",1478,1453,18,7,0,610,603,0,7,0,608,2,1653,1043,88,66,12,13,411,2,16
5,BIHOR,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",33,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:40",1595,1564,3,28,0,718,690,0,28,0,694,24,1715,997,68,50,15,31,521,2,7
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.20",57,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:53:46",1293,1279,0,14,0,464,450,0,14,0,448,16,1400,936,62,30,6,12,325,4,9
