precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOLDOVAN NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","VEJA AUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CÂRLIG CRISTIAN-COSTEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA ORĂȘENEASCĂ BECLEAN „LIVIU REBREANU”",59,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:41:14",1596,1525,3,42,26,902,834,0,42,26,888,14,1700,798,553,21,314
6,BISTRIŢA-NĂSĂUD,"CLUBUL COPIILOR BECLEAN",62,"ORAŞ BECLEAN",32483,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:58:18",778,764,1,11,2,363,350,0,11,2,356,7,850,487,220,10,126
6,BISTRIŢA-NĂSĂUD,"CLUBUL COPIILOR BECLEAN",61,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:54",727,715,1,10,1,362,351,0,10,1,351,11,800,438,196,15,140
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA CU PROGRAM NORMAL COLDĂU",67,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:21",649,639,0,4,6,338,328,0,4,6,334,4,700,362,211,9,114
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA CU PROGRAM NORMAL RUSU DE JOS",69,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:16:34",283,274,0,7,2,163,154,0,7,2,158,5,300,137,126,7,25
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA CU PROGRAM NORMAL VALEA VIILOR",66,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:33",363,344,7,7,5,207,195,0,7,5,203,4,400,193,137,8,58
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC AGRICOL BECLEAN",64,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:25:39",1541,1527,1,11,2,783,770,0,11,2,769,14,1700,917,456,21,292
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA ORAȘULUI BECLEAN",60,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:36:42",1748,1641,2,74,31,894,854,0,9,31,876,18,1800,906,660,26,190
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ BECLENUŢ",65,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:14",330,321,0,7,2,195,186,0,7,2,188,7,350,155,131,6,51
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”GRIGORE SILAŞI”",63,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:03",1532,1518,2,6,6,804,791,1,6,6,788,16,1650,846,475,26,287
6,BISTRIŢA-NĂSĂUD,"ȘCOALA PRIMARĂ FIGA",68,"ORAŞ BECLEAN",32483,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:04",456,425,1,10,20,301,273,0,10,18,284,17,511,210,251,6,27
