precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IVAN GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHERGHICEANU ION-PARTIDUL SOCIAL DEMOCRAT-voturi","MIRCICĂ CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ALBU NICOLETA-DORINA-voturi"
10,BUZĂU,"CĂMIN CULTURAL",122,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:57",696,692,0,4,0,447,443,0,4,0,435,12,768,321,50,248,121,16
10,BUZĂU,"CĂMIN CULTURAL",124,"ORAŞ PĂTÂRLAGELE",48325,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:13",187,181,0,6,0,122,116,0,6,0,121,1,199,77,12,68,38,3
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL",123,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:24",363,361,0,2,0,194,192,0,2,0,193,1,397,203,25,82,70,16
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL",126,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:32",520,515,0,5,0,323,318,0,5,0,316,7,527,204,25,191,89,11
10,BUZĂU,"LICEUL TEHNOLOGIC PĂTÂRLAGELE",119,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:25:10",1038,1033,3,2,0,561,559,0,2,0,549,12,1140,579,38,269,196,46
10,BUZĂU,"LICEUL TEHNOLOGIC PĂTÂRLAGELE",118,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:57",908,893,2,11,2,517,504,0,11,2,507,10,994,477,43,215,189,60
10,BUZĂU,"ŞCOALA GENERALĂ",120,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:51",561,554,1,6,0,354,348,0,6,0,345,9,615,261,21,257,62,5
10,BUZĂU,"ŞCOALĂ GIMNAZIALĂ",127,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:24:01",1180,1174,0,6,0,670,664,0,6,0,645,25,1309,639,86,319,206,34
10,BUZĂU,"ŞCOALA PRIMARĂ",125,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:43:52",386,378,0,8,0,229,221,0,8,0,224,5,416,187,16,120,83,5
10,BUZĂU,"ŞCOALĂ PRIMARĂ",121,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:29",245,238,0,7,0,136,129,0,7,0,134,2,262,126,23,75,32,4
