precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIORTEA RĂZVAN-IULIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MATEI CRISTIAN-OCTAVIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","NAP ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RIGMAN CIPRIAN-DORU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ANCA DORU-PAUL-IOAN-PARTIDUL ROMÂNIA MARE-voturi","DUCA AUGUSTIN-NICOLAE-PARTIDUL NAȚIONAL VATRA ROMÂNEASCĂ-voturi"
13,CLUJ,"COLEGIUL ”EMIL NEGRUŢIU”",258,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:48:55",1188,1182,1,5,0,578,572,1,5,0,571,7,1300,722,71,142,185,152,14,7
13,CLUJ,"COLEGIUL NAŢIONAL ”MIHAI VITEAZU”",257,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:13",1011,995,4,9,3,446,434,0,9,3,432,14,1118,672,62,110,88,159,4,9
13,CLUJ,"COLEGIUL TEHNIC",255,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:51",1152,1134,1,3,14,519,501,1,3,14,501,17,1252,733,67,166,107,135,13,13
13,CLUJ,"COLEGIUL TEHNIC",256,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 17:26:38",1171,1113,6,4,48,574,522,0,4,48,542,32,1239,665,70,155,141,158,5,13
13,CLUJ,"COLEGIUL TEHNIC ”DR.IOAN RAŢIU”",254,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:50",1060,1048,3,9,0,421,412,0,9,0,398,23,1177,756,77,122,143,47,3,6
13,CLUJ,"COLEGIUL TEHNIC ”DR.IOAN RAŢIU”",253,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:42:51",894,886,0,5,3,451,443,0,5,3,437,14,991,540,38,170,187,29,4,9
13,CLUJ,"COLEGIUL TEHNIC ”DR.IOAN RAŢIU”",252,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:58:25",1306,1299,0,6,1,594,587,0,6,1,570,20,1444,854,72,148,171,157,13,9
13,CLUJ,"LICEUL TEORETIC ”JOSIKA MIKLOS”",247,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:18",1121,1106,1,12,2,563,549,0,12,2,545,18,1239,676,74,190,80,176,15,10
13,CLUJ,"LICEUL TEORETIC ”JOSIKA MIKLOS”",246,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:42",981,967,4,10,0,396,386,0,10,0,375,21,1081,685,39,91,105,124,7,9
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",271,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:21",1314,1307,0,6,1,568,561,0,6,1,556,12,1468,900,87,145,144,156,9,15
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",272,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:55:22",1168,1156,2,10,0,540,530,0,10,0,532,8,1314,774,69,164,121,155,7,16
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",274,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:04",1008,1001,1,6,0,377,371,0,6,0,362,15,1108,731,45,110,89,104,8,6
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",269,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:03:18",1296,1288,0,8,0,580,572,0,8,0,571,9,1419,839,61,179,121,189,7,14
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",273,"MUNICIPIUL TURDA",55259,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:12:25",1441,1411,3,9,18,628,601,0,9,18,612,16,1556,928,66,196,127,193,8,22
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",270,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:13:29",1317,1299,3,14,1,536,521,0,14,1,522,14,1473,937,67,152,153,128,9,13
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA”",261,"MUNICIPIUL TURDA",55259,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:33:50",1030,1018,5,7,0,461,452,2,7,0,442,19,1137,676,71,129,127,97,12,6
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA”",259,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:42:18",1227,1220,0,7,0,505,498,0,7,0,484,7,1363,872,60,133,164,111,12,4
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA”",260,"MUNICIPIUL TURDA",55259,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:51:56",948,940,0,7,1,444,436,0,7,1,425,11,1051,573,61,121,111,111,11,10
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",265,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:42",1186,1177,0,8,1,525,516,0,8,1,502,23,1316,791,60,157,122,149,2,12
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",264,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:30",1028,1021,2,4,1,456,451,0,4,1,449,7,1144,688,56,120,120,139,6,8
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",263,"MUNICIPIUL TURDA",55259,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:52:48",1071,1064,1,6,0,436,430,0,6,0,426,10,1182,746,89,112,110,111,1,3
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",262,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:22",948,941,1,6,0,424,418,0,6,0,412,12,1036,612,56,107,121,117,2,9
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",278,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:12",1245,1236,3,5,1,543,537,0,5,1,515,27,1391,848,65,145,166,121,6,12
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",281,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:59",1284,1276,2,4,2,510,503,1,4,2,503,7,1425,915,62,163,128,137,7,6
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",280,"MUNICIPIUL TURDA",55259,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:07:57",1131,1126,0,5,0,496,491,0,5,0,484,12,1246,750,71,158,115,126,6,8
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",277,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:11",1347,1336,2,9,0,582,573,0,9,0,558,24,1488,906,52,186,172,137,2,9
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",279,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:21:09",1140,1130,1,8,1,471,462,0,8,1,457,14,1268,797,62,134,124,125,4,8
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",275,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:07",1335,1329,2,4,0,562,558,0,4,0,556,6,1486,924,62,142,132,178,8,34
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",276,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:21:57",1286,1277,1,8,0,573,565,0,8,0,560,13,1418,845,76,143,178,138,15,10
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ION OPRIŞ”",268,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:19",1299,1256,1,3,39,615,573,0,3,39,604,11,1386,771,104,174,95,199,17,15
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ION OPRIŞ”",266,"MUNICIPIUL TURDA",55259,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:28:36",1127,1120,1,6,0,534,528,0,6,0,522,12,1257,713,86,125,120,177,5,9
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ION OPRIŞ”",267,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:50",960,950,4,6,0,463,457,0,6,0,453,10,1050,587,117,101,90,132,5,8
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”TEODOR MURĂŞANU”",250,"MUNICIPIUL TURDA",55259,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:04",1136,1119,6,11,0,542,531,0,11,0,523,19,1163,621,59,167,89,193,5,10
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”TEODOR MURĂŞANU”",248,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:46",1067,1059,1,6,1,473,466,0,6,1,464,9,1185,712,65,130,109,146,6,8
