precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUNTEAN-ROŞCA HORAŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","PIVARIU BOGDAN-NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","ADĂMUŢĂ CĂTĂLIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MIC ADRIAN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","UDREA FLAVIU-DACIAN-ALIANȚA UNIȚI PENTRU FLOREȘTI USR + ARI-voturi","BOAR RADU-DAN-PARTIDUL S.O.S. ROMÂNIA-voturi","ABRUDAN TRAIAN-PARTIDUL VERDE-voturi"
13,CLUJ,"CAMINUL CULTURAL TAUTI",473,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:47",241,231,2,6,2,124,116,0,6,2,124,0,258,134,20,68,7,4,12,2,11
13,CLUJ,"CLĂDIRE MULTIFUNCȚIONALĂ",467,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:58:51",1338,1322,8,8,0,548,537,3,8,0,538,10,1468,920,32,262,25,8,182,9,20
13,CLUJ,"CLĂDIRE MULTIFUNCȚIONALĂ",468,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:01",1606,1575,11,20,0,626,606,0,20,0,611,15,1715,1089,26,292,37,13,215,9,19
13,CLUJ,"GRĂDINIȚA CU PROGRAM PRELUNGIR FLOREȘTI",452,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:45:37",1827,1807,3,15,2,791,774,0,15,2,771,20,2006,1215,86,428,39,9,108,16,85
13,CLUJ,"GRĂDINIȚA CU PROGRAM PRELUNGIT FLOREȘTI",449,FLOREŞTI,57706,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:27:51",1783,1766,5,12,0,720,708,0,12,0,706,14,1996,1276,50,362,31,17,183,21,42
13,CLUJ,"GRĂDINIȚA CU PROGRAM PRELUNGIT FLOREȘTI",448,FLOREŞTI,57706,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:47:40",1857,1830,11,16,0,649,633,0,16,0,615,34,2039,1390,62,276,44,18,148,19,48
13,CLUJ,"GRĂDINIȚA CU PROGRAM PRELUNGIT FLOREȘTI",450,FLOREŞTI,57706,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:07:53",1778,1747,7,24,0,716,692,0,24,0,705,11,1958,1242,57,359,29,23,173,19,45
13,CLUJ,"GRĂDINIȚA CU PROGRAM PRELUNGIT FLOREȘTI",451,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:48:24",1902,1875,13,14,0,861,847,0,14,0,851,10,1974,1113,46,485,23,9,231,14,43
13,CLUJ,"GRADINITA NR.2",459,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:14:54",1799,1768,18,12,1,854,841,0,12,1,835,19,1969,1115,127,412,30,19,146,15,86
13,CLUJ,"GRADINITA NR.2",458,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:38",1673,1652,8,13,0,778,764,1,13,0,762,16,1820,1042,57,354,25,10,253,12,51
13,CLUJ,"PRIMĂRIA COMUNEI FLOREȘTI",453,FLOREŞTI,57706,3,PART,PRCNCT,P,P_SV,"2024-06-10 18:57:33",1975,1953,0,21,1,829,807,0,21,1,800,29,2178,1349,212,349,36,11,121,16,55
13,CLUJ,"PRIMĂRIA COMUNEI FLOREȘTI",454,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:08:08",1686,1667,11,8,0,755,747,0,8,0,726,29,1852,1097,115,358,33,11,157,11,41
13,CLUJ,ȘCOALA,464,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:00",1558,1540,8,10,0,609,599,0,10,0,603,6,1702,1093,47,326,39,9,150,9,23
13,CLUJ,ȘCOALA,463,FLOREŞTI,57706,2,PART,PRCNCT,P,P_SV,"2024-06-10 19:08:11",1870,1841,8,21,0,686,664,1,21,0,679,7,2041,1355,31,380,48,8,158,17,37
13,CLUJ,ȘCOALA,462,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:36:06",1917,1896,5,16,0,769,753,0,16,0,757,12,2120,1351,54,351,61,12,197,23,59
13,CLUJ,ȘCOALA,460,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:34:21",2002,1977,11,14,0,721,707,0,14,0,702,19,963,242,39,397,47,9,148,11,51
13,CLUJ,ȘCOALA,461,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:06:58",1998,1973,9,16,0,743,727,0,16,0,726,17,2163,1420,41,407,37,7,169,24,41
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”GHEORGHE ȘINCAI” FLOREȘTI",455,FLOREŞTI,57706,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:26:02",1069,1058,7,3,1,512,508,0,3,1,501,10,1183,671,74,257,22,4,75,6,63
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”GHEORGHE ȘINCAI” FLOREȘTI",456,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:53:35",1882,1843,19,20,0,785,764,1,20,0,774,11,2034,1249,58,416,38,9,188,17,48
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”GHEORGHE ȘINCAI” FLOREȘTI",457,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:46:35",1903,1872,15,16,0,790,774,0,16,0,780,10,2075,1285,32,461,37,11,175,20,44
13,CLUJ,"ȘCOALA GIMNAZIALĂ „GHEORGHE ȘINCAI” FLOREȘTI",470,FLOREŞTI,57706,1,PART,PRCNCT,P,P_SV,"2024-06-10 17:02:33",1419,1394,9,16,0,614,598,0,16,0,607,7,1536,922,55,336,25,4,132,11,44
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”GHEORGHE ȘINCAI” FLOREȘTI-GRĂDINIȚA",465,FLOREŞTI,57706,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:53:05",1286,1269,9,8,0,513,505,0,8,0,506,7,1406,893,63,220,19,9,144,7,44
