precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RUJAN DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","CORNEA STELIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BORCEAN FELIX-COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ISPAS ARIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DAMIAN ROMULUS-MARIUS-voturi","PASERE FELICIAN-IONEL-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL JUPA",91,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:13",535,526,2,7,0,310,303,0,7,0,304,6,583,273,85,37,71,17,10,84
11,CARAŞ-SEVERIN,"CASA MUNICIPALĂ DE CULTURĂ ”GEORGE SURU”",76,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:35:29",1170,1152,7,10,1,564,553,0,10,1,548,11,1278,719,130,15,199,87,18,99
11,CARAŞ-SEVERIN,"CLĂDIRE A MUNICIPIULUI CARANSEBEȘ (FOSTA ȘCOALĂ GENERALĂ NR. 7)",78,"MUNICIPIUL CARANSEBEŞ",51010,2,PART,PRCNCT,P,P_SV,"2024-06-11 19:54:36",1262,1229,0,15,18,475,442,0,15,18,456,19,1367,892,178,25,115,33,15,90
11,CARAŞ-SEVERIN,"CLĂDIRE A MUNICIPIULUI CARANSEBEȘ (FOSTA ȘCOALĂ GENERALĂ NR.7)",79,"MUNICIPIUL CARANSEBEŞ",51010,2,PART,PRCNCT,P,P_SV,"2024-06-11 19:58:48",1051,1043,1,6,1,375,368,0,6,1,358,17,1150,775,126,14,115,30,12,61
11,CARAŞ-SEVERIN,"CLĂDIRE A MUNICIPIULUI CARANSEBEȘ (FOSTA ȘCOALĂ PRIMARĂ)",71,"MUNICIPIUL CARANSEBEŞ",51010,4,PART,PRCNCT,P,P_SV,"2024-06-10 17:29:57",1176,1163,2,11,0,516,504,1,11,0,494,22,1285,769,219,56,139,22,4,54
11,CARAŞ-SEVERIN,"CLUBUL SPORTIV ȘCOLAR",80,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:39:51",1067,1054,1,12,0,392,380,0,12,0,378,13,1164,772,129,16,150,26,8,49
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”C.D. LOGA”",87,"MUNICIPIUL CARANSEBEŞ",51010,3,PART,PRCNCT,P,P_SV,"2024-06-10 18:42:29",1562,1555,4,3,0,604,601,0,3,0,558,39,1722,1125,187,15,167,56,12,121
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL „TRAIAN DODA” CARANSEBEȘ, CORP B",73,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:40",1395,1373,4,12,6,591,573,0,12,6,578,13,1518,927,138,23,225,93,35,64
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3",72,"MUNICIPIUL CARANSEBEŞ",51010,2,PART,PRCNCT,P,P_SV,"2024-06-11 19:34:19",552,541,4,7,0,262,255,0,7,0,248,14,598,336,78,10,89,30,5,36
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",81,"MUNICIPIUL CARANSEBEŞ",51010,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:20:26",1053,1046,0,7,0,394,387,0,7,0,383,8,1162,768,152,18,94,27,17,75
