precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ABDUREFI SEMIRAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","FOLEANU PAUL-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","RADU CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","VIERU EUGEN-ALEXANDRU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MENABIT OZGHIUN-ALIANȚA NOI SUNTEM MANGALIA-voturi","NIŢĂ ANDREI-CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","MOLDOVAN DĂNUŢ-PARTIDUL PRO ROMÂNIA-voturi","ZAMOSTEANU ADRIAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
14,CONSTANŢA,"BAZA SPORTIVĂ MARINA",236,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:23",655,640,7,8,0,400,392,0,8,0,393,6,706,306,34,140,128,21,40,14,5,11
14,CONSTANŢA,"CASA MUNICIPALĂ DE CULTURĂ",212,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:05:38",1528,1518,0,8,2,742,732,0,8,2,712,30,1670,928,60,195,336,17,62,15,15,12
14,CONSTANŢA,"CLUB SPITAL MANGALIA",232,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:10:59",840,827,0,10,3,450,438,0,10,2,437,13,912,462,25,117,234,10,23,15,6,7
14,CONSTANŢA,"GRĂDINIȚA CALLATIS",233,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:21:15",1020,1003,0,13,4,488,471,0,13,4,461,14,1103,628,34,113,224,9,41,20,11,9
14,CONSTANŢA,"GRĂDINIȚA NR.3",219,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:25:36",1512,1502,0,10,0,733,723,0,10,0,713,20,1657,924,50,225,297,20,65,34,19,3
14,CONSTANŢA,"GRADINITA NR. 5 NEPTUN",237,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:03:20",1247,1236,3,6,2,574,566,0,6,2,561,11,1360,786,33,171,305,3,21,15,12,1
14,CONSTANŢA,"GRĂDINIȚA NR. 5 NEPTUN",238,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:26",497,488,2,7,0,239,232,0,7,0,218,21,538,299,3,47,128,4,8,7,17,4
14,CONSTANŢA,"GRUP ȘCOLAR ECONOMIC",213,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:33:52",1329,1315,0,10,4,702,688,0,10,4,678,22,1500,800,52,157,347,20,51,19,21,11
14,CONSTANŢA,"GRUP ȘCOLAR INDUSTRIAL ”ION BĂNESCU”",215,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:14:16",1327,1317,0,9,1,686,676,0,9,1,655,25,1450,770,44,180,273,18,66,35,26,13
14,CONSTANŢA,"HOTEL MANGALIA",230,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:30:11",1178,1170,2,4,2,594,588,0,4,2,577,17,1294,700,48,148,300,5,40,19,12,5
14,CONSTANŢA,"LICEUL CALLATIS",234,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:10:40",1118,1095,0,5,18,582,559,0,5,18,562,13,1211,623,36,134,302,8,36,23,13,10
14,CONSTANŢA,"LICEUL CALLATIS",235,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:19:11",1002,979,0,11,12,471,448,0,11,12,460,11,1084,613,31,83,256,5,55,14,7,9
14,CONSTANŢA,"LICEUL TEHNOLOGIC ”ION BĂNESCU”",216,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:33",1052,1040,1,6,5,520,509,0,6,5,512,8,1158,632,41,159,217,25,43,8,11,8
14,CONSTANŢA,"LICEUL TEHNOLOGIC ”ION BĂNESCU” MANGALIA",214,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:33:25",1046,1034,0,9,3,537,525,0,9,3,516,21,1142,605,47,123,228,16,43,36,11,12
14,CONSTANŢA,"ȘCOALA GENERALĂ NR.1",220,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:42:10",1122,1107,2,10,3,585,572,0,10,3,559,26,1270,685,53,120,280,13,49,23,11,10
