precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IORGANDA HRISTU-PARTIDUL SOCIAL DEMOCRAT-voturi","BELU ANCUŢA-DANIELA-PARTIDUL NAȚIONAL LIBERAL-voturi","IANCA NICUŞOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BURSUC GABRIEL-PARTIDUL S.O.S. ROMÂNIA-voturi"
14,CONSTANŢA,"CĂMINUL CULTURAL",494,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:30:05",380,372,0,8,0,380,372,0,8,0,367,13,732,352,51,245,50,21
14,CONSTANŢA,"CENTRUL PENTRU TINERET",490,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:57",1383,1368,2,5,8,630,617,0,5,8,617,13,1509,879,35,486,61,35
14,CONSTANŢA,"GRĂDINIŢA DOMINO",485,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:40:37",1245,1236,1,7,1,659,650,1,7,1,639,17,1362,706,49,502,54,34
14,CONSTANŢA,"GRĂDINIŢA PINOCHIO",486,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:57",1229,1217,1,10,1,722,711,0,10,1,647,8,1343,632,29,530,43,45
14,CONSTANŢA,"GRĂDINIŢA PITICOT",488,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:24",796,788,2,6,0,393,387,0,6,0,384,9,854,461,36,299,30,19
14,CONSTANŢA,"GRĂDINIŢA PITICOT",487,"MIHAIL KOGĂLNICEANU",62191,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:53:20",728,723,0,5,0,306,301,0,5,0,296,10,804,498,20,234,19,23
14,CONSTANŢA,"ŞCOALA GENERALĂ",492,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:23:36",272,261,1,10,0,168,158,0,10,0,167,1,288,120,11,123,23,10
14,CONSTANŢA,"ŞCOALA GENERALĂ CERES",491,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:35:40",371,363,0,8,0,194,186,0,8,0,188,6,404,210,21,127,18,22
14,CONSTANŢA,"ȘCOALA GENERALĂ NR.2",489,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:48:05",1178,1162,0,7,9,608,592,0,7,9,595,13,1275,667,28,478,63,26
14,CONSTANŢA,"UNITATEA AGRICOLĂ SIBIOARA, CENTRUL PENTRU TINERET",493,"MIHAIL KOGĂLNICEANU",62191,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:52",364,351,0,10,3,220,207,0,10,3,216,4,391,171,12,173,22,9
