precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BÎZU-GHERGHINESCU MIHAI-MARCEL-PARTIDUL PRO ROMÂNIA-voturi","MOREGA COSTEL-COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","CORCOAŢĂ EUGEN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SLAPCIU AUREL-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","JIANU GIGEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
20,GORJ,"CASA DE CULTURĂ MOTRU",61,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,P,P_SV,"2024-06-12 17:14:40",1541,1521,1,17,2,725,706,0,17,2,712,13,1800,1075,11,321,31,16,333
20,GORJ,"COLEGIUL NAŢIONAL GEORGE COŞBUC MOTRU",62,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:28:21",1422,1402,3,15,2,602,585,0,15,2,593,9,1500,898,10,270,30,8,275
20,GORJ,"COLEGIUL TEHNIC MOTRU",60,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,P,P_SV,"2024-06-12 17:19:52",899,891,0,7,1,464,456,0,7,1,439,25,1000,536,11,196,27,4,201
20,GORJ,"GRĂDINIŢA CATOLICĂ MOTRU",65,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:42",1471,1463,3,5,0,668,662,1,5,0,654,14,1700,1032,14,302,41,14,283
20,GORJ,"GRĂDINIŢA CREŞĂ NR.1 MOTRU",66,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:32:35",1582,1565,0,11,6,723,706,0,11,6,695,28,1800,1077,17,353,35,14,276
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.1 MOTRU",63,"MUNICIPIUL MOTRU",78141,3,PART,PRCNCT,P,P_SV,"2024-06-12 18:59:24",1488,1475,2,9,2,682,671,0,9,2,668,14,1700,1018,17,307,28,16,300
20,GORJ,"ȘCOALA GIMNAZIALĂ NR. 1 MOTRU",68,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:19:04",1489,1480,0,9,0,676,667,0,9,0,651,25,1700,1024,15,284,49,18,285
20,GORJ,"ŞCOALA GIMNAZIALĂ NR. 2 MOTRU",59,"MUNICIPIUL MOTRU",78141,3,PART,PRCNCT,P,P_SV,"2024-06-12 17:36:23",1329,1305,4,18,2,617,597,0,18,2,593,24,1500,883,13,290,32,14,244
20,GORJ,"ŞCOALA HORĂŞTI",69,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:55:17",373,354,0,7,12,230,211,0,7,12,225,5,400,170,4,59,17,2,143
20,GORJ,"ŞCOALA LEURDA",70,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:57",614,609,0,5,0,344,339,0,5,0,336,8,800,456,2,141,16,3,174
20,GORJ,"ŞCOALA PRIMARĂ PLOŞTINA",71,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:11",971,964,0,6,1,578,571,0,6,1,567,11,1100,522,6,311,23,4,223
20,GORJ,"ŞCOALA PRIMARĂ ROŞIUŢA",73,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:52:20",441,432,0,9,0,276,267,0,9,0,269,7,545,269,5,153,12,2,97
20,GORJ,"ŞCOALA RÂPA",72,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:32",255,247,0,8,0,155,147,0,8,0,152,3,300,145,4,79,3,5,61
20,GORJ,"ȘCOALA SFÂNTUL IOAN",64,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:25:54",1105,1097,1,6,1,471,464,0,6,1,463,8,1200,729,4,191,23,9,236
20,GORJ,"SEDIUL IMPOZITE ŞI TAXE LOCALE MOTRU",67,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:15:49",1491,1478,2,10,1,709,698,0,10,1,684,25,1700,991,30,290,37,16,311
