precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUCA CRISTIAN-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CAZACU FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","OPRIŞA IOAN-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BUFNILĂ SERGIU-ALIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","BUSTAN CIPRIAN-NICOLAE-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL MESTEACĂN",57,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:20",415,408,2,3,2,228,222,1,3,2,220,8,491,263,14,118,59,10,19
22,HUNEDOARA,"CĂMINUL CULTURAL RUDA-BRAD",58,"MUNICIPIUL BRAD",87291,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:15:12",157,151,0,6,0,67,61,0,6,0,63,4,212,145,12,26,22,3,0
22,HUNEDOARA,"CASA DE CULTURA",48,"MUNICIPIUL BRAD",87291,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:50:45",914,903,0,7,4,430,419,0,7,4,419,11,1017,587,59,247,56,44,13
22,HUNEDOARA,"CASA DE CULTURA",47,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:49",804,792,5,7,0,352,344,1,7,0,345,7,927,575,26,200,59,47,13
22,HUNEDOARA,"GRĂDINIŢA P.P. ”FLOARE DE COLŢ”",55,"MUNICIPIUL BRAD",87291,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:23:03",1051,1032,2,6,11,464,446,1,6,11,450,14,1166,702,69,231,109,34,7
22,HUNEDOARA,"LICEUL TEORETIC „AVRAM IANCU” BRAD",53,"MUNICIPIUL BRAD",87291,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:54",960,951,3,6,0,425,419,0,6,0,409,16,1055,630,67,227,67,38,10
22,HUNEDOARA,"LICEUL TEORETIC „AVRAM IANCU” BRAD",54,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:20",1005,1001,2,2,0,453,450,1,2,0,434,19,1101,648,58,215,101,52,8
22,HUNEDOARA,"ȘCOALA GENERALĂ ŢĂRĂŢEL",59,"MUNICIPIUL BRAD",87291,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:01",575,567,1,7,0,280,273,0,7,0,270,10,628,348,41,146,41,36,6
22,HUNEDOARA,"ŞCOALA GENERALĂ VALEA BRADULUI",60,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:27",583,575,1,7,0,269,262,0,7,0,258,11,653,384,51,110,72,21,4
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „HOREA CLOŞCA ŞI CRIŞAN”",56,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:18",1041,1036,2,3,0,416,413,0,3,0,390,26,1136,720,60,229,45,37,19
22,HUNEDOARA,"ŞCOALA GIMNAZIALA „MIRCEA SÂNTIMBREANU”",49,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:54",1373,1370,1,2,0,598,596,0,2,0,571,27,1518,920,69,316,88,79,19
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „MIRCEA SÂNTIMBREANU”",51,"MUNICIPIUL BRAD",87291,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:02",1187,1183,0,4,0,478,474,0,4,0,461,17,1283,805,71,260,87,26,17
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „MIRCEA SÂNTIMBREANU”",52,"MUNICIPIUL BRAD",87291,4,PART,PRCNCT,P,P_SV,"2024-06-10 07:32:02",1221,1202,2,2,15,480,463,0,2,15,460,20,1325,845,46,309,44,41,20
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „MIRCEA SÂNTIMBREANU”",50,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:45",1179,1176,0,3,0,462,459,0,3,0,440,22,1277,815,62,244,65,56,13
