precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IOVĂNESC FILIP-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOLFOŞ COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MATEOI FLAVIUS-NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COROIESCU CRISTIAN-CORNEL-FORȚA DREPTEI-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL",197,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:20:35",244,232,2,9,1,157,146,1,9,1,150,7,250,93,87,28,11,24
22,HUNEDOARA,"CĂMINUL CULTURAL",200,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:29:00",300,293,0,4,3,163,156,0,4,3,156,7,350,187,82,45,26,3
22,HUNEDOARA,"CĂMINUL CULTURAL",196,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:02:26",280,262,0,9,9,186,168,0,9,9,184,2,300,114,86,68,16,14
22,HUNEDOARA,"CĂMINUL CULTURAL",201,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:58:43",167,158,0,5,4,113,104,0,5,4,111,2,200,87,49,20,40,2
22,HUNEDOARA,"CĂMINUL CULTURAL",203,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:58:49",254,250,0,4,0,163,159,0,4,0,157,6,300,137,51,65,39,2
22,HUNEDOARA,"CĂMINUL CULTURAL SÂNTĂMĂRIA DE PIATRĂ",199,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:24",130,118,0,8,4,101,89,0,8,4,100,1,150,49,50,42,7,1
22,HUNEDOARA,"CĂMINUL CULTURAL STREISÎNGEORGIU",202,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:21:59",657,641,0,7,9,419,403,0,7,9,416,3,700,281,206,149,46,15
22,HUNEDOARA,"CASA CĂSĂTORIILOR",193,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:53:33",1292,1272,0,12,8,618,598,0,12,8,599,19,1478,860,231,241,100,27
22,HUNEDOARA,"CENTRUL DE SĂNĂTATE MULTIFUNCŢIONAL",192,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:58:57",1404,1380,2,13,9,748,726,0,13,9,730,18,1500,752,322,263,104,41
22,HUNEDOARA,"CONSILIUL LOCAL CĂLAN",188,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:10",1037,1004,7,10,16,574,547,1,10,16,551,23,1100,526,332,130,65,24
22,HUNEDOARA,"LICEU TEHNOLOGIC OVID DENSUŞIANU",191,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:02:43",1486,1467,2,13,4,699,682,0,13,4,672,27,1600,901,262,239,109,62
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ",189,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:20:44",1084,1056,1,20,7,521,494,0,20,7,509,12,1100,579,256,157,71,25
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ",190,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:40",1403,1371,1,18,13,643,615,0,18,10,615,28,1500,857,246,245,80,44
22,HUNEDOARA,"ŞCOALA PRIMARĂ",194,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:12",483,476,0,5,2,215,208,0,5,2,201,14,500,285,91,82,20,8
22,HUNEDOARA,"ŞCOALA PRIMARĂ",195,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:57",202,192,0,8,2,148,138,0,8,2,142,6,250,102,66,67,5,4
22,HUNEDOARA,"ŞCOALA PRIMARĂ SÎNCRAI",198,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:21:57",255,247,0,5,3,142,134,0,5,3,139,3,300,158,72,59,7,1
