precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LEN EMIL-BALÁZS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CĂLBEAZĂ ALEXANDRU-MIRCEA-ALIANȚA ELECTORALĂ PSD PNL-voturi","NAGY ZOLTÁN-voturi"
21,HARGHITA,"COLEGIUL TEHNIC ”BATTHYÁNY IGNÁC”",33,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:36",1919,1897,8,7,7,820,806,0,7,7,789,24,2000,1187,234,28,527
21,HARGHITA,"CORP DE CLĂDIRE CU 20 DE APARTAMENTE",34,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:53:18",84,76,0,8,0,42,34,0,8,0,42,0,458,416,12,23,7
21,HARGHITA,"LICEUL TEHNOLOGIC ”FOGARASY MIHÁLY”",32,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:04",1733,1712,6,12,3,729,714,0,12,3,694,35,1900,1171,243,44,407
21,HARGHITA,"LICEUL TEORETIC ”SALAMON ERNŐ”",31,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:38",1764,1715,18,24,7,815,784,0,24,7,784,31,1900,1085,269,35,480
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KÓS KÁROLY”",25,"MUNICIPIUL GHEORGHENI",83561,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:29:37",1832,1807,16,7,2,710,701,0,7,2,678,32,1800,1090,248,61,369
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KÓS KÁROLY”",27,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:54",1773,1760,5,2,6,687,679,0,2,6,671,16,2000,1313,249,51,371
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KÓS KÁROLY”",26,"MUNICIPIUL GHEORGHENI",83561,3,PART,PRCNCT,P,P_SV,"2024-06-11 19:27:10",1682,1661,7,14,0,721,706,1,14,0,704,13,1800,1083,213,66,425
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”VASKERTES”",28,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:33:49",1623,1596,10,12,5,687,668,2,12,5,671,16,1800,1113,225,58,388
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”VASKERTES”",30,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:16:20",1820,1791,17,5,7,838,827,0,5,6,816,14,2000,1166,285,30,501
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”VASKERTES”",29,"MUNICIPIUL GHEORGHENI",83561,2,PART,PRCNCT,P,P_SV,"2024-06-11 19:18:38",1600,1589,0,8,3,605,594,0,8,3,593,12,1600,995,200,62,331
