precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRICA MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","BALANIŞCU BOGDAN-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIUHODARU TUDOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PINTILEI MIHAIL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BODEA MARIUS-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BLĂJUŢ VIOREL-IONEL-PARTIDUL SOCIETĂȚII IEȘENE-voturi","CHICHIRĂU COSETTE-PAULA-PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi","ABALAŞEI CĂTĂLIN-PETRONEL-PARTIDUL PRO ROMÂNIA-voturi","BUDUROI IOAN-SEBASTIAN-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
24,IAŞI,"CENTRUL DE CARTIER FRUMOASA",200,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:53:35",1288,1279,1,8,0,576,568,0,8,0,570,6,1400,824,173,70,48,2,147,19,99,4,8
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",260,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:01",1178,1166,2,10,0,504,504,0,0,0,497,7,1300,796,112,39,39,0,172,10,120,1,4
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",261,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:48:21",764,758,0,6,0,333,327,0,6,0,223,7,894,664,88,31,25,3,0,3,70,1,2
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",48,"MUNICIPIUL IAŞI",95060,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:18:25",952,912,38,2,0,435,433,0,2,0,431,4,1000,565,156,58,42,4,98,11,60,1,1
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",47,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:02:15",909,882,20,7,0,350,343,0,7,0,346,4,1000,650,123,36,26,0,93,4,62,1,1
24,IAŞI,"COLEGIUL NAŢIONAL",25,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:41:30",923,917,0,6,0,399,393,0,6,0,390,9,1000,601,144,41,28,0,80,14,79,1,3
24,IAŞI,"COLEGIUL NAŢIONAL",26,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:12",782,778,0,4,0,293,289,0,4,0,282,11,900,607,114,47,27,4,47,5,33,3,2
24,IAŞI,"COLEGIUL NAŢIONAL",27,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:15",1255,1239,9,6,1,372,365,0,6,1,367,5,1400,1028,91,55,28,0,94,20,75,2,2
24,IAŞI,"COLEGIUL NAŢIONAL",28,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:27:48",1349,1269,70,10,0,519,509,0,10,0,495,24,1400,881,149,74,36,5,131,6,85,8,1
24,IAŞI,"COLEGIUL NAŢIONAL",24,"MUNICIPIUL IAŞI",95060,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:41:04",1266,1227,16,22,1,538,515,0,22,1,527,11,1400,862,151,80,40,6,149,13,82,2,4
24,IAŞI,"COLEGIUL NATIONAL ”COSTACHE NEGRUZZI’’",31,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:23:17",912,862,24,13,13,416,390,0,13,13,409,7,1000,584,126,36,38,4,117,5,78,3,2
