precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRASI VICTOR-ANDREI-UNIUNEA SALVAȚI ROMÂNIA-voturi","ACHIREI FĂNICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUPU CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","NENEŞTEAN RAUL-MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","IONESCU DRAGOŞ-PARTIDUL S.O.S. ROMÂNIA-voturi"
24,IAŞI,"CORP A ŞCOALA GIMNAZIALĂ DUMBRAVA",377,CIUREA,96254,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:30:29",1261,1252,0,9,0,560,551,0,9,0,543,17,1400,840,22,38,361,92,30
24,IAŞI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 3 CURĂTURI",376,CIUREA,96254,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:33:19",271,262,1,7,1,156,147,1,7,1,153,3,300,144,7,9,121,11,5
24,IAŞI,"SCOALA GIMNAZIALA CIUREA",375,CIUREA,96254,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:38",1192,1189,0,2,1,487,484,0,2,1,481,6,1300,813,43,32,287,82,37
24,IAŞI,"SCOALA GIMNAZIALA CIUREA",374,CIUREA,96254,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:46",1270,1262,1,5,2,528,521,0,5,2,503,24,1400,873,59,29,315,70,30
24,IAŞI,"ŞCOALA GIMNAZIALĂ ” COMANDOR ALEXANDRU CĂTUNEANU” LUNCA CETĂŢUII",382,CIUREA,96254,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:14",1802,1797,0,2,3,798,793,0,2,3,784,14,1900,1102,178,38,339,186,43
24,IAŞI,"ŞCOALA GIMNAZIALĂ ” COMANDOR ALEXANDRU CĂTUNEANU” LUNCA CETĂŢUII",379,CIUREA,96254,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:02:03",1894,1885,4,1,4,773,768,0,1,4,756,17,2100,1327,121,54,412,133,36
24,IAŞI,"ŞCOALA GIMNAZIALĂ ” COMANDOR ALEXANDRU CĂTUNEANU” LUNCA CETĂŢUII",381,CIUREA,96254,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:00:31",1832,1824,5,1,2,921,918,0,1,2,889,29,2000,1082,93,34,571,160,31
24,IAŞI,"ŞCOALA GIMNAZIALĂ ” COMANDOR ALEXANDRU CĂTUNEANU” LUNCA CETĂŢUII",380,CIUREA,96254,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:06",1910,1903,2,4,1,871,864,2,4,1,856,15,2100,1229,173,50,386,208,39
24,IAŞI,"ȘCOALA GIMNAZIALĂ ” COMANDOR ALEXANDRU CĂTUNEANU” LUNCA CETĂȚUII",383,CIUREA,96254,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:50",1775,1766,1,7,1,885,877,0,7,1,863,22,1900,1015,113,49,445,220,36
24,IAŞI,"ȘCOALA GIMNAZIALĂ PICIORU LUPULUI",385,CIUREA,96254,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:28:20",479,472,0,3,4,211,204,0,3,4,194,13,500,293,13,12,129,35,5
24,IAŞI,"ȘCOALA PRIMARĂ HLINCEA",378,CIUREA,96254,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:33:38",1230,1219,5,5,1,547,540,1,5,1,540,7,1300,753,156,28,219,111,26
24,IAŞI,"SCOALA PRIMARA NR.2 LUNCA CETAŢUII ( ZANEA)",384,CIUREA,96254,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:39",584,577,0,7,0,348,341,0,7,0,293,54,604,257,2,16,257,10,8
24,IAŞI,"ȘCOALA PRIMARĂ NR. 2 SLOBOZIA ( CORP CLĂDIRE NOU)",386,CIUREA,96254,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:31",357,345,0,10,2,209,197,0,10,2,187,10,411,214,8,12,116,48,3
