precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PORCĂRAŞU LAURENŢIU-ANDREI-UNIUNEA SALVAȚI ROMÂNIA-voturi","RĂDEANU MIHĂIŢĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","DARABANĂ MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","CHELARU GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VOCHIŢA DĂNUŢ-PAUL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DARABANĂ MIHAI-PARTIDUL MIȘCAREA POPULARĂ-voturi"
24,IAŞI,"CĂMINUL CULTURAL BOROSEŞTI",644,SCÂNTEIA,98916,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:50:44",679,665,0,6,8,332,318,0,6,8,322,10,700,368,18,61,219,8,4,12
24,IAŞI,"CASA DE PRĂZNUIRE LUNCA RATEŞ",646,SCÂNTEIA,98916,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:19:55",306,300,0,6,0,123,117,0,6,0,112,11,400,277,14,26,46,13,6,7
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL SCÂNTEIA",642,SCÂNTEIA,98916,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:17",1565,1557,0,7,1,188,180,0,7,1,185,3,1700,1512,44,46,82,13,0,0
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL SCÂNTEIA",641,SCÂNTEIA,98916,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:08:54",1758,1757,0,0,1,56,55,0,0,1,55,1,1900,1844,3,15,21,13,2,1
24,IAŞI,"ȘCOALA GIMNAZIALĂ ”AXINTE URICARIUL” SCÂNTEIA, CORP A",638,SCÂNTEIA,98916,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:34:03",1613,1612,0,1,0,143,142,0,1,0,136,7,1800,1657,14,42,55,20,2,3
24,IAŞI,"ȘCOALA GIMNAZIALĂ ”AXINTE URICARIUL” SCÂNTEIA, CORP A",640,SCÂNTEIA,98916,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:31",1633,1630,0,3,0,131,128,0,3,0,125,6,1800,1669,5,32,58,19,11,0
24,IAŞI,"ȘCOALA GIMNAZIALĂ ”AXINTE URICARIUL” SCÂNTEIA, CORP A",639,SCÂNTEIA,98916,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:23:30",1637,1635,0,2,0,131,129,0,2,0,126,5,201,70,10,33,60,14,0,9
24,IAŞI,"ȘCOALA GIMNAZIALĂ ”AXINTE URICARIUL” SCÂNTEIA, CORP A",637,SCÂNTEIA,98916,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:48:52",1611,1606,1,2,2,229,225,0,2,2,223,6,1800,1571,24,73,95,11,5,15
24,IAŞI,"ŞCOALA GIMNAZIALĂ BODEŞTI",643,SCÂNTEIA,98916,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:20",362,361,0,1,0,172,171,0,1,0,148,24,400,228,6,70,52,6,9,5
24,IAŞI,"ŞCOALA PRIMARĂ CIOCÂRLEŞTI",645,SCÂNTEIA,98916,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:16:34",249,245,0,4,0,136,132,0,4,0,128,8,300,164,17,40,54,5,0,12
24,IAŞI,"ŞCOALA PRIMARĂ REDIU",647,SCÂNTEIA,98916,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:16:17",174,167,0,7,0,79,72,0,7,0,75,4,200,121,7,39,15,8,6,0
24,IAŞI,"ŞCOALA PRIMARĂ TUFEŞTII DE SUS",648,SCÂNTEIA,98916,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:00",192,185,0,6,1,102,95,0,6,1,95,7,236,134,10,30,36,3,16,0
