precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIBINESCU IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","CRĂCIUNESCU ELVIS-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OHIMA-MÂNDRUŢ VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL BALA",96,BALA,110296,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:10:44",750,692,0,52,6,512,454,0,52,6,502,10,761,249,92,61,349
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV BALA DE SUS",97,BALA,110296,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:26",490,472,0,14,4,336,318,0,14,4,331,5,519,183,106,27,198
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV BRATEŞUL",98,BALA,110296,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:20:44",102,97,0,5,0,54,49,0,5,0,54,0,106,52,8,13,33
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-IV COMĂNEŞTI",99,BALA,110296,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:50:13",302,295,0,6,1,200,193,0,6,1,188,12,326,126,22,38,128
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV IUPCA",102,BALA,110296,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:49",146,136,0,9,1,98,88,0,9,1,97,1,149,51,12,13,72
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV RUDINA",103,BALA,110296,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:49:38",367,351,0,16,0,236,220,0,16,0,227,9,387,151,60,7,160
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV SĂRDĂNEŞTI",104,BALA,110296,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:09:09",195,186,0,9,0,131,122,0,9,0,128,3,203,72,22,39,67
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV VIDIMIREŞTI",105,BALA,110296,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:31:41",119,112,0,7,0,77,70,0,7,0,77,0,119,42,10,5,62
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII CRAINICI",100,BALA,110296,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:49",317,295,0,22,0,242,220,0,22,0,232,10,321,79,23,95,114
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII DÎLMA",101,BALA,110296,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:22",321,301,0,17,3,216,196,0,17,3,207,9,321,105,47,15,145
